month,events,mean_delta_bp
2024-01,283,10.096952386757609
2024-02,271,12.144240533949647
2024-03,279,-2.773178608370165
2024-04,287,1.3378260584538666
2024-05,286,4.552446212315921
2024-06,305,-1.8463217611547291
2024-07,263,-3.569460221117427
2024-08,276,-5.021743564490367
2024-09,276,-9.03744267897244
2024-10,300,0.5033518593341373
2024-11,298,0.9191389807360594
2024-12,313,-1.8765530889440571
2025-01,250,0.6939058593969349
2025-02,266,-3.4447085158641357
2025-03,263,14.46019807335583
2025-04,277,-8.6158272303992
2025-05,275,-5.133275252881015
2025-06,262,1.4661545796144786
2025-07,274,3.8780993663611185
2025-08,257,-2.0308466216366297
2025-09,271,-0.26161474120008266
2025-10,239,1.6997168129870137
2025-11,276,4.70082680023433
2025-12,285,-2.719362837336641
2026-01,293,3.64958070081995
2026-02,230,-10.406758254867695
