step,factor,value,grid_index,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,median_hold_bars,p90_net_bp,max_net_bp,mean_capture_of_horizon_mfe,minimum_fold_events,eligible,robust_score_bp,worst_fold_net_bp,2024H1_events,2024H2_events,2025H1_events,2025H2_events,2026P1_events,2024H1_mean_net_bp,2024H2_mean_net_bp,2025H1_mean_net_bp,2025H2_mean_net_bp,2026P1_mean_net_bp,p95_net_bp,p99_net_bp,big_trend_events,big_trend_mean_realized_atr,big_trend_median_capture,big_trend_mean_giveback_atr,armed_events,armed_finish_net_negative,armed_finish_net_negative_rate
1,trend_ma,EMA20,0,7155,-0.28918955800200535,-20.289189558002015,-51.20082002303959,0.26331236897274635,0.5958936319985086,-0.9999999999998944,-0.9999999999999417,19.0,97.62796409317079,1169.3233523189595,0.2170803060326625,523,True,-25.577247917299204,-23.1135918463871,1711,1726,1593,1602,523,-22.52045227963466,-23.1135918463871,-17.125929709026508,-22.4554949249924,-6.667856623075184,184.06937107077724,446.983107518655,5105,0.5766545896929633,-0.03313511686098921,19.72301728960052,3041,1190,0.39131864518250575
1,trend_ma,EMA30,1,7155,0.9252982187769784,-19.07470178122303,-52.10960299649957,0.24584206848357792,0.6284422838629334,-0.999999999999437,-0.9999999999997313,20.0,103.57479477043182,1268.1153265244416,0.2285738007796888,523,True,-23.70016609887994,-22.02880714376946,1711,1726,1593,1602,523,-20.8187681591348,-21.70288639585444,-15.381740672014727,-22.02880714376946,-6.895095736688804,200.14891869215543,501.80539758069887,5105,0.6714487348684014,-0.03881664674816898,19.628223144425082,3041,1315,0.4324235448865505
1,trend_ma,EMA40,2,7155,1.4083783504238359,-18.591621649576172,-52.89644527593616,0.23410202655485673,0.6433877125001443,-0.9999999999991941,-0.9999999999997214,21.0,104.17667059521499,1382.5592570004908,0.23773386604736224,523,True,-23.912799290354045,-22.38398193689283,1711,1726,1593,1602,523,-19.628719085871335,-22.38398193689283,-16.403858166779344,-21.86852089279449,0.6905445625652596,206.09133072190082,556.5503345609718,5105,0.7066947645422745,-0.0440638516223068,19.59297711475121,3041,1399,0.46004603748766854
1,trend_ma,SMA40,3,7155,1.0986946438872331,-18.901305356112776,-54.27070327687743,0.23745632424877708,0.6416858846364091,-0.9999999999993875,-0.9999999999997926,22.0,109.07589011703021,1382.5592570004908,0.2501332501609436,523,True,-26.089600962755593,-22.530107320263483,1711,1726,1593,1602,523,-21.55436936470378,-22.530107320263483,-15.276948824118412,-22.33760063173673,1.2402812307053481,215.6618045449301,534.2635700195892,5105,0.7013032876033791,-0.048048587159523544,19.598368591690107,3041,1375,0.45215389674449197
1,trend_ma,SMA60,4,7155,1.851911983493662,-18.148088016506346,-55.39337350120686,0.2194269741439553,0.6650428566151034,-0.9999999999966585,-0.9999999999991175,22.0,108.80867117809575,1382.5592570004908,0.27207093727974024,523,True,-24.403415179769645,-21.67068673646108,1711,1726,1593,1602,523,-19.483197447801444,-21.67068673646108,-18.4582917546919,-20.02956494017858,4.5529793147370174,244.0287816014134,575.0001044202161,5105,0.8040186036385015,-0.05432385616873595,19.495653275654984,3041,1504,0.4945741532390661
1,trend_ma,SMA90,5,7155,1.6839248441742747,-18.316075155825736,-57.09260242041213,0.2050314465408805,0.6672908905034782,-0.9999999999949192,-0.9999999999986539,21.0,110.23821287622191,1382.5592570004908,0.274247393350871,523,True,-24.81905188817211,-21.401537512358207,1711,1726,1593,1602,523,-21.401537512358207,-20.161846490167004,-19.431186237234922,-19.683224104969877,5.453660951848931,268.41546828291195,575.8601576996354,5105,0.8321992117057172,-0.05618045481049818,19.467472667587767,3041,1607,0.528444590595199
2,exit_style,trail,0,7155,0.9252982187769784,-19.07470178122303,-52.10960299649957,0.24584206848357792,0.6284422838629334,-0.999999999999437,-0.9999999999997313,20.0,103.57479477043182,1268.1153265244416,0.2285738007796888,523,True,-23.70016609887994,-22.02880714376946,1711,1726,1593,1602,523,-20.8187681591348,-21.70288639585444,-15.381740672014727,-22.02880714376946,-6.895095736688804,200.14891869215543,501.80539758069887,5105,0.6714487348684014,-0.03881664674816898,19.628223144425082,3041,1315,0.4324235448865505
2,exit_style,close2,1,7155,0.8006607975811035,-19.19933920241891,-59.98034684046914,0.22054507337526205,0.6622889390771413,-0.999999999998482,-0.9999999999995103,23.0,121.46189574535862,1382.5592570004908,0.2883881645928059,523,True,-24.356948766071767,-24.75975316913123,1711,1726,1593,1602,523,-19.411053697877666,-24.75975316913123,-19.265481539061895,-20.258651030677612,3.2899539131033593,255.54592791266577,578.2831832315445,5105,0.8059261708884179,-0.0659764880591499,19.493745708405065,3041,1496,0.49194343965800724
3,arm_atr,1.0,0,7155,1.0539670001331642,-18.946032999866844,-44.544640887254054,0.2138364779874214,0.6034903700293478,-0.9999999999992768,-0.9999999999996345,18.0,86.43468517096235,1268.1153265244416,0.2213380929707824,523,True,-24.152246347631614,-22.380278708595945,1711,1726,1593,1602,523,-22.380278708595945,-21.372357923038788,-14.478364334793968,-21.149065395360722,-6.563446118126176,184.20565882564668,487.22440060951914,5105,0.6009035140450042,-0.03452558243814164,19.69876836524848,4062,2533,0.6235844411619892
3,arm_atr,1.5,1,7155,0.8247256702375599,-19.175274329762452,-47.932972453674765,0.23102725366876312,0.6132858949847737,-0.9999999999994807,-0.9999999999997623,19.0,95.7253151015196,1268.1153265244416,0.22138019080170393,523,True,-24.809363410244405,-22.185513408309088,1711,1726,1593,1602,523,-22.185513408309088,-21.771868220567644,-15.270521360527743,-21.570327811386882,-5.315151353673485,189.91824144888773,488.20736360518896,5105,0.6267883347268282,-0.03498027623322625,19.672883544566655,3473,1833,0.5277857759861792
3,arm_atr,2.0,2,7155,0.9252982187769784,-19.07470178122303,-52.10960299649957,0.24584206848357792,0.6284422838629334,-0.999999999999437,-0.9999999999997313,20.0,103.57479477043182,1268.1153265244416,0.2285738007796888,523,True,-23.70016609887994,-22.02880714376946,1711,1726,1593,1602,523,-20.8187681591348,-21.70288639585444,-15.381740672014727,-22.02880714376946,-6.895095736688804,200.14891869215543,501.80539758069887,5105,0.6714487348684014,-0.03881664674816898,19.628223144425082,3041,1315,0.4324235448865505
3,arm_atr,2.5,3,7155,0.3870079868470918,-19.61299201315292,-56.78237994437672,0.25310971348707195,0.6322107471631427,-0.9999999999995887,-0.999999999999794,21.0,111.24559892989069,1268.1153265244416,0.2413081287633668,523,True,-23.610783586620737,-22.888301215442418,1711,1726,1593,1602,523,-20.894966949567785,-22.888301215442418,-15.85785426109467,-22.133467992686224,-8.327120350550477,207.14910411503107,508.9674766372229,5105,0.7044109862364251,-0.04641994955653098,19.59526089305706,2671,917,0.3433171096967428
3,arm_atr,3.0,4,7155,0.6977947333898522,-19.302205266610155,-59.277633816212635,0.2574423480083857,0.648634139301618,-0.9999999999995149,-0.9999999999997663,22.0,117.14684932020882,1268.1153265244416,0.2576723626825751,523,True,-23.00768145565623,-22.44233426065866,1711,1726,1593,1602,523,-20.246428804725603,-22.44233426065866,-15.763577027985447,-22.207997203397486,-7.727687071490858,219.72682696182872,518.8684391213676,5105,0.7433849284847047,-0.05272869090907058,19.556286950808776,2386,637,0.26697401508801344
4,buffer_atr,0.0,0,7155,0.07260842767581425,-19.927391572324193,-58.922872618947224,0.3069182389937107,0.6270834024275881,-0.9999999999999029,-0.9999999999999523,20.0,104.91446499655933,1234.238801220936,0.25416339562738927,523,True,-21.40611393823893,-21.789235054164376,1711,1726,1593,1602,523,-19.282632223602334,-20.500950347377206,-20.065331697336273,-21.789235054164376,-14.020716472648077,190.87363312596725,474.72808448051705,5105,0.6396600291073318,-0.04777055986140914,19.66001185018615,2386,283,0.11860854987426656
