symbol,tf,signal_time,conf,status,outcome,entry,tp,sl,held_bars,gross,net_taker,png,in_distribution
BTC_USDT_SWAP,15m,2026-07-27 14:45:00+00:00,0.467,closed,TP,64660.0,63435.940769341454,65149.62369226342,39,0.01893,0.01793,BTC_USDT_SWAP_15m_0727_1445.png,True
BTC_USDT_SWAP,15m,2026-07-27 22:15:00+00:00,0.57,closed,TP,64571.4,63881.608930190625,64847.31642792375,1,0.01068,0.00968,BTC_USDT_SWAP_15m_0727_2215.png,True
BTC_USDT_SWAP,15m,2026-07-28 00:15:00+00:00,0.756,open,RUNNING,63674.8,62649.35667696423,64084.977329214315,17,0.00552,0.00452,BTC_USDT_SWAP_15m_0728_0015.png,True
BTC_USDT_SWAP,3m,2026-07-27 14:33:00+00:00,0.469,closed,SL,64670.7,63846.85384028532,65000.23846388587,54,-0.0051,-0.0061,BTC_USDT_SWAP_3m_0727_1433.png,False
BTC_USDT_SWAP,3m,2026-07-27 15:18:00+00:00,0.506,closed,SL,64726.7,63973.281005961384,65028.067597615445,39,-0.00466,-0.00566,BTC_USDT_SWAP_3m_0727_1518.png,False
BTC_USDT_SWAP,3m,2026-07-27 22:33:00+00:00,0.556,closed,TP,64500.8,64253.978876734465,64599.52844930621,1,0.00383,0.00283,BTC_USDT_SWAP_3m_0727_2233.png,False
BTC_USDT_SWAP,3m,2026-07-27 22:57:00+00:00,0.839,closed,TP,63756.5,63251.21066921035,63958.61573231586,42,0.00793,0.00693,BTC_USDT_SWAP_3m_0727_2257.png,False
BTC_USDT_SWAP,5m,2026-07-27 12:30:00+00:00,0.398,closed,SL,64850.1,64475.384847833295,64999.98606086668,1,-0.00231,-0.00331,BTC_USDT_SWAP_5m_0727_1230.png,False
BTC_USDT_SWAP,5m,2026-07-27 14:35:00+00:00,0.348,closed,SL,64630.0,63668.02502840853,65014.789988636585,32,-0.00595,-0.00695,BTC_USDT_SWAP_5m_0727_1435.png,False
BTC_USDT_SWAP,5m,2026-07-27 22:25:00+00:00,0.418,closed,TP,64571.4,64268.630378901864,64692.50784843926,2,0.00469,0.00369,BTC_USDT_SWAP_5m_0727_2225.png,False
BTC_USDT_SWAP,5m,2026-07-27 23:05:00+00:00,0.846,closed,SL,63627.1,63011.25126085215,63873.439495659135,1,-0.00387,-0.00487,BTC_USDT_SWAP_5m_0727_2305.png,False
ETH_USDT_SWAP,15m,2026-07-27 22:30:00+00:00,0.755,closed,TP,1913.96,1874.9198321370557,1929.5760671451778,9,0.0204,0.0194,ETH_USDT_SWAP_15m_0727_2230.png,True
ETH_USDT_SWAP,15m,2026-07-28 00:30:00+00:00,0.559,open,RUNNING,1883.3,1834.2773221595153,1902.9090711361937,16,0.00263,0.00163,ETH_USDT_SWAP_15m_0728_0030.png,True
ETH_USDT_SWAP,3m,2026-07-27 12:21:00+00:00,0.397,closed,SL,1949.28,1935.9156064660367,1954.6257574135852,7,-0.00274,-0.00374,ETH_USDT_SWAP_3m_0727_1221.png,False
ETH_USDT_SWAP,3m,2026-07-27 14:27:00+00:00,0.708,closed,TIMEOUT,1936.88,1904.1980673074145,1949.9527730770344,71,-0.00276,-0.00376,ETH_USDT_SWAP_3m_0727_1427.png,False
ETH_USDT_SWAP,3m,2026-07-27 22:24:00+00:00,0.371,closed,TP,1929.74,1916.5655432377362,1935.0097827049055,4,0.00683,0.00583,ETH_USDT_SWAP_3m_0727_2224.png,False
ETH_USDT_SWAP,3m,2026-07-27 22:48:00+00:00,0.823,closed,TP,1905.6,1883.6781566568516,1914.3687373372593,4,0.0115,0.0105,ETH_USDT_SWAP_3m_0727_2248.png,False
ETH_USDT_SWAP,5m,2026-07-27 12:15:00+00:00,0.687,closed,SL,1952.05,1935.6377383922986,1958.6149046430805,8,-0.00336,-0.00436,ETH_USDT_SWAP_5m_0727_1215.png,False
ETH_USDT_SWAP,5m,2026-07-27 14:30:00+00:00,0.684,closed,SL,1930.11,1892.3609785550182,1945.2096085779926,24,-0.00782,-0.00882,ETH_USDT_SWAP_5m_0727_1430.png,False
ETH_USDT_SWAP,5m,2026-07-27 22:25:00+00:00,0.521,closed,TP,1928.68,1912.6230568914268,1935.1027772434293,2,0.00833,0.00733,ETH_USDT_SWAP_5m_0727_2225.png,False
ETH_USDT_SWAP,5m,2026-07-27 23:05:00+00:00,0.815,open,RUNNING,1883.54,1853.1174465913152,1895.709021363474,70,0.00023,-0.00077,ETH_USDT_SWAP_5m_0727_2305.png,False
