raw_x0_px,raw_y0_px,raw_x1_px,raw_y1_px,global_x0_bar,global_x1_bar,price_high,price_low,context_x0_px,context_y0_px,context_x1_px,context_y1_px,event_order,events_total,episode_id,episode_candidate_count,symbol,class_id,class_name,confidence,window_len,window_start_i,window_end_i,window_end_time,core_start_i,core_end_i,core_start_time,core_end_time,core_length_bars,confirmation_bars,context_start_i,context_end_i,context_start_time,context_end_time,context_bars,post_detection_review_bars,model_input_pixel_sha256,boxes_per_document,canvas_width,canvas_height,image_path,image_sha256,image_size_bytes
798,317,1073,438,243.63853503184714,247.36066878980893,1914.6078432089137,1893.0343426852369,1234,329,1289,456,1,24,ETH30D_001,12,ETH_USDT_SWAP,1,dense_short,0.3294276297092438,18,233,250,2026-07-29T14:30:00+00:00,244,247,2026-07-29T13:00:00+00:00,2026-07-29T13:45:00+00:00,4,3,160,287,2026-07-28T16:00:00+00:00,2026-07-29T23:45:00+00:00,128,37,0fbbcec5975831d66d5c31f235b7156a507023adb107d50fde470252bcd4cbe0,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-eth30d-20260829-v1/results/charts/001_ETHUSDT_P_SHORT_20260729T1430Z.png,bc081b7175fc8e5c42770c0da13f521fbc489e8c9b3a338ec626fd496fbeae2f,187703
825,320,1150,375,543.6512738853503,548.3089171974523,1874.1231782506964,1864.5217115097494,1234,307,1303,365,2,24,ETH30D_002,22,ETH_USDT_SWAP,1,dense_short,0.5649462938308716,19,532,550,2026-08-01T17:30:00+00:00,544,548,2026-08-01T16:00:00+00:00,2026-08-01T17:00:00+00:00,5,2,460,587,2026-07-31T19:00:00+00:00,2026-08-02T02:45:00+00:00,128,37,8856a3f7701e316b7ca897f9b4721f66706e0a2ee55a16cb82a79205605d0ea1,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-eth30d-20260829-v1/results/charts/002_ETHUSDT_P_SHORT_20260801T1730Z.png,166d277e5190d9b9957bb4e0dd579fa905ddb5c10053358701db3b221d7f761c,172144
827,320,1152,456,620.6799363057324,625.3375796178344,1871.4474670618388,1847.7395548969362,1235,317,1303,460,3,24,ETH30D_003,3,ETH_USDT_SWAP,1,dense_short,0.37880799174308777,19,609,627,2026-08-02T12:45:00+00:00,621,625,2026-08-02T11:15:00+00:00,2026-08-02T12:15:00+00:00,5,2,537,664,2026-08-01T14:15:00+00:00,2026-08-02T22:00:00+00:00,128,37,e68c9c49b9ff418307da701657ad7c4a31ada15adca58b4ac99703b420534b0d,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-eth30d-20260829-v1/results/charts/003_ETHUSDT_P_SHORT_20260802T1245Z.png,b04271cdb6c464da63315cf19ef3b2094542ad1a3dd479b8f93792ade58e1c17,183857
826,365,1150,441,644.6656050955414,649.3089171974523,1871.1851928022284,1857.8827506406685,1235,350,1303,431,4,24,ETH30D_004,15,ETH_USDT_SWAP,0,dense_long,0.31233423948287964,19,633,651,2026-08-02T18:45:00+00:00,645,649,2026-08-02T17:15:00+00:00,2026-08-02T18:15:00+00:00,5,2,561,688,2026-08-01T20:15:00+00:00,2026-08-03T04:00:00+00:00,128,37,40f4095ee46878572c84f78faceaa3f8795727c670ad137950897d5ebc6809f7,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-eth30d-20260829-v1/results/charts/004_ETHUSDT_P_LONG_20260802T1845Z.png,86164da07d0af3488b43e6ae627d1b5233b24bd9cb5e550cdb93c3021b3bc970,181118
872,318,1145,417,681.640127388535,685.3351910828026,1877.019897225627,1859.7137684456825,1249,301,1303,406,5,24,ETH30D_005,6,ETH_USDT_SWAP,1,dense_short,0.8257666230201721,18,670,687,2026-08-03T03:45:00+00:00,682,685,2026-08-03T02:30:00+00:00,2026-08-03T03:15:00+00:00,4,2,597,724,2026-08-02T05:15:00+00:00,2026-08-03T13:00:00+00:00,128,37,32f4a2860a559c4c4aa611583fd027a336105948e1eb78d9180b360e64bac0ce,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-eth30d-20260829-v1/results/charts/005_ETHUSDT_P_SHORT_20260803T0345Z.png,b3f2964911ce2646212264ac65ae5da2a1bf78179ac36756ea0f566e5f0ad86a,185565
826,345,1152,407,764.6656050955414,769.3375796178344,1865.6488981392756,1854.8492179610028,1235,309,1303,375,6,24,ETH30D_006,2,ETH_USDT_SWAP,1,dense_short,0.7877896428108215,19,753,771,2026-08-04T00:45:00+00:00,765,769,2026-08-03T23:15:00+00:00,2026-08-04T00:15:00+00:00,5,2,681,808,2026-08-03T02:15:00+00:00,2026-08-04T10:00:00+00:00,128,37,a61c39025b7bd3918ccf3dd3425a0347cfbc3e068e31e35f8c3ba66ad2be202d,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-eth30d-20260829-v1/results/charts/006_ETHUSDT_P_SHORT_20260804T0045Z.png,4e7944c882d8e19debd2432ec768cb8dfcada08dfb0069567d61ba193b1db7c2,181348
475,373,801,450,922.6353503184713,927.3073248407643,1882.6275313203344,1869.0574871532033,1161,442,1229,522,7,24,ETH30D_007,8,ETH_USDT_SWAP,0,dense_long,0.8479657769203186,19,916,934,2026-08-05T17:30:00+00:00,923,927,2026-08-05T14:45:00+00:00,2026-08-05T15:45:00+00:00,5,7,844,971,2026-08-04T19:00:00+00:00,2026-08-06T02:45:00+00:00,128,37,d21e5b55ff37e92a10dd07c3e6b68648af9509037fac11d2f1d6d7700be87fed,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-eth30d-20260829-v1/results/charts/007_ETHUSDT_P_LONG_20260805T1730Z.png,3a518fdcd53abc1d5a15c8c34b573cf9a36b0ac8779f61cf7c2a897910505fb8,177058
798,319,1076,404,1087.6385350318471,1091.4012738853503,1915.2209529359334,1900.0583375598887,1234,403,1289,492,8,24,ETH30D_008,4,ETH_USDT_SWAP,0,dense_long,0.25017330050468445,18,1077,1094,2026-08-07T09:30:00+00:00,1088,1091,2026-08-07T08:00:00+00:00,2026-08-07T08:45:00+00:00,4,3,1004,1131,2026-08-06T11:00:00+00:00,2026-08-07T18:45:00+00:00,128,37,40ea23cbae9f5e8c04f0d094552220f7248883fbeaadb4b3708feae2160668bb,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-eth30d-20260829-v1/results/charts/008_ETHUSDT_P_LONG_20260807T0930Z.png,9088f6b2a2bc7b3085a7f1116798ba19f97236474882b1a8a9d313354608e883,168546
827,306,1149,403,1392.6799363057326,1397.2945859872611,1921.3680891364902,1904.0303253481893,1235,278,1302,380,9,24,ETH30D_009,12,ETH_USDT_SWAP,1,dense_short,0.6567309498786926,19,1381,1399,2026-08-10T13:45:00+00:00,1393,1397,2026-08-10T12:15:00+00:00,2026-08-10T13:15:00+00:00,5,2,1309,1436,2026-08-09T15:15:00+00:00,2026-08-10T23:00:00+00:00,128,37,2d97aaf49a9e589b120907a787a96d4e268d57772a22d2287e09ccc1955fa3c3,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-eth30d-20260829-v1/results/charts/009_ETHUSDT_P_SHORT_20260810T1345Z.png,276ec8a89c782bacd91528eb5c6e569715a0dfd880a63cfc668a218695cd66fe,173960
825,277,1150,409,1496.6512738853503,1501.3089171974523,1891.455469816156,1868.2916185849583,1234,344,1303,482,10,24,ETH30D_010,10,ETH_USDT_SWAP,1,dense_short,0.9275858998298645,19,1485,1503,2026-08-11T15:45:00+00:00,1497,1501,2026-08-11T14:15:00+00:00,2026-08-11T15:15:00+00:00,5,2,1413,1540,2026-08-10T17:15:00+00:00,2026-08-12T01:00:00+00:00,128,37,7c6071b417ba880164c6e622c584bb285a74832b958edcb874c5afda8ea55da6,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-eth30d-20260829-v1/results/charts/010_ETHUSDT_P_SHORT_20260811T1545Z.png,ff49241c2d745db54d8eb787f4457391966b32ee507f8565562dfa78e315c486,183438
