trade_id,side,entry_i,exit_i,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,risk_pct,gross_return,net_return,gross_r,net_r,reason,dual_touch,holding_bars,diamond_open_time,diamond_close_time,confirm_time,wait_bars
0,-1,10873,11108,2023-09-27 15:05:00+00:00,2023-09-28 10:40:00+00:00,26247.6,26633.6,25089.6,26633.6,0.0147061064630671,-0.0147061064630671,-0.0167061064630671,-1.0,-1.1359979274611398,stop,False,236,2023-09-27 14:00:00+00:00,2023-09-27 15:00:00+00:00,2023-09-27 15:05:00+00:00,1
1,-1,11305,11358,2023-09-29 03:05:00+00:00,2023-09-29 07:30:00+00:00,26926.3,27085.0,26450.199999999997,27085.0,0.005893865848631291,-0.005893865848631291,-0.00789386584863129,-1.0,-1.3393358538122226,stop,False,54,2023-09-29 02:00:00+00:00,2023-09-29 03:00:00+00:00,2023-09-29 03:05:00+00:00,1
2,-1,12025,12110,2023-10-01 15:05:00+00:00,2023-10-01 22:10:00+00:00,27133.2,27226.9,26852.1,27226.9,0.0034533339230168473,-0.0034533339230168473,-0.005453333923016847,-1.0,-1.5791504802561322,stop,False,86,2023-10-01 14:00:00+00:00,2023-10-01 15:00:00+00:00,2023-10-01 15:05:00+00:00,1
3,-1,12323,14937,2023-10-02 15:55:00+00:00,2023-10-11 17:45:00+00:00,28094.7,28607.8,26555.400000000005,26555.400000000005,0.018263231143240487,0.05478969342972146,0.05278969342972146,3.0,2.890490352757747,target,False,2615,2023-10-02 14:00:00+00:00,2023-10-02 15:00:00+00:00,2023-10-02 15:55:00+00:00,11
4,-1,17329,17344,2023-10-20 01:05:00+00:00,2023-10-20 02:20:00+00:00,28617.0,28768.8,28161.600000000002,28768.8,0.005304539259880465,-0.005304539259880465,-0.007304539259880465,-1.0,-1.3770355731225314,stop,False,16,2023-10-20 00:00:00+00:00,2023-10-20 01:00:00+00:00,2023-10-20 01:05:00+00:00,1
5,-1,17505,17781,2023-10-20 15:45:00+00:00,2023-10-21 14:45:00+00:00,29490.8,29915.0,28218.199999999997,29915.0,0.014384146920395538,-0.014384146920395538,-0.01638414692039554,-1.0,-1.1390419613389908,stop,False,277,2023-10-20 12:00:00+00:00,2023-10-20 13:00:00+00:00,2023-10-20 15:45:00+00:00,33
6,-1,17882,17963,2023-10-21 23:10:00+00:00,2023-10-22 05:55:00+00:00,29933.2,30159.7,29253.7,30159.7,0.007566848850106236,-0.007566848850106236,-0.009566848850106236,-1.0,-1.264310816777042,stop,False,82,2023-10-21 20:00:00+00:00,2023-10-21 21:00:00+00:00,2023-10-21 23:10:00+00:00,26
7,-1,21229,22200,2023-11-02 14:05:00+00:00,2023-11-05 23:00:00+00:00,34959.5,35369.4,33729.799999999996,35369.4,0.011724996066877429,-0.011724996066877429,-0.013724996066877429,-1.0,-1.1705757501829708,stop,False,972,2023-11-02 13:00:00+00:00,2023-11-02 14:00:00+00:00,2023-11-02 14:05:00+00:00,1
8,-1,22830,22912,2023-11-08 03:30:00+00:00,2023-11-08 10:20:00+00:00,35285.3,35382.2,34994.60000000002,35382.2,0.0027461860888243596,-0.0027461860888243596,-0.00474618608882436,-1.0,-1.7282827657379178,stop,False,83,2023-11-08 02:00:00+00:00,2023-11-08 03:00:00+00:00,2023-11-08 03:30:00+00:00,6
9,-1,23271,27534,2023-11-09 16:15:00+00:00,2023-11-24 11:30:00+00:00,36598.1,38036.0,32284.399999999994,38036.0,0.03928892483489584,-0.03928892483489584,-0.041288924834895845,-1.0,-1.0509049308018639,stop,False,4264,2023-11-09 15:00:00+00:00,2023-11-09 16:00:00+00:00,2023-11-09 16:15:00+00:00,3
10,-1,27601,28784,2023-11-24 17:05:00+00:00,2023-11-28 19:40:00+00:00,37680.6,38347.2,35680.8,38347.2,0.017690801101893243,-0.017690801101893243,-0.019690801101893245,-1.0,-1.1130531053105315,stop,False,1184,2023-11-24 16:00:00+00:00,2023-11-24 17:00:00+00:00,2023-11-24 17:05:00+00:00,1
11,-1,28837,28848,2023-11-29 00:05:00+00:00,2023-11-29 01:00:00+00:00,37769.2,37939.3,37258.89999999998,37939.3,0.004503669656757512,-0.004503669656757512,-0.006503669656757512,-1.0,-1.4440823045267337,stop,False,12,2023-11-28 23:00:00+00:00,2023-11-29 00:00:00+00:00,2023-11-29 00:05:00+00:00,1
12,-1,29579,29608,2023-12-01 13:55:00+00:00,2023-12-01 16:20:00+00:00,38336.2,38632.7,37446.7,38632.7,0.007734204224727543,-0.007734204224727543,-0.009734204224727542,-1.0,-1.2585915682967959,stop,False,30,2023-12-01 12:00:00+00:00,2023-12-01 13:00:00+00:00,2023-12-01 13:55:00+00:00,11
13,-1,30463,30542,2023-12-04 15:35:00+00:00,2023-12-04 22:10:00+00:00,41178.1,42170.8,38199.999999999985,42170.8,0.02410747460421934,-0.02410747460421934,-0.02610747460421934,-1.0,-1.0829618212954564,stop,False,80,2023-12-04 11:00:00+00:00,2023-12-04 12:00:00+00:00,2023-12-04 15:35:00+00:00,43
14,-1,30909,30976,2023-12-06 04:45:00+00:00,2023-12-06 10:20:00+00:00,43622.0,44150.0,42038.0,44150.0,0.012103984228141764,-0.012103984228141764,-0.014103984228141764,-1.0,-1.1652348484848485,stop,False,68,2023-12-06 01:00:00+00:00,2023-12-06 02:00:00+00:00,2023-12-06 04:45:00+00:00,33
15,-1,33325,33366,2023-12-14 14:05:00+00:00,2023-12-14 17:30:00+00:00,42442.2,43098.2,40474.2,43098.2,0.01545631470564674,-0.01545631470564674,-0.01745631470564674,-1.0,-1.1293969512195121,stop,False,42,2023-12-14 13:00:00+00:00,2023-12-14 14:00:00+00:00,2023-12-14 14:05:00+00:00,1
16,-1,35126,35481,2023-12-20 20:10:00+00:00,2023-12-22 01:45:00+00:00,43387.4,44278.3,40714.7,44278.3,0.02053361114056158,-0.02053361114056158,-0.02253361114056158,-1.0,-1.0974012796048938,stop,False,356,2023-12-20 19:00:00+00:00,2023-12-20 20:00:00+00:00,2023-12-20 20:10:00+00:00,2
