i,stem,symbol,tip_idx,tip_time,max_conf,n_boxes,tip_spread,right_p50,cv60,ret12,pos24,bear_stack,bull_stack,filter_reason,owner_keep,owner_note,image
1,XRP_USDT_SWAP_014579,XRP_USDT_SWAP,14579,2025-11-01 12:45:00+00:00,0.5684,1,0.001139,0.9972,-0.005068,-0.003998,0.0756,0,0,pass,,,images/train/XRP_USDT_SWAP_014579.png
2,OL_USDT_SWAP_006059,OL_USDT_SWAP,6059,2025-12-31 13:00:00+00:00,0.4057,1,0.001486,0.9974,-0.004954,-0.011072,0.1667,1,0,pass,,,images/train/OL_USDT_SWAP_006059.png
3,SUI_USDT_SWAP_021259,SUI_USDT_SWAP,21259,2026-01-10 02:30:00+00:00,0.5341,1,0.001902,0.9995,-0.006055,-0.007728,0.2087,1,0,pass,,,images/train/SUI_USDT_SWAP_021259.png
4,S_USDT_SWAP_020239,S_USDT_SWAP,20239,2025-12-31 13:00:00+00:00,0.5698,1,0.001953,0.9967,-0.009577,-0.012094,0.0722,1,0,pass,,,images/train/S_USDT_SWAP_020239.png
5,F_USDT_SWAP_013559,F_USDT_SWAP,13559,2026-03-15 13:45:00+00:00,0.4278,1,0.002081,0.997,-0.00281,-0.005588,0.4521,1,0,pass,,,images/train/F_USDT_SWAP_013559.png
6,SUI_USDT_SWAP_022979,SUI_USDT_SWAP,22979,2026-01-28 00:30:00+00:00,0.3735,1,0.002335,0.9972,-0.007736,-0.006608,0.0465,1,0,pass,,,images/train/SUI_USDT_SWAP_022979.png
7,BARD_USDT_SWAP_003499,BARD_USDT_SWAP,3499,2025-10-24 22:45:00+00:00,0.4595,1,0.002374,0.9978,-0.001101,-0.001535,0.4512,1,0,pass,,,images/train/BARD_USDT_SWAP_003499.png
8,UNI_USDT_SWAP_026199,UNI_USDT_SWAP,26199,2026-03-02 13:30:00+00:00,0.5228,1,0.002453,0.997,-0.003999,-0.004496,0.4602,0,0,pass,,,images/train/UNI_USDT_SWAP_026199.png
9,API3_USDT_SWAP_010879,API3_USDT_SWAP,10879,2025-09-24 21:30:00+00:00,0.5773,1,0.002523,0.9974,-0.005517,-0.006359,0.0459,0,0,pass,,,images/train/API3_USDT_SWAP_010879.png
10,LRC_USDT_SWAP_016799,LRC_USDT_SWAP,16799,2025-11-25 16:00:00+00:00,0.7671,1,0.002527,0.9968,-0.010288,-0.017069,0.2553,0,0,pass,,,images/train/LRC_USDT_SWAP_016799.png
11,OFC_USDT_SWAP_002179,OFC_USDT_SWAP,2179,2026-05-02 03:45:00+00:00,0.5938,2,0.002564,0.9965,-0.004746,-0.014015,0.3571,1,0,pass,,,images/train/OFC_USDT_SWAP_002179.png
12,LINK_USDT_SWAP_018639,LINK_USDT_SWAP,18639,2025-12-13 19:15:00+00:00,0.5362,1,0.002653,0.9973,-0.00304,-0.004283,0.3349,1,0,pass,,,images/train/LINK_USDT_SWAP_018639.png
13,AXS_USDT_SWAP_028559,AXS_USDT_SWAP,28559,2026-03-28 01:45:00+00:00,0.4386,2,0.002692,0.9977,-0.008675,-0.008611,0.2119,0,0,pass,,,images/train/AXS_USDT_SWAP_028559.png
14,BONK_USDT_SWAP_031859,BONK_USDT_SWAP,31859,2026-05-01 11:15:00+00:00,0.6032,1,0.002722,0.998,-0.002848,-0.005624,0.4068,1,0,pass,,,images/train/BONK_USDT_SWAP_031859.png
15,AT_USDT_SWAP_006659,AT_USDT_SWAP,6659,2026-01-07 18:45:00+00:00,0.5992,2,0.002942,0.9964,-0.007097,-0.025333,0.1113,1,0,pass,,,images/train/AT_USDT_SWAP_006659.png
16,SYRUP_USDT_SWAP_019799,SYRUP_USDT_SWAP,19799,2026-01-25 12:15:00+00:00,0.3654,1,0.002948,0.9978,-0.002837,-0.001508,0.4545,0,0,pass,,,images/train/SYRUP_USDT_SWAP_019799.png
