i,stem,symbol,tip_idx,tip_time,max_conf,n_boxes,tip_spread,right_p50,owner_keep,owner_note,image,keep_shortish,reason,cv20,cv60,cv120,ret4,ret12,pos24,slope60,bull_stack,bear_stack
1,XRP_USDT_SWAP_014579,XRP_USDT_SWAP,14579,2025-11-01 12:45:00+00:00,0.5684,1,0.001139,0.9972,,,images/train/XRP_USDT_SWAP_014579.png,1,pass,-0.004155,-0.005068,-0.004957,-0.002921,-0.003998,0.0756,-0.000537,0,0
2,OL_USDT_SWAP_006059,OL_USDT_SWAP,6059,2025-12-31 13:00:00+00:00,0.4057,1,0.001486,0.9974,,,images/train/OL_USDT_SWAP_006059.png,1,pass,-0.004897,-0.004954,-0.005298,-0.00934,-0.011072,0.1667,0.000182,0,1
3,LUNA_USDT_SWAP_008199,LUNA_USDT_SWAP,8199,2025-08-28 02:00:00+00:00,0.497,1,0.001637,0.9984,,,images/train/LUNA_USDT_SWAP_008199.png,0,ret12_pos,0.00121,0.001138,0.001275,0.00134,0.003356,0.6176,-0.000388,0,0
4,API3_USDT_SWAP_018119,API3_USDT_SWAP,18119,2025-12-09 07:30:00+00:00,0.3388,1,0.001639,0.997,,,images/train/API3_USDT_SWAP_018119.png,0,ret12_pos,0.010158,0.011458,0.011181,0.01122,0.016106,0.973,0.000511,0,0
5,CRV_USDT_SWAP_009259,CRV_USDT_SWAP,9259,2025-09-07 01:45:00+00:00,0.3983,1,0.001699,0.9965,,,images/train/CRV_USDT_SWAP_009259.png,0,bull_stack,0.002003,0.003391,0.0042,0.002104,0.003027,0.7979,0.000908,1,0
6,SUI_USDT_SWAP_021259,SUI_USDT_SWAP,21259,2026-01-10 02:30:00+00:00,0.5341,1,0.001902,0.9995,,,images/train/SUI_USDT_SWAP_021259.png,1,pass,-0.005676,-0.006055,-0.007073,-0.007892,-0.007728,0.2087,-0.000613,0,1
7,SSV_USDT_SWAP_027619,SSV_USDT_SWAP,27619,2026-03-18 10:15:00+00:00,0.3876,1,0.001917,0.9977,,,images/train/SSV_USDT_SWAP_027619.png,0,bull_stack,0.006219,0.0063,0.006405,0.011793,0.016376,0.7059,-0.00026,1,0
8,S_USDT_SWAP_020239,S_USDT_SWAP,20239,2025-12-31 13:00:00+00:00,0.5698,1,0.001953,0.9967,,,images/train/S_USDT_SWAP_020239.png,1,pass,-0.007323,-0.009577,-0.009985,-0.006928,-0.012094,0.0722,-0.001619,0,1
9,WCT_USDT_SWAP_027759,WCT_USDT_SWAP,27759,2026-03-19 21:30:00+00:00,0.477,1,0.002027,0.9977,,,images/train/WCT_USDT_SWAP_027759.png,0,bull_stack,0.004252,0.005565,0.005721,0.002284,0.003266,0.8362,0.001204,1,0
10,A_USDT_SWAP_025219,A_USDT_SWAP,25219,2026-02-21 06:00:00+00:00,0.5494,1,0.002042,0.9979,,,images/train/A_USDT_SWAP_025219.png,0,bull_stack,0.003847,0.005254,0.005945,0.004658,0.003551,0.8511,0.00058,1,0
