period,rule,candidates,invalid,censored,closed,gt5,precision,confirmed_gt5_per_candidate,candidate_coverage,coverage,recall,win_rate,mean_r,mean_gross_bp,mean_net_bp,assets,positive_asset_months,retained_gt5,lost_gt5,gained_gt5,gt5_count_ratio,matched_pairs,unmatched_closed,random_gt5,paired_gt5,random_precision,random_mean_net_bp,paired_excess_r,paired_excess_net_bp,random_tail_p,random_net_p,precision_delta,precision_ci_low,precision_ci_high,random_tail_holm_p,random_net_holm_p,historical_gate_passed,trained_target_r,evaluation_target_r,gt10,confirmed_gt10_per_candidate,retained_gt10,lost_gt10,gained_gt10,gt10_count_ratio,random_gt10,paired_gt10
oof,original_all,24681,0,113,24568,662.0,0.026945620319114294,0.0268222519346866,1.0,1.0,1.0,0.26595571475089547,-0.08069627372155425,-17.222837211414973,-37.22283721141499,779,452,662.0,0.0,0.0,1.0,24515,53,794.0,660.0,0.03238833367326127,-10.877676446863193,-0.01802629715190748,-26.61264339273518,0.9990234375,0.697265625,0.0,0.0,0.0,,,,10,5,,,,,,,,
oof,logistic_top1,256,0,0,256,7.0,0.02734375,0.02734375,0.010372351201328957,0.010420058612829698,0.010574018126888218,0.2734375,-0.14336491217745873,24.17555297942387,4.175552979423856,183,7,7.0,655.0,0.0,0.010574018126888218,256,0,5.0,7.0,0.01953125,-40.96138856803303,0.116861402815917,45.136941547456885,0.375,0.165771484375,0.000398129680885706,-0.019106020633085575,0.02140860001665212,1.0,1.0,False,10,5,,,,,,,,
oof,logistic_top5,1202,0,1,1201,54.0,0.044962531223980015,0.04492512479201331,0.04870143024998987,0.048884728101595575,0.0770392749244713,0.2656119900083264,0.07592088667638504,24.11948291097023,4.119482910970224,490,44,51.0,611.0,3.0,0.08157099697885196,1200,1,37.0,54.0,0.030833333333333334,-25.101450813464318,0.19609208209771609,29.32373920272163,0.09375,0.144775390625,0.01801691090486572,0.002864277645320471,0.031032792677136444,0.75,1.0,False,10,5,,,,,,,,
oof,logistic_top10,2465,0,1,2464,96.0,0.03896103896103896,0.03894523326572008,0.0998743973096714,0.10029306414848584,0.13897280966767372,0.2690746753246753,0.019548571488782095,15.314626257989838,-4.685373742010166,616,78,92.0,570.0,4.0,0.14501510574018128,2463,1,85.0,96.0,0.03451075923670321,-14.920113303121129,0.07688178589278352,10.281252641619101,0.224609375,0.36181640625,0.012015418641924666,0.0017883909926440615,0.02269042319991001,1.0,1.0,False,10,5,,,,,,,,
oof,logistic_top20,5106,0,1,5105,166.0,0.032517140058765916,0.03251077164120642,0.20687978607025648,0.20779062194724846,0.23413897280966767,0.26111655239960824,-0.06585433641158507,-7.025503638455598,-27.025503638455607,684,132,155.0,507.0,11.0,0.25075528700906347,5099,6,165.0,166.0,0.03235928613453618,-19.90002279115236,0.033426711404638945,-7.045223125424119,0.5,0.4287109375,0.005571519739651622,-0.0009982638302287307,0.010993591719970169,1.0,1.0,False,10,5,,,,,,,,
oof,lightgbm_top1,316,0,0,316,5.0,0.015822784810126583,0.015822784810126583,0.012803371014140433,0.012862259850211657,0.0075528700906344415,0.2563291139240506,-0.16461096675528786,-41.82480010112631,-61.82480010112631,207,4,5.0,657.0,0.0,0.0075528700906344415,316,0,5.0,5.0,0.015822784810126583,-58.74958223212831,0.09944602420663347,-3.0752178689979965,0.625,0.4423828125,-0.01112283550898771,-0.01873413490620621,0.0011506091678281675,1.0,1.0,False,10,5,,,,,,,,
oof,lightgbm_top5,1382,0,0,1382,46.0,0.03328509406657019,0.03328509406657019,0.05599448968842429,0.05625203516769782,0.06042296072507553,0.2735166425470333,-0.024283142471726412,-16.04468892999409,-36.04468892999411,507,38,40.0,622.0,6.0,0.06948640483383686,1381,1,52.0,46.0,0.03765387400434468,-6.081938778760982,-0.012921262706183259,-30.028455035036192,0.8125,0.55712890625,0.006339473747455894,-0.002600969908764122,0.015569406631796847,1.0,1.0,False,10,5,,,,,,,,
oof,lightgbm_top10,2783,0,1,2782,98.0,0.03522645578720345,0.03521379805964786,0.11275880231757222,0.11323673070661022,0.13141993957703926,0.2739036664270309,-0.0005171189878891489,-0.24991519055297834,-20.249915190552986,624,82,87.0,575.0,11.0,0.14803625377643503,2780,2,91.0,98.0,0.03273381294964029,-18.18830278003874,0.08218390596786508,-2.1839771635952587,0.29443359375,0.14892578125,0.008280835468089158,0.001685988404368037,0.014593930318919484,1.0,1.0,False,10,5,,,,,,,,
oof,lightgbm_top20,5625,0,2,5623,199.0,0.03539036101725058,0.03537777777777778,0.22790810745107573,0.22887495929664603,0.2719033232628399,0.2752978836919794,0.020344799006775018,9.883612769759615,-10.116387230240392,697,156,180.0,482.0,19.0,0.30060422960725075,5615,8,174.0,199.0,0.030988423864648264,-27.653399801183678,0.15443648457470135,17.69526505141369,0.19921875,0.032958984375,0.008444740698136284,0.002709287338769443,0.015198262298999,1.0,0.263671875,False,10,5,,,,,,,,
oof,risk_top1,520,0,3,517,11.0,0.02127659574468085,0.021153846153846155,0.021068838377699444,0.021043633995441225,0.012084592145015106,0.2611218568665377,-0.41260343271009975,-2.4840323336765455,-22.484032333676538,166,11,8.0,654.0,3.0,0.01661631419939577,516,1,12.0,11.0,0.023255813953488372,-26.521335606708558,-0.07496923544725181,4.1101290084342725,0.6875,0.791748046875,-0.0056690245744334435,-0.014210354091779332,0.006435270922273842,,,,10,5,,,,,,,,
