trained_target_r,rule,dimension,value,closed,gt5,gt10,win_rate,mean_net_bp
10,lightgbm_top1,month,2025-10,6,0,0,0.5,29.1907946496945
10,lightgbm_top1,month,2025-11,7,0,0,0.0,-1203.0624655318552
10,lightgbm_top1,month,2025-12,7,0,0,0.14285714285714285,-231.18258346485288
10,lightgbm_top1,month,2026-01,14,0,0,0.2857142857142857,-41.29694111391022
10,lightgbm_top1,month,2026-02,13,0,0,0.23076923076923078,-37.52864764607392
10,lightgbm_top1,month,2026-03,47,1,0,0.19148936170212766,-99.48336180694197
10,lightgbm_top1,month,2026-04,65,1,0,0.2923076923076923,-47.72325761980283
10,lightgbm_top1,month,2026-05,42,0,0,0.2857142857142857,-58.3274626486159
10,lightgbm_top1,month,2026-06,23,0,0,0.2608695652173913,-107.84049837290023
10,lightgbm_top1,month,2026-07,46,0,0,0.10869565217391304,-116.63432089431404
10,lightgbm_top1,month,2026-08,31,3,3,0.45161290322580644,336.09735569533484
10,lightgbm_top1,month,2026-09,15,0,0,0.3333333333333333,-63.470752217888325
10,lightgbm_top10,month,2025-10,122,5,2,0.22950819672131148,-97.6845370758569
10,lightgbm_top10,month,2025-11,124,2,1,0.12096774193548387,-300.1256950175292
10,lightgbm_top10,month,2025-12,192,3,0,0.21354166666666666,-155.78078974816472
10,lightgbm_top10,month,2026-01,191,7,3,0.3298429319371728,56.30948346361337
10,lightgbm_top10,month,2026-02,112,1,0,0.25892857142857145,-33.599142920163985
10,lightgbm_top10,month,2026-03,367,15,6,0.25340599455040874,-8.32634112599378
10,lightgbm_top10,month,2026-04,436,20,7,0.3165137614678899,26.783187409156373
10,lightgbm_top10,month,2026-05,328,10,5,0.3628048780487805,41.01714846690926
10,lightgbm_top10,month,2026-06,223,2,0,0.18385650224215247,-140.31941702489146
10,lightgbm_top10,month,2026-07,291,3,1,0.18900343642611683,-78.12763978869101
10,lightgbm_top10,month,2026-08,279,27,20,0.35125448028673834,184.1927886525176
10,lightgbm_top10,month,2026-09,117,3,0,0.358974358974359,-31.82053103269784
10,lightgbm_top20,month,2025-10,293,14,5,0.24914675767918087,-17.179826162572944
10,lightgbm_top20,month,2025-11,257,5,1,0.12062256809338522,-262.15053530190346
10,lightgbm_top20,month,2025-12,440,7,4,0.21136363636363636,-72.06360520874158
10,lightgbm_top20,month,2026-01,388,12,3,0.31958762886597936,0.7238232805028595
10,lightgbm_top20,month,2026-02,264,5,2,0.2689393939393939,-5.995474388699889
10,lightgbm_top20,month,2026-03,738,21,8,0.24661246612466126,-47.81646353907151
10,lightgbm_top20,month,2026-04,765,37,10,0.330718954248366,34.25885449226529
10,lightgbm_top20,month,2026-05,586,19,6,0.3651877133105802,53.013364481457444
10,lightgbm_top20,month,2026-06,425,5,0,0.18352941176470589,-122.32963517606423
10,lightgbm_top20,month,2026-07,613,9,2,0.22512234910277323,-56.49109017521394
10,lightgbm_top20,month,2026-08,602,60,39,0.33554817275747506,184.00756818900015
10,lightgbm_top20,month,2026-09,252,5,1,0.3531746031746032,9.496632288819159
