minutes,window,policy,session,schedule,n_candidates,n_accepted,n_natural,n_blocked,n_capacity_rejected,n_profit,n_net_be,n_other_zero,n_net_loss,n_strict_positive,n_full_initial_stop,n_tp,max_net_loss_streak,max_initial_stop_streak,max_gross_loss_streak,max_unrecovered_loss_events,max_risk,max_attempted_risk,max_effective_leverage,max_realized_drawdown,recovered_cycles,n_boundary,boundary_pnl,natural_net_r,natural_gross_r,positive_cash,negative_cash,halt_reason,halt_time,halt_risk,halt_equity,initial_balance,final_balance,residual_debt,profit,profit_rate,be_rate,loss_rate,mean_net_r,mean_gross_r,cash_pf
3,common,original,all,fixed,233,185,185,48,0,49,0,0,136,49,107,0,13,9,10,136,1.0,1.0,1.3771960595405794,0.08507818029049785,0,0,0.0,-85.07818029049797,35.55129685076643,126.55870318299537,-211.63688347349319,,,,,1000,914.9218197095022,85.07818029049781,-85.07818029049781,0.2648648648648649,0.0,0.7351351351351352,-0.45988205562431334,0.192169172166305,0.5979992764297459
3,common,original,all,double,233,11,11,0,222,3,0,0,8,3,4,0,4,2,4,8,128.0,256.0,8.670343597910142,0.13220746641006453,0,0,0.0,-10.84313898316715,-0.734578587899957,68.03529115829929,-200.2427575683638,,,,,1000,867.7925335899355,132.2074664100645,-132.2074664100645,0.2727272727272727,0.0,0.7272727272727273,-0.9857399075606499,-0.06677987162726882,0.3397640543132838
3,common,original,union,fixed,108,90,90,18,0,23,0,0,67,23,49,0,11,6,7,35,1.0,1.0,1.2114877505462494,0.04929905028408266,4,0,0.0,-34.3051521301867,25.024454108561486,68.69929298781074,-103.00444511799742,,,,,1000,965.6948478698133,50.076566009994394,-34.305152130186684,0.25555555555555554,0.0,0.7444444444444445,-0.3811683570020744,0.27804949009512764,0.6669546436477747
3,common,original,union,double,108,15,15,1,92,1,0,0,14,1,8,0,8,6,8,8,128.0,256.0,9.132252289100615,0.17985499603115718,1,0,0.0,-20.033558947011343,-9.517660964916919,61.030703363914085,-238.31484294519487,,,,,1000,822.7158604187192,180.41877606316575,-177.28413958128078,0.06666666666666667,0.0,0.9333333333333333,-1.335570596467423,-0.6345107309944613,0.2560927494472062
3,available,original,all,fixed,1807,1454,1454,352,1,354,0,0,1100,354,847,0,27,13,25,1100,1.0,1.0,8.620380578536244,0.9037918884950654,0,0,0.0,-903.7918884950661,4.450376523076272,729.4645507254586,-1633.2564392205234,,,,,1000,96.20811150493459,903.7918884950643,-903.7918884950655,0.24346629986244842,0.0,0.7565337001375516,-0.6215900195977071,0.003060781652734713,0.446631975976533
3,available,original,all,double,1807,18,18,6,1783,2,0,0,16,2,10,0,7,4,7,9,256.0,512.0,9.634031085550452,0.4590554600720238,1,0,0.0,-22.400027006414525,-10.287513919765658,250.54749458545143,-686.3088726199701,,,,,1000,564.2386219654813,478.8232454130241,-435.76137803451866,0.1111111111111111,0.0,0.8888888888888888,-1.244445944800807,-0.5715285510980921,0.36506521273576353
3,available,original,union,fixed,910,756,756,154,0,183,0,0,573,183,445,0,22,11,15,573,1.0,1.0,2.635799841447898,0.4517240314293307,0,0,0.0,-451.72403142932944,33.0299011067898,413.85512213498725,-865.579153564318,,,,,1000,548.2759685706693,451.7240314293307,-451.7240314293307,0.24206349206349206,0.0,0.7579365079365079,-0.5975185600917056,0.04369034537935159,0.4781251032107201
3,available,original,union,double,910,28,28,7,875,8,0,0,20,8,14,0,9,4,9,9,256.0,512.0,9.634031085550452,0.4674295307657603,7,0,0.0,-3.952295177144239,13.043080289937029,281.61767579239176,-705.9680224656522,,,,,1000,575.6496533267396,505.23951830615556,-424.35034667326045,0.2857142857142857,0.0,0.7142857142857143,-0.14115339918372283,0.4658242960691796,0.3989099602681982
5,common,original,all,fixed,102,84,84,18,0,28,0,0,56,28,46,0,12,12,12,21,1.0,1.0,1.0796371005962868,0.01815975446067153,14,0,0.0,11.893022726289445,53.60256298696525,89.23740821897934,-77.34438549269078,,,,,1000,1011.8930227262886,18.715599525136895,11.893022726288564,0.3333333333333333,0.0,0.6666666666666666,0.14158360388439814,0.6381257498448244,1.153767111219889
5,common,original,all,double,102,74,74,18,10,26,0,0,48,26,39,0,8,8,8,8,128.0,128.0,8.423928856166517,0.13758140058848412,22,0,0.0,1.0555952226054446,35.263051366317576,2300.564642196617,-753.8686059761952,,,,,1000,2546.696036220422,344.17239805079953,1546.6960362204218,0.35135135135135137,0.0,0.6486486486486487,0.01426480030547898,0.47652772116645375,3.051678533844214
5,common,original,union,fixed,52,43,43,9,0,13,0,0,30,13,25,0,11,9,11,14,1.0,1.0,1.082241590042799,0.017012332871834124,4,0,0.0,-6.766778490521347,15.08783268730718,35.988145410344714,-42.75492390086595,,,,,1000,993.2332215094788,12.350439384933338,-6.766778490521233,0.3023255813953488,0.0,0.6976744186046512,-0.15736694164003132,0.3508798299373763,0.841731013105974
5,common,original,union,double,52,37,37,7,8,13,0,0,24,13,20,0,7,5,7,7,128.0,128.0,8.337641874976569,0.1286963534605523,9,0,0.0,0.45971504514230466,14.529754503603165,1030.531370115808,-287.9823549352203,,,,,1000,1742.5490151805877,10.374804994201668,742.5490151805877,0.35135135135135137,0.0,0.6486486486486487,0.012424730949792018,0.3926960676649504,3.5784531672005357
5,available,original,all,fixed,108,89,89,19,0,28,0,0,61,28,49,0,12,12,12,21,1.0,1.0,1.0872719056153723,0.021113245555155258,10,0,0.0,4.886417494861819,50.38960740322324,89.23740821897934,-84.35099072411788,,,,,1000,1004.8864174948615,18.715599525136327,4.886417494861462,0.3146067415730337,0.0,0.6853932584269663,0.054903567357997965,0.56617536408116,1.0579295803512634
