minutes,window,start,end,policy,session,candidates,rejected_by_session,retained_all_day,new_after_filter,dropped_all_day,natural,open,wins,losses,net_zero,win_rate,sum_gross_r,sum_net_r,mean_net_r,mean_cost_r,profit_factor,max_net_loss_streak,max_initial_stop_streak,initial_stops,fanshen_exits,gross3r,net3r,legacy_mfe1r,legacy_mfe1r_then_net_loss,max_realized_drawdown_r,boundary_net_r,matched_n,matched_missing,random_mean_net_r,excess_net_r,p,months,target_censored,target_invalid,natural_target_n,controls_per_trade,permutations,p_holm
3,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,original,all,233,0,185,0,0,185,0,49,136,0,0.2648648648648649,35.5512968507664,-85.078180290498,-0.4598820556243135,0.6520512277906184,0.5979992764297452,13,9,107,0,15,13,86,37,85.07818029049797,0.0,185,0,-0.557259657687121,0.09737760206280746,0.377,4,0,0,185,5,9999,1.0
3,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,original,union,108,125,86,4,99,90,0,23,67,0,0.25555555555555554,25.02445410856147,-34.305152130186684,-0.38116835700207424,0.6592178470972018,0.6669546436477749,11,6,49,0,7,6,40,17,50.07656600999468,0.0,90,0,-0.5841587663482617,0.20299040934618742,0.377,4,0,0,90,5,9999,1.0
3,available,2023-08-03 14:15:00+00:00,2026-05-01T00:00:00Z,original,all,1807,0,1453,0,0,1453,0,354,1099,0,0.24363386097728837,6.532009176137464,-901.247598590775,-0.6202667574609602,0.6247622902731678,0.4473288256491661,27,12,845,0,85,69,708,354,901.2475985907757,0.0,1453,0,-0.7006715286082041,0.08040477114724398,0.0815,33,0,0,1453,5,9999,0.8965000000000001
3,available,2023-08-03 14:15:00+00:00,2026-05-01T00:00:00Z,original,union,910,897,725,31,728,756,0,183,573,0,0.24206349206349206,33.02990110678972,-451.7240314293295,-0.5975185600917057,0.6412089054710572,0.478125103210721,22,11,445,0,48,36,365,182,451.72403142932944,0.0,756,0,-0.8188357404751324,0.22131718038342676,0.0044,33,0,0,756,5,9999,0.0528
5,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,original,all,102,0,84,0,0,84,0,28,56,0,0.3333333333333333,53.60256298696524,11.893022726289445,0.14158360388439814,0.49654214596042623,1.1537671112199015,12,12,46,0,11,10,45,17,18.715599525136223,0.0,84,0,-0.4109636723542403,0.5525472762386384,0.0645,4,0,0,84,5,9999,0.7095
5,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,original,union,52,50,42,1,42,43,0,13,30,0,0.3023255813953488,15.08783268730718,-6.766778490521347,-0.15736694164003132,0.5082467715774075,0.8417310131059718,11,9,25,0,6,5,25,12,17.107323969613244,0.0,43,0,-0.4457346415442049,0.2883676999041735,0.317,4,0,0,43,5,9999,1.0
5,available,2025-12-25 15:05:00+00:00,2026-05-01T00:00:00Z,original,all,108,0,89,0,0,89,0,28,61,0,0.3146067415730337,50.38960740322323,4.886417494861819,0.054903567357997965,0.511271796723162,1.0579295803512678,12,12,49,0,11,10,46,18,21.113245555155267,0.0,89,0,-0.4371061937416678,0.49200976109966565,0.0957,5,0,0,89,5,9999,0.957
5,available,2025-12-25 15:05:00+00:00,2026-05-01T00:00:00Z,original,union,55,53,45,1,44,46,0,13,33,0,0.2826086956521739,13.874877103565165,-10.09378860832491,-0.21943018713749804,0.5210579502584798,0.7809599613541498,11,9,26,0,6,5,26,13,17.107323969613244,0.0,46,0,-0.48185937153771535,0.2624291844002173,0.3114,5,0,0,46,5,9999,1.0
15,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,original,all,39,0,30,0,0,30,0,13,17,0,0.43333333333333335,34.34934894215455,27.749027270376367,0.9249675756792122,0.22001072239260597,2.65305401955451,5,4,12,0,6,6,20,7,6.6674137444692505,0.0,30,0,0.40244789521259644,0.5225196804666159,0.129,4,0,0,30,5,9999,1.0
15,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,original,union,21,18,16,1,14,17,0,9,8,0,0.5294117647058824,26.315755054748042,22.739913029701768,1.3376419429236335,0.21034364853213386,3.7858807448721254,2,2,5,0,5,5,12,3,3.2876000539177106,0.0,17,0,0.31710210476611894,1.0205398381575146,0.2554,4,0,0,17,5,9999,1.0
15,available,2023-08-01 00:00:00+00:00,2026-05-01T00:00:00Z,original,all,323,0,269,0,0,269,0,64,205,0,0.2379182156133829,46.820292918403865,-28.55023222282015,-0.10613469227814182,0.28018782580380674,0.8813548803638105,20,11,164,0,25,24,123,59,58.5670866869672,0.0,259,10,-0.251120700993334,0.1443840419135676,0.1795,33,0,0,269,5,9999,1.0
15,available,2023-08-01 00:00:00+00:00,2026-05-01T00:00:00Z,original,union,134,189,108,15,161,123,0,32,91,0,0.2601626016260163,23.99855079338282,-9.838759029487216,-0.07998991080883916,0.2751000798607321,0.9097330178279491,14,14,76,0,13,12,59,27,38.32840889150067,0.0,116,7,-0.26154899015836713,0.1877338198075905,0.219,33,0,0,123,5,9999,1.0
30,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,original,all,17,0,14,0,0,14,0,3,11,0,0.21428571428571427,-4.388629121727266,-6.421174092937331,-0.4586552923526665,0.14518178365786177,0.45055590626490566,6,6,10,0,0,0,6,3,6.670414546149881,0.0,13,1,0.10234168168128661,-0.7917203706484963,1.0,4,0,0,14,5,9999,1.0
