primary_loss_reason,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
cost_flip,28,-11.180051236396697,-12.026716497030003,-313.0414346191075,0.0,False,0.0,28,0
early_reversal,21,-45.66733743114796,-38.5967854917446,-959.0140860541071,0.0,False,0.0,21,0
giveback,14,-38.58993637271814,-30.59031662127674,-540.259109218054,0.0,False,0.0,14,0
hard_stop,14,-77.0659138630222,-69.04482466547844,-1078.9227940823107,0.0,False,0.0,14,0
other_loss,112,-59.618197893193226,-49.46342434010818,-6677.238164037641,0.0,False,0.0,112,0
