signal_i,signal_bar_open,symbol,asset,timeframe,source,box_entry_i,bars_after_v9,trade_key,entry_i,entry_time,entry_price,initial_stop,initial_risk,initial_risk_frac,exit_i,exit_time,exit_price,exit_reason,gross_return,net_return,gross_r,net_r,censored,mfe_r,arm,status,baseline_risk_frac,net_r_on_baseline_risk,signal_close,period,month,matched,reason,control_signal_i,control_parent_i,control_signal_bar_open,control_net_r,control_net_return,control_baseline_risk_frac,control_net_r_on_baseline_risk,control_exit_time,vol_bin,fold,net_bp,gross_bp,hold_h,cohort
1860,2024-11-09 00:00:00+00:00,DASHUSDT,DASH,4h,htf,1843.0,17.0,binance_um:DASHUSDT:4h:box_any:1860,1861,2024-11-09 04:00:00+00:00,23.8,22.95,0.8500000000000014,0.0357142857142857,2045,2024-12-09 20:00:00+00:00,51.46,trailing_stop,1.1621848739495797,1.16018487394958,32.54117647058818,32.485176470588186,False,56.31764705882344,box_any,closed,,,2024-11-09 04:00:00+00:00,,2024-11,True,matched,1822.0,,2024-11-02 16:00:00+00:00,-1.0609863013698648,-0.0347942497753819,,,2024-11-03 12:00:00+00:00,2.0,earlier,11601.8487394958,11621.848739495797,736.0,earlier
2827,2025-04-19 04:00:00+00:00,BTCUSDT,BTC,4h,chart,2783.0,44.0,binance_um:BTCUSDT:4h:box_any:2827,2828,2025-04-19 08:00:00+00:00,85174.5,83570.40000000001,1604.0999999999913,0.0188331014564217,3071,2025-05-29 20:00:00+00:00,105328.9,trailing_stop,0.2366248114165625,0.2346248114165625,12.564303971074196,12.458107973318445,False,16.697836793217473,box_any,closed,,,2025-04-19 08:00:00+00:00,,2025-04,True,matched,2836.0,,2025-04-20 16:00:00+00:00,15.456364470517556,0.2428914948663794,,,2025-05-29 20:00:00+00:00,1.0,earlier,2346.248114165625,2366.248114165625,972.0,earlier
4945,2026-04-07 04:00:00+00:00,ZECUSDT,ZEC,4h,chart,4903.0,42.0,binance_um:ZECUSDT:4h:box_any:4945,4946,2026-04-07 08:00:00+00:00,263.18,246.59,16.590000000000003,0.063036704916787,5014,2026-04-18 16:00:00+00:00,318.86,trailing_stop,0.2115662284368114,0.2095662284368113,3.3562386980108503,3.3245111512959618,False,7.885473176612415,box_any,closed,,,2026-04-07 08:00:00+00:00,,2026-04,True,matched,4956.0,,2026-04-09 00:00:00+00:00,0.002270842149809,0.000168651978502,,,2026-04-18 16:00:00+00:00,3.0,later,2095.662284368113,2115.662284368114,272.0,later
1562,2024-09-20 08:00:00+00:00,1000PEPEUSDT,1000PEPE,4h,chart,1558.0,4.0,binance_um:1000PEPEUSDT:4h:box_any:1562,1563,2024-09-20 12:00:00+00:00,0.0081841,0.0076428,0.0005412999999999,0.0661404430542148,1630,2024-10-01 16:00:00+00:00,0.009861,trailing_stop,0.2048973008638701,0.2028973008638701,3.0979124330315915,3.067673748383522,False,6.9940883059301715,box_any,closed,,,2024-09-20 12:00:00+00:00,,2024-09,True,matched,1618.0,,2024-09-29 16:00:00+00:00,-1.0242626326963908,-0.0844312853855108,,,2024-09-30 20:00:00+00:00,3.0,earlier,2028.973008638701,2048.973008638701,268.0,earlier
1845,2024-11-06 12:00:00+00:00,AAVEUSDT,AAVE,4h,chart,1843.0,2.0,binance_um:AAVEUSDT:4h:box_any:1845,1846,2024-11-06 16:00:00+00:00,163.92,131.33,32.589999999999975,0.1988164958516348,2045,2024-12-09 20:00:00+00:00,243.61,trailing_stop,0.4861517813567595,0.4841517813567595,2.445228597729367,2.4351690702669555,False,4.102178582387239,box_any,closed,,,2024-11-06 16:00:00+00:00,,2024-11,True,matched,1897.0,,2024-11-15 04:00:00+00:00,5.665349476439801,0.5523291010017228,,,2024-12-09 20:00:00+00:00,3.0,earlier,4841.517813567595,4861.517813567595,796.0,earlier
2941,2025-05-08 04:00:00+00:00,ARBUSDT,ARB,4h,chart,2941.0,0.0,binance_um:ARBUSDT:4h:box_any:2941,2942,2025-05-08 08:00:00+00:00,0.3305,0.29656,0.0339399999999999,0.1026928895612707,2970,2025-05-13 00:00:00+00:00,0.41262,trailing_stop,0.2484720121028745,0.2464720121028745,2.419563936358282,2.40008839127873,False,5.1325869180907535,box_any,closed,,,2025-05-08 08:00:00+00:00,,2025-05,True,matched,3014.0,,2025-05-20 08:00:00+00:00,-1.0245288944723616,-0.0835364916773366,,,2025-05-30 16:00:00+00:00,3.0,earlier,2464.720121028745,2484.720121028745,112.0,earlier
1467,2024-09-19 00:00:00+00:00,WIFUSDT,WIF,4h,chart,1467.0,0.0,binance_um:WIFUSDT:4h:box_any:1467,1468,2024-09-19 04:00:00+00:00,1.6788,1.4312,0.2476,0.147486299737908,1549,2024-10-02 16:00:00+00:00,2.1397,trailing_stop,0.2745413390517035,0.2725413390517035,1.861470113085621,1.8479095315024223,False,3.8925686591276234,box_any,closed,,,2024-09-19 04:00:00+00:00,,2024-09,True,matched,1511.0,,2024-09-26 08:00:00+00:00,0.7690419475655466,0.0919585292668729,,,2024-10-22 08:00:00+00:00,3.0,earlier,2725.413390517035,2745.413390517035,324.0,earlier
1847,2024-11-06 20:00:00+00:00,ETHUSDT,ETH,4h,chart,1846.0,1.0,binance_um:ETHUSDT:4h:box_any:1847,1848,2024-11-07 00:00:00+00:00,2722.5,2548.69,173.80999999999997,0.063842056932966,1895,2024-11-14 20:00:00+00:00,3040.0,trailing_stop,0.1166207529843894,0.1146207529843894,1.8267073240895253,1.7953800126575017,False,4.1798515620505166,box_any,closed,,,2024-11-07 00:00:00+00:00,,2024-11,True,matched,1907.0,,2024-11-16 20:00:00+00:00,3.4918939990732176,0.1923114355075907,,,2024-12-09 20:00:00+00:00,3.0,earlier,1146.207529843894,1166.207529843894,188.0,earlier
3324,2025-07-11 00:00:00+00:00,SOLUSDT,SOL,4h,htf,3316.0,8.0,binance_um:SOLUSDT:4h:box_any:3324,3325,2025-07-11 04:00:00+00:00,165.11,154.89,10.22,0.0618981285203803,3403,2025-07-24 04:00:00+00:00,183.11,trailing_stop,0.1090182302707285,0.1070182302707285,1.7612524461839525,1.7289412915851263,False,4.044031311154598,box_any,closed,,,2025-07-11 04:00:00+00:00,,2025-07,True,matched,3307.0,,2025-07-08 04:00:00+00:00,7.370478935698467,0.2222428294444074,,,2025-07-24 04:00:00+00:00,2.0,earlier,1070.182302707285,1090.182302707285,312.0,earlier
2939,2026-04-08 08:00:00+00:00,AEROUSDT,AERO,4h,chart,2937.0,2.0,binance_um:AEROUSDT:4h:box_any:2939,2940,2026-04-08 12:00:00+00:00,0.3381,0.306,0.0321,0.0949423247559894,3003,2026-04-19 00:00:00+00:00,0.3913,trailing_stop,0.1573498964803312,0.1553498964803312,1.6573208722741424,1.6362554517133947,False,4.102803738317754,box_any,closed,,,2026-04-08 12:00:00+00:00,,2026-04,False,censored,3035.0,,2026-04-24 08:00:00+00:00,,,,,2026-04-30 20:00:00+00:00,3.0,later,1553.498964803312,1573.498964803312,252.0,later
