timeframe,period,n,symbols,wins,losses,win_pct,mean_r,median_r,sum_r,gross_r,mean_bp,median_bp,sum_bp,gross_bp,avg_win_r,avg_loss_r,payoff_r,breakeven_win_pct_r,pf_r,avg_win_bp,avg_loss_bp,payoff_bp,pf_bp,mean_hold_h,median_hold_h,median_risk_pct,median_delay,mfe_ge1,mfe_ge2,loss_mfe_lt1,loss_mfe_ge1,loss_mfe_ge2,loss_mfe_ge3,loss_mfe_ge5,matched_n,matched_pct,paired_actual_r,random_r,excess_r,paired_actual_bp,random_bp,excess_bp,excess_blocks,excess_mean_ci_low,excess_mean_ci_high,excess_p_month_signflip
15m,full,409,29,129,280,31.54034229828851,-0.019492293216677732,-1.072218444538886,-7.972347925621193,0.1061211249579715,38.39999386824233,-139.480046164124,15705.597492111114,58.39999386824235,2.192194752820206,1.0384481108550991,2.1110296507882964,32.1436987830255,0.972581517684608,551.3669527629689,197.93121219397096,2.785649350859499,1.2833884509316975,14.343520782396087,9.75,1.83908045977009,6.0,220,143,188,92,25,3,0,409,100.0,-0.019492293216677732,-0.13676368043358542,0.1172713872169077,38.39999386824233,-43.0025889569918,81.40258282523412,20,-0.09298937195537627,0.34682911605830913,0.16391804097951024
15m,earlier,249,27,81,168,32.53012048192771,-0.078769715875584,-1.0700371057513915,-19.613659253020415,0.0462391423829764,14.16263863894648,-137.306397306398,3526.4970210976735,34.16263863894649,1.8843858039808457,1.0252911272349339,1.8379031612833414,35.23728412028638,0.8861318813330397,451.8903325873601,196.88464237189586,2.2952035625703266,1.1066160033821217,14.1285140562249,9.25,1.81842672413792,5.0,135,86,113,55,13,2,0,249,100.0,-0.078769715875584,-0.17942117418920897,0.10065145831362497,14.16263863894648,-52.39351021538311,66.55614885432956,13,-0.18107179277227345,0.3874811070079104,0.27386306846576713
15m,later,160,29,48,112,30.0,0.07275819579624512,-1.0785144139228073,11.641311327399219,0.19931246034030758,76.119377943834,-142.38536411708,12179.10047101344,96.11937794383402,2.711622353986628,1.0581835862853477,2.5625254342731956,28.069975034550566,1.0982251861170838,719.2337493093087,199.50106692708368,3.6051624203703323,1.5450696087301425,14.678125,10.25,1.8857980529251201,6.0,85,57,75,37,12,1,0,160,100.0,0.07275819579624512,-0.07037795577639634,0.14313615157264148,76.119377943834,-28.387967748620323,104.50734569245432,8,-0.1709559950152463,0.5919524947340047,0.23438280859570215
1h,full,122,29,40,82,32.78688524590164,-0.012058007529321154,-1.0405004240673594,-1.4710769185771808,0.05409583732376946,-23.33702121749844,-265.082768022534,-2847.1165885348096,-3.3370212174984473,2.0638299221064,1.0246862658882092,2.0141090895928517,33.17729950295465,0.9824922388257813,734.7536628790679,393.13735492314055,1.8689489911807395,0.9116824347223119,48.85245901639344,41.0,3.46663250683296,8.0,69,46,53,29,6,1,0,122,100.0,-0.012058007529321154,-0.21049206944842494,0.19843406191910382,-23.33702121749844,-69.29362968590773,45.956608468409286,20,-0.13547508872027572,0.6020995861627729,0.16441779110444776
1h,earlier,67,23,26,41,38.80597014925373,0.17964807434958424,-1.0383516483516475,12.036420981422145,0.24711330721130828,64.20978682635614,-205.97309909415202,4302.055717365861,84.20978682635612,2.099868300364397,1.0380525567817607,2.0228920844572147,33.08090305776027,1.2828096145338437,795.1454661777092,399.3104000793799,1.9912966604917883,1.2627734920191829,46.1044776119403,39.0,3.5557016102530397,8.0,38,29,29,12,3,1,0,65,97.01492537313433,0.21736387182921502,-0.19838666366954674,0.41575053549876173,80.27288216365397,-48.32716632738104,128.60004849103507,13,-0.09844016991810034,0.9362159273665528,0.0944527736131934
1h,later,52,26,11,41,21.153846153846153,-0.41435642798360467,-1.0479627120681365,-21.546534255147442,-0.35048918757843184,-175.97497221396685,-327.976505748592,-9150.698555126277,-155.97497221396682,1.8106895199666864,1.0113199749946582,1.7904219878345133,35.83687357538502,0.48035711868730846,610.4398313924246,386.9643097669011,1.5775093877782689,0.4232342259892916,47.34615384615385,40.5,3.533754691779255,11.0,28,14,24,17,3,0,0,52,100.0,-0.41435642798360467,-0.4628055104592603,0.04844908247565562,-175.97497221396685,-157.57999511419155,-18.3949770997753,8,-0.22469921493762415,0.46441922810768177,0.3938030984507746
1h,cross_split,3,3,3,0,100.0,2.6796787850493717,2.184827264239045,8.039036355148115,2.7561794414735576,667.175416408535,623.5709526982021,2001.5262492256052,687.1754164085349,2.6796787850493717,,,,,667.175416408535,,,,136.33333333333334,132.0,2.85269709543568,0.0,3,3,0,0,0,0,0,3,100.0,2.6796787850493717,3.421303263446456,-0.7416244783970845,667.175416408535,916.2035642809835,-249.02814787244833,1,,,
4h,full,37,24,18,19,48.64864864864865,1.4474114548031758,-0.0228800000000008,53.55422382771751,1.4791492505855566,694.8196989228244,-14.62915601023,25708.328860144502,714.8196989228243,3.964456589746409,0.9371576204062024,4.230298621514758,19.11936721713201,4.0076513256455595,2176.7153913401753,709.0814833672972,3.069767639402111,2.9082009215388416,242.59459459459458,188.0,6.5552420230084705,3.0,24,20,13,6,2,1,0,36,97.2972972972973,1.4421657882223364,1.1547387693017621,0.28742701892057476,670.9674970928108,393.2201404322616,277.74735666054914,11,-1.4831446209705297,2.1986890857904124,0.3778110944527736
4h,earlier,23,15,14,9,60.86956521739131,2.5364582586898403,1.2264090909090888,58.33853994986633,2.5713488441318386,1360.886396312362,967.627523334055,31300.387115184327,1380.8863963123617,4.706660333062763,0.8394116347791503,5.607094467187233,15.135245983938825,8.722146948957917,2513.182626924223,431.57440686164296,5.823289302995939,9.058450026882571,289.39130434782606,224.0,6.3842056932966,4.0,17,16,6,3,2,1,0,23,100.0,2.5364582586898403,1.9676658314643607,0.5687924272254798,1360.886396312362,725.1997449343723,635.68665137799,7,-2.401431009067354,3.515491011774972,0.40879560219890054
4h,later,14,13,4,10,28.57142857142857,-0.34173686586777335,-1.0217768139120578,-4.784316122148827,-0.3151786530976214,-399.4327325028448,-675.8687558124175,-5592.058255039827,-379.4327325028448,1.3667434881391678,1.0251290074705497,1.333240478202381,42.85884842742137,0.5332961912809523,999.0800667960082,958.8378522223863,1.0419697808971025,0.41678791235884094,165.71428571428572,160.0,7.088240217216485,1.5,7,4,7,3,0,0,0,13,92.85714285714286,-0.49389012106632474,-0.2835168022166825,-0.21037331884964214,-549.6582476802415,-194.12839060993394,-355.5298570703075,4,-1.0514958991901617,0.5105888928708032,0.6691654172913544
