timeframe,rank,removed,n,symbols,wins,losses,win_pct,mean_r,median_r,sum_r,gross_r,mean_bp,median_bp,sum_bp,gross_bp,avg_win_r,avg_loss_r,payoff_r,breakeven_win_pct_r,pf_r,avg_win_bp,avg_loss_bp,payoff_bp,pf_bp,mean_hold_h,median_hold_h,median_risk_pct,median_delay,mfe_ge1,mfe_ge2,loss_mfe_lt1,loss_mfe_ge1,loss_mfe_ge2,loss_mfe_ge3,loss_mfe_ge5,matched_n,matched_pct,paired_actual_r,random_r,excess_r,paired_actual_bp,random_bp,excess_bp,excess_blocks,excess_mean_ci_low,excess_mean_ci_high,excess_p_month_signflip,removed_keys
15m,net_r,0,409,29,129,280,31.54034229828851,-0.019492293216677593,-1.072218444538886,-7.972347925621136,0.10612112495797146,38.399993868242326,-139.480046164124,15705.597492111112,58.39999386824238,2.1921947528202064,1.0384481108550994,2.1110296507882964,32.1436987830255,0.972581517684608,551.3669527629689,197.93121219397096,2.785649350859499,1.2833884509316975,14.343520782396087,9.75,1.83908045977009,6.0,220,143,188,92,25,3,0,409,100.0,-0.019492293216677593,-0.13676368043358544,0.11727138721690775,38.399993868242326,-43.0025889569918,81.40258282523409,20,-0.09298937195537627,0.34682911605830913,0.16391804097951024,
15m,net_r,1,408,29,128,280,31.372549019607842,-0.044952943940175745,-1.072463388936109,-18.340801127591703,0.0806857751604063,34.08562258770167,-139.777901869941,13906.93401578228,54.08562258770167,2.1283177336862202,1.0384481108550994,2.0495176518099485,32.7920712118679,0.9369223551131193,541.6224486726106,197.93121219397096,2.7364175799712935,1.25093375084402,14.287377450980392,9.625,1.83935155063976,6.0,219,142,188,92,25,3,0,408,100.0,-0.044952943940175745,-0.14005223834817254,0.09509929440799683,34.08562258770167,-43.55692586539406,77.64254845309573,20,-0.10558321378237676,0.30775364118802917,0.19790104947526238,binance_um:FILUSDT:15m:box_any:9225
15m,net_r,2,407,29,127,280,31.203931203931205,-0.067684928337774,-1.072708333333332,-27.547765833474017,0.057788197212397314,31.82559914606221,-140.075757575758,12953.01885244732,51.825599146062245,2.0725803559523914,1.0384481108550994,1.995843927382897,33.379575980567786,0.9052577813486712,538.3760493445607,197.93121219397096,2.720015925618424,1.2337215091197853,14.26965601965602,9.5,1.8396226415094301,6.0,218,141,188,92,25,3,0,407,100.0,-0.067684928337774,-0.1376306771166583,0.06994574877888407,31.82559914606221,-43.22364900092462,75.04924814698684,20,-0.15288297268166698,0.29455274592281305,0.2783608195902049,binance_um:FILUSDT:15m:box_any:9225|binance_um:AEROUSDT:15m:box_any:31160
15m,net_return,0,409,29,129,280,31.54034229828851,-0.019492293216677732,-1.072218444538886,-7.972347925621193,0.1061211249579716,38.39999386824235,-139.480046164124,15705.59749211112,58.39999386824235,2.1921947528202064,1.0384481108550994,2.1110296507882964,32.1436987830255,0.972581517684608,551.3669527629689,197.93121219397096,2.785649350859499,1.2833884509316975,14.343520782396087,9.75,1.83908045977009,6.0,220,143,188,92,25,3,0,409,100.0,-0.019492293216677732,-0.13676368043358542,0.11727138721690768,38.39999386824235,-43.0025889569918,81.40258282523413,20,-0.09298937195537627,0.34682911605830913,0.16391804097951024,
15m,net_return,1,408,29,128,280,31.372549019607842,-0.03973027091050097,-1.072463388936109,-16.209950531484395,0.08611872335934234,24.805082885292745,-139.777901869941,10120.47381719944,44.8050828852928,2.144965003968308,1.0384481108550994,2.065548563810337,32.620589078420785,0.9442507720275825,512.0407283711822,197.93121219397096,2.586963029708455,1.1826116707238652,14.294117647058824,9.625,1.8346816608334648,6.0,219,142,188,92,25,3,0,408,100.0,-0.03973027091050097,-0.13451806223951465,0.09478779132901376,24.805082885292745,-42.13364889516483,66.93873178045762,20,-0.1085639833889136,0.3094458832079395,0.20089955022488756,binance_um:ARUSDT:15m:box_any:42068
15m,net_return,2,407,29,127,280,31.203931203931205,-0.047613223483997325,-1.072708333333332,-19.37858195798691,0.07848961500919774,17.956293873224894,-140.075757575758,7308.211606402532,37.956293873224915,2.136904638436542,1.0384481108550994,2.0577866299712655,32.70339369655093,0.9333532214512527,493.92874819460155,197.93121219397096,2.4954565918110756,1.1318678112857377,14.138206388206388,9.5,1.83028286189684,6.0,218,141,188,92,25,3,0,407,100.0,-0.047613223483997325,-0.1321620167623917,0.08454879327839433,17.956293873224894,-41.662067496166564,59.618361369391444,20,-0.12119832109135603,0.2965477157654318,0.23238380809595202,binance_um:ARUSDT:15m:box_any:42068|binance_um:ENAUSDT:15m:box_any:4537
1h,net_r,0,122,29,40,82,32.78688524590164,-0.012058007529321174,-1.0405004240673594,-1.4710769185771833,0.05409583732376947,-23.33702121749845,-265.082768022534,-2847.116588534811,-3.3370212174984486,2.0638299221064,1.0246862658882094,2.0141090895928513,33.17729950295465,0.9824922388257811,734.7536628790679,393.1373549231405,1.8689489911807398,0.911682434722312,48.85245901639344,41.0,3.46663250683296,8.0,69,46,53,29,6,1,0,122,100.0,-0.012058007529321174,-0.21049206944842497,0.19843406191910384,-23.33702121749845,-69.29362968590772,45.95660846840931,20,-0.13547508872027575,0.6020995861627729,0.16441779110444776,
1h,net_r,1,121,29,39,82,32.231404958677686,-0.08141077448624434,-1.0407517915309448,-9.850703712835566,-0.015052565934537866,-56.96463350527998,-267.64061910154703,-6892.720654138877,-36.96463350527997,1.9018864125640413,1.0246862658882094,1.856067047912919,35.01318362714046,0.8827635959585833,649.8600628091962,393.1373549231405,1.6530102130240096,0.7861877842431265,48.32231404958678,41.0,3.4643458731049903,8.0,68,45,53,29,6,1,0,121,100.0,-0.08141077448624434,-0.34302219847946236,0.2616114239932181,-56.96463350527998,-110.6680647983059,53.70343129302596,20,-0.0849250248626648,0.66187969970368,0.09395302348825588,binance_um:AEROUSDT:1h:box_any:3340
1h,net_r,2,120,28,38,82,31.666666666666664,-0.12944904609181127,-1.0411899166229461,-15.53388553101735,-0.0630315393375274,-73.42782983308396,-269.10436648176255,-8811.339579970076,-53.42782983308395,1.802378638731995,1.0246862658882094,1.7589565691794193,36.24558687045314,0.8151262149855846,616.4716716770382,393.1373549231405,1.5680821574372148,0.7266722193001727,47.425,40.5,3.46663250683296,8.0,67,44,53,29,6,1,0,120,100.0,-0.12944904609181127,-0.34907751814692584,0.21962847205511465,-73.42782983308396,-112.85068629939622,39.4228564663123,20,-0.11763539074346695,0.6080266941177972,0.13693153423288357,binance_um:AEROUSDT:1h:box_any:3340|binance_um:PUMPUSDT:1h:box_any:4410
1h,net_return,0,122,29,40,82,32.78688524590164,-0.012058007529321135,-1.0405004240673594,-1.4710769185771784,0.0540958373237694,-23.337021217498442,-265.082768022534,-2847.11658853481,-3.33702121749844,2.0638299221064,1.0246862658882094,2.0141090895928513,33.17729950295465,0.9824922388257811,734.7536628790679,393.13735492314055,1.8689489911807395,0.9116824347223119,48.85245901639344,41.0,3.46663250683296,8.0,69,46,53,29,6,1,0,122,100.0,-0.012058007529321135,-0.21049206944842494,0.1984340619191038,-23.337021217498442,-69.29362968590773,45.956608468409286,20,-0.13547508872027575,0.6020995861627729,0.16441779110444776,
