visual_id,class,reason,reviewer
V0401,B,"fast/mid rise but slow pair far below; endpoint already extended",budget-mapper-luna-max
V0402,B,"fast/mid cluster with slow lines offset; late rebound",budget-mapper-luna-max
V0403,D,"six lines gather near endpoint, but spike/sawtooth lacks clean launch",budget-mapper-luna-max
V0404,N,"rebound above separated MA stack; no endpoint six-line convergence",budget-mapper-luna-max
V0405,B,"fast/mid near, slow pair far below; extended run",budget-mapper-luna-max
V0406,D,"lines compact near recent core, price already stair-stepped away",budget-mapper-luna-max
V0407,B,"fast pair below slower cluster after rebound; no six-line bundle",budget-mapper-luna-max
V0408,D,"MA cluster near recent core, endpoint spike detached",budget-mapper-luna-max
V0409,D,"near cluster but endpoint jump",budget-mapper-luna-max
V0410,D,"near cluster but endpoint jump",budget-mapper-luna-max
V0411,B,"fast pair above mid/slow; extended rise",budget-mapper-luna-max
V0412,N,"separated stack with extended rebound",budget-mapper-luna-max
V0413,B,"fast/mid lines compressed while slow lines lag",budget-mapper-luna-max
V0414,D,"clustered lines but endpoint jump; no quiet launch",budget-mapper-luna-max
V0415,N,"separated lines through rebound",budget-mapper-luna-max
V0416,D,"compact recent core with abrupt endpoint rise",budget-mapper-luna-max
V0417,B,"fast pair above slower lines; rise already extended",budget-mapper-luna-max
V0418,D,"all lines near 99, sharp rebound at endpoint",budget-mapper-luna-max
V0419,D,"lines close, late rebound already detached",budget-mapper-luna-max
V0420,B,"partial bundle with slow offset",budget-mapper-luna-max
V0421,N,"separated stack under extended rise",budget-mapper-luna-max
V0422,N,"separated stack under extended rise",budget-mapper-luna-max
V0423,B,"fast/mid and slow spread; late staircase",budget-mapper-luna-max
V0424,B,"partial bundle with slow lines lagging",budget-mapper-luna-max
V0425,D,"recent compact core, late step already detached",budget-mapper-luna-max
V0426,D,"clustered lines with endpoint spike",budget-mapper-luna-max
V0427,D,"lines compact but price already extended",budget-mapper-luna-max
V0428,B,"fast/mid versus slow spread",budget-mapper-luna-max
V0429,B,"partial bundle with late spike",budget-mapper-luna-max
V0430,D,"compact core with choppy late rise",budget-mapper-luna-max
V0431,N,"separated lines through extended rise",budget-mapper-luna-max
V0432,N,"separated lines under large rebound",budget-mapper-luna-max
V0433,D,"compact recent core, late rise detached",budget-mapper-luna-max
V0434,D,"convergence exists but departure began earlier and is extended",budget-mapper-luna-max
V0435,B,"fast/slow separation with endpoint rebound",budget-mapper-luna-max
V0436,D,"broad recent cluster with late spike detached",budget-mapper-luna-max
V0437,B,"fast/slow spread after rebound",budget-mapper-luna-max
V0438,N,"separated lines with established rise",budget-mapper-luna-max
V0439,P,"all six compact; candles hug bundle; fresh final-bar upward departure",budget-mapper-luna-max
V0440,D,"lines near recent core but rebound already detached",budget-mapper-luna-max
V0441,B,"fast/mid rise while slow pair remains below",budget-mapper-luna-max
V0442,N,"separated lines beneath extended rebound",budget-mapper-luna-max
V0443,B,"partial fast/mid bundle; slow lines offset",budget-mapper-luna-max
V0444,B,"fast/mid near but slow line remains far below",budget-mapper-luna-max
V0445,N,"widely separated lines under large rebound",budget-mapper-luna-max
V0446,D,"compact MA core with final spike detached",budget-mapper-luna-max
V0447,N,"slow line far below established rebound",budget-mapper-luna-max
V0448,D,"compact lines with late step already detached",budget-mapper-luna-max
V0449,D,"lines near recent core; rebound already detached",budget-mapper-luna-max
V0450,B,"partial bundle with slow lines offset",budget-mapper-luna-max
V0451,P,"all six compact; candles hug bundle; fresh endpoint departure",budget-mapper-luna-max
V0452,N,"widely separated stack under extended rise",budget-mapper-luna-max
V0453,B,"fast pair above slower cluster; late extension",budget-mapper-luna-max
V0454,B,"fast lines below slow cluster; endpoint rebound",budget-mapper-luna-max
V0455,N,"separated lines under extended rebound",budget-mapper-luna-max
V0456,B,"fast/purple pair below elevated blue line; no full bundle",budget-mapper-luna-max
V0457,B,"partial bundle with fast/slow spread",budget-mapper-luna-max
V0458,N,"separated lines with endpoint spike",budget-mapper-luna-max
