visual_id,class,reason,reviewer
V0001,N,Established rise; fast pair separated well above slow pair,astra
V0002,N,Departure began far left; stacked upward lines,astra
V0003,D,Recent six-line gathering but rebound already several bars above bundle,astra
V0004,B,V rebound while fast pair remains below slow group,astra
V0005,B,Fast pair above isolated slow SMA after noisy retest,astra
V0006,D,Recent compact bundle but large repeated spikes and wide departure,astra
V0007,P,Quiet candles hug converged six-line bundle then fresh upward departure,astra
V0008,D,Recent bundle with choppy alternating candles before breakout,astra
V0009,N,Recovery through still separated descending MA families,astra
V0010,D,Bundle present but repeated tall wicks and prior impulse,astra
V0011,N,Launch occurred ten bars earlier; current fast pair separated,astra
V0012,N,Established rising stack and continuation,astra
V0013,N,Large prior impulse followed by extended rising stack,astra
V0014,B,Fast and slow groups visibly apart despite sideways candles,astra
V0015,B,Slow purple pair remains below fast-mid convergence,astra
V0016,B,Slow lines above fast-mid rebound; no unified tight core,astra
V0017,B,Isolated slow SMA below faster cluster,astra
V0018,D,Recent convergence but prior wide swing and choppy pullback,astra
V0019,D,Six-line bundle under repeated wide spikes and reversals,astra
V0020,N,Stair-step continuation above separated fast pair,astra
V0021,N,Rising trend with slow group well below fast pair,astra
V0022,D,Recent bundle but rebound and multi-bar uneven departure,astra
V0023,B,Slow-mid solid line remains above lower bundle,astra
V0024,D,Recent compressed core but prolonged multi-bar departure,astra
V0025,N,Rebound through separated descending fast-mid-slow families,astra
V0026,N,Rising continuation above separated slow group,astra
V0027,B,Slow and mid solid lines remain apart during rebound,astra
V0028,D,Tight bundle before four-bar strong departure already extended,astra
V0029,B,Fast pair low while slow group still overhead,astra
V0030,B,Partial fast-mid convergence with slow SMA isolated below,astra
V0031,B,Fast pair pulls away from lower mid-slow lines,astra
V0032,D,Recent broad bundle but volatile swings and tall breakout wicks,astra
V0033,N,Established rise with separate fast-mid-slow tiers,astra
V0034,B,Mid solid line remains overhead and slow solid below,astra
V0035,N,Extended rising stack without recent six-line core,astra
V0036,D,Recent six-line convergence after deep dip; departure already extended,astra
V0037,D,Compact bundle but sharp spike and long upper wick,astra
V0038,B,Partial convergence with mid solid overhead and slow below,astra
V0039,B,Slow SMA isolated below faster sideways bundle,astra
V0040,D,Dense core followed by extreme upper-wick spike,astra
V0041,B,Slow SMA remains below core amid volatile reversal,astra
V0042,N,Pullback continuation with fast pair well above slow group,astra
V0043,B,Most lines gather but purple EMA and blue SMA stay apart,astra
V0044,D,Recent convergence but large alternating swings and uneven rise,astra
V0045,B,Slow pair remains overhead rather than meeting fast-mid group,astra
V0046,B,Fast pair above slower group; sharp up-down spike,astra
V0047,B,Converging families but lower mid SMA remains visibly apart,astra
V0048,N,Earlier launch and extended trend pullback,astra
V0049,B,Slow pair above lower fast pair during uneven recovery,astra
V0050,N,Existing upward trend with separated fast and slow groups,astra
V0051,D,Recent six-line compression but prior pop and broad one-bar expansion,astra
V0052,N,Established rising stack with distant slow SMA,astra
V0053,N,Earlier impulse then trend pullback; no recent joint core,astra
V0054,B,Descending slow group remains above lower fast pair,astra
V0055,B,Fast group has separated upward from slow pair,astra
V0056,B,Fast pair below slow group despite fresh rebound,astra
V0057,B,Slow SMA descends above the fast-mid cluster,astra
V0058,P,Long quiet six-line compression and fresh two-bar upward break,astra
V0059,D,Recent convergence but deep alternating swings and extended breakout,astra
V0060,D,Recent bundle but uneven prior rebound and multi-bar rise,astra
V0061,B,Slow group overhead and mid SMA below partial cluster,astra
V0062,B,Fast pair below overhead mid-slow bundle,astra
V0063,D,Recent six-line meeting followed by uneven multi-bar departure,astra
V0064,B,Mid solid line remains below fast-slow convergence,astra
V0065,B,Rebound while fast pair stays below slow group,astra
V0066,D,Recent convergence but large uneven impulse and upper wicks,astra
V0067,N,Established trend with fast-mid-slow tiers,astra
V0068,B,Mid SMA isolated below otherwise compressed bundle,astra
V0069,D,Joint compression followed by a six-bar advance already underway,astra
V0070,B,Lower slow SMA remains apart from faster core,astra
V0071,N,Extended rising fast pair above lower slow group,astra
V0072,B,Partial fast-mid meeting with slow pair below,astra
V0073,B,Slow purple pair detached below fast-mid cluster,astra
V0074,B,Fast pair remains below overhead slow group,astra
V0075,N,Rebound across widely separated MA tiers,astra
V0076,N,Fast group far below slow-mid lines during sharp rebound,astra
V0077,D,Recent joint compression but five-bar upward run already extended,astra
