exit_reason,trades,share,mean_r,total_r,median_hold_bars,median_mfe_r
initial_stop,826,0.559620596205962,-1.0575153857521542,-873.5077086312793,22.0,0.48362732677126985
opposite_v6_next_open,176,0.11924119241192412,-0.422303653297149,-74.32544298029822,83.5,1.268046527540199
trailing_stop,474,0.32113821138211385,2.2730627679985274,1077.431752031302,75.0,3.8475576552312902
