symbol,trades,total_r,mean_r
LYNUSDT,1,33.02593065693441,33.02593065693441
PROMUSDT,2,32.91169671821964,16.45584835910982
ALPINEUSDT,2,28.311947207833697,14.155973603916848
PENGUUSDT,5,19.595777653150595,3.919155530630119
ZENUSDT,5,16.05385609487419,3.2107712189748385
ACXUSDT,5,15.661601011729726,3.1323202023459453
AIUSDT,3,15.494594960310653,5.164864986770218
1000000MOGUSDT,4,14.070955768481179,3.5177389421202947
BIOUSDT,4,12.74694490198722,3.186736225496805
INXUSDT,1,11.750967921896782,11.750967921896782
