reached,all_trades,share_all,then_initial_stop,share_of_initial_stops
≥0.5R,1030,0.6978319783197832,405,0.49031476997578693
≥1.0R,801,0.5426829268292683,215,0.2602905569007264
≥1.5R,657,0.4451219512195122,111,0.1343825665859564
≥2.0R,538,0.36449864498644985,34,0.04116222760290557
≥3.0R,343,0.23238482384823847,2,0.002421307506053269
