bucket,trades,share,total_r,median_hold_bars
≤ −1R（整笔止损）,826,0.559620596205962,-873.5077086312793,22.0
−1R ~ 0,166,0.11246612466124661,-84.30784198470715,70.0
0 ~ 1R,184,0.12466124661246612,97.22110599558533,65.0
1 ~ 3R,198,0.13414634146341464,341.88672521990486,80.0
3 ~ 10R,91,0.061653116531165314,445.1536286008733,113.0
≥ 10R,11,0.007452574525745257,203.15269121934753,125.0
