period,score,scored,auc_gt10,candidates,invalid,censored,closed,gt10,precision,confirmed_gt10_per_candidate,candidate_coverage,coverage,recall,win_rate,mean_r,mean_gross_bp,mean_net_bp,assets,positive_asset_months,matched_pairs,unmatched_closed,random_gt10,paired_gt10,random_precision,random_mean_net_bp,paired_excess_r,paired_excess_net_bp,random_tail_p,random_net_p
earlier,reference_risk_fraction_low,13938,0.6500395451448103,1394,0,0,1394,19,0.013629842180774749,0.013629842180774749,0.07519283672258482,0.07519283672258482,0.10270270270270271,0.38880918220946914,0.46243772143067324,84.83012176633703,64.83012176633703,295,15,1371,23,13,19,0.009482129832239242,-9.02927240964176,0.5393934896223034,77.08650146194812,0.125,0.01953125
earlier,reference_risk_fraction_high,13938,0.3499604548551897,1394,0,0,1394,2,0.0014347202295552368,0.0014347202295552368,0.07519283672258482,0.07519283672258482,0.010810810810810811,0.20229555236728838,-0.2690144091164425,-256.92705721897266,-276.9270572189727,385,2,1393,1,10,2,0.007178750897343862,-34.6752667228714,-0.19748729144288776,-241.29718304329182,1.0,0.99609375
earlier,atr_fraction_low,13938,0.5746360517209828,1394,0,0,1394,11,0.007890961262553802,0.007890961262553802,0.07519283672258482,0.07519283672258482,0.05945945945945946,0.41965566714490676,0.39128562379071163,78.15038337580927,58.150383375809255,239,9,1378,16,12,11,0.008708272859216255,-2.701359673050702,0.3711470074052004,62.9852754131208,0.75,0.021484375
earlier,atr_fraction_high,13938,0.4253639482790172,1394,0,0,1394,9,0.006456241032998565,0.006456241032998565,0.07519283672258482,0.07519283672258482,0.04864864864864865,0.25107604017216645,-0.1172627153979082,-123.16767376371,-143.16767376370998,301,7,1387,7,18,9,0.012977649603460706,-10.057162431324453,-0.14730095272296673,-135.06303462006255,0.875,0.951171875
earlier,risk_atr_low,13938,0.6654191394330004,1394,0,0,1394,25,0.017934002869440458,0.017934002869440458,0.07519283672258482,0.07519283672258482,0.13513513513513514,0.29913916786226685,0.2773178870659415,48.19129094918331,28.191290949183298,384,21,1373,21,12,25,0.00873998543335761,4.814656935525504,0.27520476954243117,27.338986348278834,0.21875,0.21875
earlier,risk_atr_high,13938,0.3345808605669997,1394,0,0,1394,0,0.0,0.0,0.07519283672258482,0.07519283672258482,0.0,0.24892395982783358,-0.09956382742071651,-155.53317443611027,-175.5331744361103,411,0,1393,1,11,0,0.007896625987078248,-77.27677316978463,0.07459200847183453,-98.33490177627921,1.0,0.1953125
earlier,volume_ratio_low,13938,0.5832825441943713,1394,0,0,1394,21,0.015064562410329985,0.015064562410329985,0.07519283672258482,0.07519283672258482,0.11351351351351352,0.3672883787661406,0.528306376857327,126.42637296152887,106.42637296152887,404,19,1373,21,11,21,0.008011653313911144,-5.335007971533507,0.6111840499937587,117.02472903283464,0.0390625,0.044921875
earlier,volume_ratio_high,13938,0.4167174558056287,1394,0,0,1394,7,0.005021520803443328,0.005021520803443328,0.07519283672258482,0.07519283672258482,0.03783783783783784,0.2833572453371593,0.011065652921169317,-73.36583609414494,-93.36583609414494,415,5,1386,8,10,7,0.007215007215007215,-44.43679439273815,0.1301416349858903,-47.0212985293826,0.84375,0.212890625
earlier,expansion_low,13938,0.5668028806174569,1394,0,0,1394,20,0.014347202295552367,0.014347202295552367,0.07519283672258482,0.07519283672258482,0.10810810810810811,0.36083213773314204,0.44349200963379565,62.33553246936213,42.335532469362114,405,15,1373,21,14,20,0.010196649672250545,-50.14831220673244,0.5525220512033138,96.44021174056367,0.28125,0.03125
earlier,expansion_high,13938,0.43319711938254307,1394,0,0,1394,11,0.007890961262553802,0.007890961262553802,0.07519283672258482,0.07519283672258482,0.05945945945945946,0.3285509325681492,0.15339777484117517,-19.489304103531886,-39.489304103531914,417,8,1385,9,10,11,0.007220216606498195,-47.181513385315895,0.25873576434463175,10.053831913720343,0.5,0.205078125
earlier,body_fraction_low,13938,0.5689550540884779,1394,0,0,1394,14,0.010043041606886656,0.010043041606886656,0.07519283672258482,0.07519283672258482,0.07567567567567568,0.351506456241033,0.3286894390907656,57.65644307678147,37.656443076781464,401,11,1375,19,10,14,0.007272727272727273,-9.745610234985607,0.41861321366030807,50.57111943732327,0.40625,0.0546875
earlier,body_fraction_high,13938,0.4310449459115221,1394,0,0,1394,5,0.003586800573888092,0.003586800573888092,0.07519283672258482,0.07519283672258482,0.02702702702702703,0.3902439024390244,0.34958012918026543,71.14903596562245,51.149035965622446,388,5,1381,13,17,5,0.012309920347574221,11.852188457354778,0.27747420562079417,41.92519136476845,1.0,0.19921875
earlier,close_location_low,13938,0.5600546593669335,1394,0,0,1394,13,0.009325681492109038,0.009325681492109038,0.07519283672258482,0.07519283672258482,0.07027027027027027,0.35724533715925394,0.33675159034078705,69.56521767929819,49.56521767929818,412,10,1381,13,12,13,0.008689355539464157,0.12656882169997302,0.3299201279430405,51.23349958538178,0.5,0.0625
