scope,signal_bar_i,signal_time,signal_gap_run_id,signal_atr_bucket,control_rank,control_bar_i,control_time,control_gap_run_id,control_atr_bucket,match_tier,control_gross_ret_3h,control_net_ret_3h,control_mfe_3h,control_mae_3h
gap_replay,568,2026-03-14 16:39:00+00:00,1,2,1,683,2026-03-14 22:24:00+00:00,1,2,same_run_atr_quintile,0.0001006976911458457,-0.0018993023088541543,0.0021338320266608424,0.006334364285885519
gap_replay,568,2026-03-14 16:39:00+00:00,1,2,2,570,2026-03-14 16:45:00+00:00,1,2,same_run_atr_quintile,-0.0013208638642498993,-0.0033208638642498994,0.0013883532587736225,0.0016872348630929679
gap_replay,568,2026-03-14 16:39:00+00:00,1,2,3,675,2026-03-14 22:00:00+00:00,1,2,same_run_atr_quintile,-0.0002827891639025637,-0.0022827891639025637,0.0025690676585057304,0.005895435111869407
gap_replay,586,2026-03-14 17:33:00+00:00,1,1,1,596,2026-03-14 18:03:00+00:00,1,1,same_run_atr_quintile,-0.00487630770418046,-0.00687630770418046,0.0008537155921265471,0.006853840996676741
gap_replay,586,2026-03-14 17:33:00+00:00,1,1,2,690,2026-03-14 22:45:00+00:00,1,1,same_run_atr_quintile,-0.0005420782223670706,-0.0025420782223670706,0.0017125834104876336,0.006759187746153694
gap_replay,586,2026-03-14 17:33:00+00:00,1,1,3,638,2026-03-14 20:09:00+00:00,1,1,same_run_atr_quintile,-0.007965901702506883,-0.009965901702506883,0.00013003588027060697,0.010744816625328113
gap_replay,604,2026-03-14 18:27:00+00:00,1,1,1,614,2026-03-14 18:57:00+00:00,1,1,same_run_atr_quintile,-0.004807507033026237,-0.006807507033026237,0.0009826968283941362,0.005583066784847324
gap_replay,604,2026-03-14 18:27:00+00:00,1,1,2,610,2026-03-14 18:45:00+00:00,1,1,same_run_atr_quintile,-0.004177729377581096,-0.0061777293775810965,0.0006794231167691622,0.005883515075001622
gap_replay,604,2026-03-14 18:27:00+00:00,1,1,3,619,2026-03-14 19:12:00+00:00,1,1,same_run_atr_quintile,-0.0037711495022372254,-0.0057711495022372255,0.0006742796044868493,0.005403869401673367
gap_replay,622,2026-03-14 19:21:00+00:00,1,1,1,605,2026-03-14 18:30:00+00:00,1,1,same_run_atr_quintile,-0.0037158775447254655,-0.0057158775447254655,0.0004819555829734812,0.006082279457125139
gap_replay,622,2026-03-14 19:21:00+00:00,1,1,2,579,2026-03-14 17:12:00+00:00,1,1,same_run_atr_quintile,-0.00029860522462810124,-0.0022986052246281013,0.002311782384218364,0.0011221776990057997
gap_replay,622,2026-03-14 19:21:00+00:00,1,1,3,666,2026-03-14 21:33:00+00:00,1,1,same_run_atr_quintile,-0.0021127944106982266,-0.004112794410698227,0.0007442798492234282,0.0077357086264433494
gap_replay,640,2026-03-14 20:15:00+00:00,1,0,1,630,2026-03-14 19:45:00+00:00,1,0,same_run_atr_quintile,-0.0035770338060989726,-0.005577033806098973,0.0010832201970016886,0.004992441530181191
gap_replay,640,2026-03-14 20:15:00+00:00,1,0,2,639,2026-03-14 20:12:00+00:00,1,0,same_run_atr_quintile,-0.007645863626296379,-0.009645863626296379,0.00017333192099922012,0.010457692566949284
gap_replay,640,2026-03-14 20:15:00+00:00,1,0,3,625,2026-03-14 19:30:00+00:00,1,0,same_run_atr_quintile,-0.004579976209166725,-0.006579976209166725,0.0007416575564791472,0.005336081640122892
gap_replay,658,2026-03-14 21:09:00+00:00,1,2,1,657,2026-03-14 21:06:00+00:00,1,2,same_run_atr_quintile,-0.004210839671199285,-0.006210839671199285,0.001008296842590406,0.007653453176615255
gap_replay,658,2026-03-14 21:09:00+00:00,1,2,2,654,2026-03-14 20:57:00+00:00,1,2,same_run_atr_quintile,-0.005002638016211813,-0.007002638016211813,0.0020528562520985005,0.006599836922634106
gap_replay,658,2026-03-14 21:09:00+00:00,1,2,3,574,2026-03-14 16:57:00+00:00,1,2,same_run_atr_quintile,0.0002504105287995939,-0.0017495894712004061,0.002441502655796346,0.0009920109410137545
