bar_i,n_boxes,n_tip_boxes,raw_fire,max_conf_all,max_tip_conf,max_right_bar,box_cx,box_cy,box_w,box_h,scan_error,mapped_box_bar_i
568,1,1,True,0.749519407749176,0.749519407749176,199,0.981921374797821,0.5138512253761292,0.032266329973936,0.0421264320611953,,568
569,0,0,False,,,-1,,,,,,-1
570,1,1,True,0.3376846611499786,0.3376846611499786,199,0.9818477630615234,0.5162792801856995,0.0312501899898052,0.0318559929728508,,570
571,2,2,True,0.4932124614715576,0.4932124614715576,199,0.982010543346405,0.5142977833747864,0.0318496711552143,0.0494321025907993,,571
572,1,1,True,0.3534160852432251,0.3534160852432251,199,0.981756329536438,0.5095069408416748,0.0321002975106239,0.0370233729481697,,572
573,1,1,True,0.6795613765716553,0.6795613765716553,199,0.9817264676094056,0.5054137706756592,0.0324007049202919,0.0390310361981391,,573
574,1,1,True,0.6053842306137085,0.6053842306137085,199,0.9820123910903932,0.5054685473442078,0.0321606621146202,0.035709474235773,,574
575,1,1,True,0.7262648940086365,0.7262648940086365,199,0.9814117550849916,0.5055096745491028,0.0320425033569335,0.0315752886235713,,575
576,1,1,True,0.7946197986602783,0.7946197986602783,199,0.9818334579467772,0.5053527355194092,0.032088853418827,0.0326446369290351,,576
577,1,1,True,0.8104234337806702,0.8104234337806702,199,0.9813051223754884,0.5057439804077148,0.0319275856018066,0.0305575150996446,,577
578,1,1,True,0.8041715621948242,0.8041715621948242,199,0.981897234916687,0.5051208734512329,0.0318794250488281,0.0307657495141029,,578
579,1,1,True,0.6729999780654907,0.6729999780654907,199,0.9816808700561525,0.5043823719024658,0.0320780761539936,0.0314516127109527,,579
580,1,1,True,0.8174095153808594,0.8174095153808594,199,0.9817546010017396,0.5038148164749146,0.0320240035653114,0.0309890788048505,,580
581,1,1,True,0.8352639675140381,0.8352639675140381,199,0.9817996025085448,0.5041356086730957,0.0320850387215614,0.0308417547494173,,581
582,1,1,True,0.8238165974617004,0.8238165974617004,199,0.9816581606864928,0.5041239857673645,0.0320402160286903,0.0295401513576507,,582
583,1,1,True,0.8010280132293701,0.8010280132293701,199,0.9819570779800416,0.5041314959526062,0.0320611000061035,0.0303250961005687,,583
584,2,2,True,0.88255375623703,0.88255375623703,199,0.9815293550491332,0.504263699054718,0.0309242252260446,0.0367073006927967,,584
