bar_i,signal_time,gap_run_id,strict_oos,atr_pct,train_pixel_overlap_bars,atr_bucket
568,2026-03-14 16:39:00+00:00,1,False,0.0009103675056270505,0,2
569,2026-03-14 16:42:00+00:00,1,False,0.0008875488380666904,0,2
570,2026-03-14 16:45:00+00:00,1,False,0.000880445198632661,0,2
571,2026-03-14 16:48:00+00:00,1,False,0.0009197159170694936,0,2
572,2026-03-14 16:51:00+00:00,1,False,0.0009127009705109714,0,2
573,2026-03-14 16:54:00+00:00,1,False,0.0008956573755424085,0,2
574,2026-03-14 16:57:00+00:00,1,False,0.0008450686632204395,0,2
575,2026-03-14 17:00:00+00:00,1,False,0.0008100973416185622,0,2
576,2026-03-14 17:03:00+00:00,1,False,0.0007891934526479328,0,2
577,2026-03-14 17:06:00+00:00,1,False,0.0007826754055365519,0,2
578,2026-03-14 17:09:00+00:00,1,False,0.0007842419016511067,0,2
579,2026-03-14 17:12:00+00:00,1,False,0.0007444459483185551,0,1
580,2026-03-14 17:15:00+00:00,1,False,0.0007292604291552058,0,1
581,2026-03-14 17:18:00+00:00,1,False,0.0007204730282260802,0,1
582,2026-03-14 17:21:00+00:00,1,False,0.0007195761696130852,0,1
583,2026-03-14 17:24:00+00:00,1,False,0.0007116570665839692,0,1
584,2026-03-14 17:27:00+00:00,1,False,0.0007275077765673074,0,1
585,2026-03-14 17:30:00+00:00,1,False,0.0007168165140485986,0,1
586,2026-03-14 17:33:00+00:00,1,False,0.0007355723796179516,0,1
587,2026-03-14 17:36:00+00:00,1,False,0.0007218343019414625,0,1
588,2026-03-14 17:39:00+00:00,1,False,0.0007114883382342026,0,1
589,2026-03-14 17:42:00+00:00,1,False,0.0006857591467820731,0,1
590,2026-03-14 17:45:00+00:00,1,False,0.0006789091307556089,0,1
591,2026-03-14 17:48:00+00:00,1,False,0.0007342767004043394,0,1
592,2026-03-14 17:51:00+00:00,1,False,0.0007140360238850705,0,1
593,2026-03-14 17:54:00+00:00,1,False,0.0007170338458242157,0,1
594,2026-03-14 17:57:00+00:00,1,False,0.0006922361983428461,0,1
595,2026-03-14 18:00:00+00:00,1,False,0.0007119638483276181,0,1
596,2026-03-14 18:03:00+00:00,1,False,0.0006804341824309584,0,1
597,2026-03-14 18:06:00+00:00,1,False,0.0006679384759791722,0,1
598,2026-03-14 18:09:00+00:00,1,False,0.0006419712693157477,0,1
599,2026-03-14 18:12:00+00:00,1,False,0.0006467476309482056,0,1
600,2026-03-14 18:15:00+00:00,1,False,0.0006440435342675749,0,1
601,2026-03-14 18:18:00+00:00,1,False,0.0006255844828063369,0,1
602,2026-03-14 18:21:00+00:00,1,False,0.0006263667040704453,0,1
603,2026-03-14 18:24:00+00:00,1,False,0.0006120427781183789,0,1
604,2026-03-14 18:27:00+00:00,1,False,0.0006007868789095733,0,1
605,2026-03-14 18:30:00+00:00,1,False,0.0006241402038258025,0,1
606,2026-03-14 18:33:00+00:00,1,False,0.0006184209019365461,0,1
607,2026-03-14 18:36:00+00:00,1,False,0.0005897527248415145,0,1
608,2026-03-14 18:39:00+00:00,1,False,0.000603535429979881,0,1
609,2026-03-14 18:42:00+00:00,1,False,0.0006133371099340725,0,1
610,2026-03-14 18:45:00+00:00,1,False,0.0005969194894797177,0,1
611,2026-03-14 18:48:00+00:00,1,False,0.0005937464681515638,0,1
612,2026-03-14 18:51:00+00:00,1,False,0.0005678044310037406,0,1
613,2026-03-14 18:54:00+00:00,1,False,0.0005462586580843207,0,1
614,2026-03-14 18:57:00+00:00,1,False,0.000576998324021212,0,1
615,2026-03-14 19:00:00+00:00,1,False,0.0006064325069084114,0,1
616,2026-03-14 19:03:00+00:00,1,False,0.0005984012093482263,0,1
617,2026-03-14 19:06:00+00:00,1,False,0.0005855813762089564,0,1
618,2026-03-14 19:09:00+00:00,1,False,0.0005773208445241998,0,1
619,2026-03-14 19:12:00+00:00,1,False,0.0005741123864924599,0,1
620,2026-03-14 19:15:00+00:00,1,False,0.0005873718540731247,0,1
621,2026-03-14 19:18:00+00:00,1,False,0.0005878720988658322,0,1
622,2026-03-14 19:21:00+00:00,1,False,0.0005712560051399007,0,1
623,2026-03-14 19:24:00+00:00,1,False,0.0005629672911857274,0,1
624,2026-03-14 19:27:00+00:00,1,False,0.0005473732581501497,0,1
625,2026-03-14 19:30:00+00:00,1,False,0.0005257945375419048,0,0
626,2026-03-14 19:33:00+00:00,1,False,0.0005266040525426382,0,0
627,2026-03-14 19:36:00+00:00,1,False,0.0005252836039583936,0,0
628,2026-03-14 19:39:00+00:00,1,False,0.0004925793046917452,0,0
629,2026-03-14 19:42:00+00:00,1,False,0.0004946382342336938,0,0
630,2026-03-14 19:45:00+00:00,1,False,0.0004851752825002522,0,0
631,2026-03-14 19:48:00+00:00,1,False,0.0005309519048881093,0,0
632,2026-03-14 19:51:00+00:00,1,False,0.0005376663520616953,0,1
633,2026-03-14 19:54:00+00:00,1,False,0.000539610079917824,0,1
634,2026-03-14 19:57:00+00:00,1,False,0.0005192411675230801,0,0
635,2026-03-14 20:00:00+00:00,1,False,0.0005277561068971302,0,0
636,2026-03-14 20:03:00+00:00,1,False,0.0005283471620395457,0,0
637,2026-03-14 20:06:00+00:00,1,False,0.0005514087294485056,0,1
638,2026-03-14 20:09:00+00:00,1,False,0.0005379266076510568,0,1
639,2026-03-14 20:12:00+00:00,1,False,0.0005292841798789986,0,0
640,2026-03-14 20:15:00+00:00,1,False,0.0005151287650645765,0,0
641,2026-03-14 20:18:00+00:00,1,False,0.0005344078119775394,0,0
642,2026-03-14 20:21:00+00:00,1,False,0.0005640758612665667,0,1
643,2026-03-14 20:24:00+00:00,1,False,0.0005607258681621354,0,1
644,2026-03-14 20:27:00+00:00,1,False,0.0005496484383580789,0,1
645,2026-03-14 20:30:00+00:00,1,False,0.0005385332376016053,0,1
646,2026-03-14 20:33:00+00:00,1,False,0.000527856873759141,0,0
647,2026-03-14 20:36:00+00:00,1,False,0.0005267261695466368,0,0
648,2026-03-14 20:39:00+00:00,1,False,0.0006116467004177036,0,1
649,2026-03-14 20:42:00+00:00,1,False,0.0007069928633079317,0,1
650,2026-03-14 20:45:00+00:00,1,False,0.0008695255304791219,0,2
651,2026-03-14 20:48:00+00:00,1,False,0.0008802521238676996,0,2
652,2026-03-14 20:51:00+00:00,1,False,0.0008449695227594012,0,2
653,2026-03-14 20:54:00+00:00,1,False,0.0008251525985138425,0,2
654,2026-03-14 20:57:00+00:00,1,False,0.0008130528892606298,0,2
655,2026-03-14 21:00:00+00:00,1,False,0.000860696486814875,0,2
656,2026-03-14 21:03:00+00:00,1,False,0.0008383510684323104,0,2
657,2026-03-14 21:06:00+00:00,1,False,0.0008215888352455803,0,2
658,2026-03-14 21:09:00+00:00,1,False,0.0007876648577397613,0,2
659,2026-03-14 21:12:00+00:00,1,False,0.0007838154862258324,0,2
660,2026-03-14 21:15:00+00:00,1,False,0.0007857116770308094,0,2
661,2026-03-14 21:18:00+00:00,1,False,0.0008457134748493149,0,2
662,2026-03-14 21:21:00+00:00,1,False,0.0008094719709426989,0,2
663,2026-03-14 21:24:00+00:00,1,False,0.0008060782679064945,0,2
664,2026-03-14 21:27:00+00:00,1,False,0.0007722072157334302,0,2
665,2026-03-14 21:30:00+00:00,1,False,0.0007508702501555997,0,1
666,2026-03-14 21:33:00+00:00,1,False,0.0007123414414858916,0,1
667,2026-03-14 21:36:00+00:00,1,False,0.0006876783184289215,0,1
668,2026-03-14 21:39:00+00:00,1,False,0.0006766016581958894,0,1
669,2026-03-14 21:42:00+00:00,1,False,0.0006756347461757376,0,1
670,2026-03-14 21:45:00+00:00,1,False,0.0006781237931953763,0,1
671,2026-03-14 21:48:00+00:00,1,False,0.0007441874624635825,0,1
672,2026-03-14 21:51:00+00:00,1,False,0.000743315891063168,0,1
673,2026-03-14 21:54:00+00:00,1,False,0.0007545586189884652,0,2
674,2026-03-14 21:57:00+00:00,1,False,0.0007688935270029544,0,2
675,2026-03-14 22:00:00+00:00,1,False,0.0007877648530619585,0,2
676,2026-03-14 22:03:00+00:00,1,False,0.0007922568975690358,0,2
677,2026-03-14 22:06:00+00:00,1,False,0.0007976181316401961,0,2
678,2026-03-14 22:09:00+00:00,1,False,0.0007780484279792722,0,2
679,2026-03-14 22:12:00+00:00,1,False,0.0007707396805573453,0,2
680,2026-03-14 22:15:00+00:00,1,False,0.0007598403895405206,0,2
681,2026-03-14 22:18:00+00:00,1,False,0.0007659596318071153,0,2
682,2026-03-14 22:21:00+00:00,1,False,0.0007518966104073942,0,2
683,2026-03-14 22:24:00+00:00,1,False,0.000759797539068162,0,2
684,2026-03-14 22:27:00+00:00,1,False,0.0007435767097762811,0,1
685,2026-03-14 22:30:00+00:00,1,False,0.0007258879971366142,0,1
686,2026-03-14 22:33:00+00:00,1,False,0.0006993986955047809,0,1
687,2026-03-14 22:36:00+00:00,1,False,0.0006781577159461942,0,1
688,2026-03-14 22:39:00+00:00,1,False,0.0006793641840878365,0,1
689,2026-03-14 22:42:00+00:00,1,False,0.0006520690412136082,0,1
690,2026-03-14 22:45:00+00:00,1,False,0.0006299518057525259,0,1
691,2026-03-14 22:48:00+00:00,1,False,0.0006552935643832995,0,1
692,2026-03-14 22:51:00+00:00,1,False,0.0006388690727791348,0,1
693,2026-03-14 22:54:00+00:00,1,False,0.0006619234338080486,0,1
694,2026-03-14 22:57:00+00:00,1,False,0.0006609316622473962,0,1
695,2026-03-14 23:00:00+00:00,1,False,0.0009594814857939478,0,2
696,2026-03-14 23:03:00+00:00,1,False,0.000980085682344446,0,2
697,2026-03-14 23:06:00+00:00,1,False,0.0010894338206001233,0,3
698,2026-03-14 23:09:00+00:00,1,False,0.0012518330142942795,0,3
699,2026-03-14 23:12:00+00:00,1,False,0.0013197959269148371,0,3
700,2026-03-14 23:15:00+00:00,1,False,0.00143745233138071,0,3
701,2026-03-14 23:18:00+00:00,1,False,0.0014396325028467488,0,3
702,2026-03-14 23:21:00+00:00,1,False,0.0013623838069693629,0,3
703,2026-03-14 23:24:00+00:00,1,False,0.001325852759960562,0,3
704,2026-03-14 23:27:00+00:00,1,False,0.0013326708001548493,0,3
705,2026-03-14 23:30:00+00:00,1,False,0.001319940173876102,0,3
706,2026-03-14 23:33:00+00:00,1,False,0.0012838877832250638,0,3
707,2026-03-14 23:36:00+00:00,1,False,0.0012348121663783092,0,3
708,2026-03-14 23:39:00+00:00,1,False,0.001214548824222027,0,3
709,2026-03-14 23:42:00+00:00,1,False,0.0011969131986532087,0,3
710,2026-03-14 23:45:00+00:00,1,False,0.0012235126205807389,0,3
711,2026-03-14 23:48:00+00:00,1,False,0.0012012733291760318,0,3
