symbol,timeframe_min,arm,fold,n,net_loss,benefited_4r,harmed_4r,baseline_mean_net_r,take4_mean_net_r,baseline_median_net_r,delta_mean_r
BTCUSDT,5,joint,all,54,4,33,21,4.004833548764189,3.3452382365149638,3.0239162375159765,-0.6595953122492264
BTCUSDT,5,joint,earlier,37,3,23,14,4.284562347021542,3.416941502752681,3.029328447701591,-0.8676208442688618
BTCUSDT,5,joint,later,17,1,10,7,3.396012046674654,3.1891781864681645,2.709682821994972,-0.20683386020649006
BTCUSDT,5,ordinary,all,114,13,79,35,3.287178161150203,3.34574213058102,2.6152255081936437,0.058563969430817674
BTCUSDT,5,ordinary,earlier,79,12,57,22,3.2792099799688432,3.3314610636142814,2.577577049180342,0.05225108364543796
BTCUSDT,5,ordinary,later,35,1,22,13,3.3051634843881303,3.377976538877376,2.9121405644715286,0.0728130544892461
BTCUSDT,15,joint,all,21,0,13,8,4.171894517113517,3.649040222944375,3.0026016684046093,-0.522854294169142
BTCUSDT,15,joint,earlier,11,0,5,6,4.952961126469948,3.673098402179937,3.566415402567233,-1.2798627242900118
BTCUSDT,15,joint,later,10,0,8,2,3.312721246821442,3.622576225785258,2.8739762074026785,0.3098549789638148
BTCUSDT,15,ordinary,all,39,0,23,16,4.1310149387648485,3.653509773070165,3.034849842146792,-0.477505165694684
BTCUSDT,15,ordinary,earlier,18,0,9,9,4.502994328423759,3.6435921311991817,3.657928168419411,-0.8594021972245762
BTCUSDT,15,ordinary,later,21,0,14,7,3.8121754619143555,3.66201060895958,3.0026016684046093,-0.15016485295477616
BTCUSDT,60,joint,all,8,0,6,2,3.4195399083151417,3.873555459004851,2.5028909897473994,0.45401555068970967
BTCUSDT,60,joint,earlier,7,0,5,2,3.5625451275854054,3.8746424650985616,2.5872786060715054,0.3120973375131567
BTCUSDT,60,joint,later,1,0,1,0,2.418503373423293,3.865946416348873,2.418503373423293,1.4474430429255798
BTCUSDT,60,ordinary,all,14,0,10,4,3.9494971488295403,3.882243776515047,2.618491440520282,-0.0672533723144945
BTCUSDT,60,ordinary,earlier,11,0,8,3,3.474352199549669,3.886015656015715,2.5872786060715054,0.4116634564660453
BTCUSDT,60,ordinary,later,3,0,2,1,5.69169529618907,3.8684135516792626,2.6497042749690594,-1.8232817445098075
ETHUSDT,5,joint,all,65,5,44,21,3.6098786125809856,3.499142591353406,2.1903971340839554,-0.11073602122757853
ETHUSDT,5,joint,earlier,34,4,23,11,3.7188399410938233,3.4615544855815585,2.1212191357050187,-0.2572854555122652
ETHUSDT,5,joint,later,31,1,21,10,3.490372639373356,3.540368255748336,2.1917449417535466,0.04999561637498126
ETHUSDT,5,ordinary,all,153,11,98,55,3.7352052100483193,3.5705451078948927,2.591541573033713,-0.16466010215342683
ETHUSDT,5,ordinary,earlier,81,6,54,27,3.3652726500789982,3.5436650390743742,2.091444219066879,0.1783923889953759
ETHUSDT,5,ordinary,later,72,5,44,28,4.151379340013805,3.6007851853179753,2.9745222318646087,-0.5505941546958298
ETHUSDT,15,joint,all,17,1,10,7,4.460028605970123,3.781814558437143,3.290672782874642,-0.6782140475329808
ETHUSDT,15,joint,earlier,10,0,5,5,5.532122885343118,3.8030515106199845,4.315895818125652,-1.7290713747231348
ETHUSDT,15,joint,later,7,1,5,2,2.928465349722988,3.7514760553187982,3.0782695588593496,0.8230107055958106
ETHUSDT,15,ordinary,all,44,3,27,17,3.6755359760327924,3.7650639004085007,3.175794003074709,0.0895279243757082
ETHUSDT,15,ordinary,earlier,25,2,14,11,4.101438665817513,3.744384824951674,3.3660258620689354,-0.35705384086583963
ETHUSDT,15,ordinary,later,19,1,13,6,3.115137700000265,3.7922732102201158,3.0470376811594297,0.6771355102198502
ETHUSDT,60,joint,all,7,0,2,5,6.9920613769490725,3.873123208749358,4.7189273972603,-3.118938168199713
ETHUSDT,60,joint,earlier,6,0,2,4,5.248994731834412,3.87614405860078,4.324080446317154,-1.3728506732336314
ETHUSDT,60,joint,later,1,0,0,1,17.45046124763703,3.854998109640826,17.45046124763703,-13.595463137996203
ETHUSDT,60,ordinary,all,14,0,5,9,6.488824377215559,3.8818408107515667,5.5466606280492385,-2.606983566463993
ETHUSDT,60,ordinary,earlier,10,0,4,6,5.018117260705457,3.880633362715564,4.084243472906564,-1.137483897989894
ETHUSDT,60,ordinary,later,4,0,1,3,10.165592168490816,3.8848594308415736,10.735706719840529,-6.280732737649243
