symbol,timeframe_min,arm,fold,feature,value,n,win_rate,mean_net_r,random_net_r,excess_r,interpretation
BTCUSDT,5,joint,all,htf_slope_aligned,False,150,0.20666666666666667,-0.5866533295076478,-0.7547689619857817,0.16811563247813385,Post-hoc strata only; not a serial admission-policy replay.
BTCUSDT,5,joint,all,htf_slope_aligned,True,327,0.24464831804281345,-0.611429537783847,-0.7371133577868698,0.12568382000302267,Post-hoc strata only; not a serial admission-policy replay.
BTCUSDT,5,joint,all,last_15m_aligned,False,235,0.24680851063829787,-0.611604719833706,-0.8922692744670804,0.28066455463337425,Post-hoc strata only; not a serial admission-policy replay.
BTCUSDT,5,joint,all,last_15m_aligned,True,242,0.2190082644628099,-0.5959022690931579,-0.5973889784892966,0.0014867093961386042,Post-hoc strata only; not a serial admission-policy replay.
BTCUSDT,5,joint,all,last_60m_aligned,False,261,0.24904214559386972,-0.5905631634513776,-0.7217517573313008,0.13118859387992302,Post-hoc strata only; not a serial admission-policy replay.
BTCUSDT,5,joint,all,last_60m_aligned,True,216,0.21296296296296297,-0.6194373732437758,-0.7679361279199267,0.14849875467615087,Post-hoc strata only; not a serial admission-policy replay.
BTCUSDT,5,joint,earlier,htf_slope_aligned,False,92,0.20652173913043478,-0.3918163473626804,-0.6663527923899605,0.27453644502728003,Post-hoc strata only; not a serial admission-policy replay.
BTCUSDT,5,joint,earlier,htf_slope_aligned,True,205,0.22926829268292684,-0.6120819597897585,-0.8082300027372222,0.1961480429474636,Post-hoc strata only; not a serial admission-policy replay.
BTCUSDT,5,joint,earlier,last_15m_aligned,False,155,0.24516129032258063,-0.5132223584378898,-0.9791970616748342,0.46597470323694434,Post-hoc strata only; not a serial admission-policy replay.
BTCUSDT,5,joint,earlier,last_15m_aligned,True,142,0.19718309859154928,-0.577284789833762,-0.5296905838127298,-0.04759420602103204,Post-hoc strata only; not a serial admission-policy replay.
BTCUSDT,5,joint,earlier,last_60m_aligned,False,164,0.24390243902439024,-0.5237184361351893,-0.8436759401173788,0.3199575039821894,Post-hoc strata only; not a serial admission-policy replay.
BTCUSDT,5,joint,earlier,last_60m_aligned,True,133,0.19548872180451127,-0.5686773096849329,-0.6663816036222315,0.0977042939372988,Post-hoc strata only; not a serial admission-policy replay.
BTCUSDT,5,joint,later,htf_slope_aligned,False,58,0.20689655172413793,-0.8957050942893201,-0.8950152999653601,-0.0006897943239599645,Post-hoc strata only; not a serial admission-policy replay.
BTCUSDT,5,joint,later,htf_slope_aligned,True,122,0.27049180327868855,-0.6103332549050611,-0.6176140773375068,0.007280822432445635,Post-hoc strata only; not a serial admission-policy replay.
BTCUSDT,5,joint,later,last_15m_aligned,False,80,0.25,-0.8022205450381001,-0.7238466867520573,-0.07837385828604297,Post-hoc strata only; not a serial admission-policy replay.
BTCUSDT,5,joint,later,last_15m_aligned,True,100,0.25,-0.6223390896415002,-0.6935206989300216,0.07118160928852114,Post-hoc strata only; not a serial admission-policy replay.
BTCUSDT,5,joint,later,last_60m_aligned,False,97,0.25773195876288657,-0.7035789910787476,-0.5156119018991688,-0.18796708917957888,Post-hoc strata only; not a serial admission-policy replay.
BTCUSDT,5,joint,later,last_60m_aligned,True,83,0.24096385542168675,-0.7007757883440905,-0.9306680764933417,0.22989228814925122,Post-hoc strata only; not a serial admission-policy replay.
BTCUSDT,5,ordinary,all,htf_slope_aligned,False,342,0.2046783625730994,-0.7960561418796417,-0.9819356508355842,0.18587950895594257,Post-hoc strata only; not a serial admission-policy replay.
BTCUSDT,5,ordinary,all,htf_slope_aligned,True,728,0.22115384615384615,-0.6874885070544101,-0.7010731580559718,0.013584651001561839,Post-hoc strata only; not a serial admission-policy replay.
BTCUSDT,5,ordinary,all,last_15m_aligned,False,517,0.2495164410058027,-0.6369532009736091,-0.6457230186912849,0.00876981771767566,Post-hoc strata only; not a serial admission-policy replay.
BTCUSDT,5,ordinary,all,last_15m_aligned,True,553,0.1844484629294756,-0.801877086356405,-0.9265179945517596,0.12464090819535456,Post-hoc strata only; not a serial admission-policy replay.
BTCUSDT,5,ordinary,all,last_60m_aligned,False,524,0.23473282442748092,-0.7049894380936811,-0.7814185714085934,0.07642913331491222,Post-hoc strata only; not a serial admission-policy replay.
BTCUSDT,5,ordinary,all,last_60m_aligned,True,546,0.1978021978021978,-0.7386966448669579,-0.7998899637956308,0.06119331892867286,Post-hoc strata only; not a serial admission-policy replay.
BTCUSDT,5,ordinary,earlier,htf_slope_aligned,False,209,0.21052631578947367,-0.6824540383783249,-0.9249978248759027,0.24254378649757768,Post-hoc strata only; not a serial admission-policy replay.
BTCUSDT,5,ordinary,earlier,htf_slope_aligned,True,451,0.1973392461197339,-0.694758967478682,-0.8183030329803193,0.1235440655016373,Post-hoc strata only; not a serial admission-policy replay.
BTCUSDT,5,ordinary,earlier,last_15m_aligned,False,318,0.2358490566037736,-0.5818478787841542,-0.7641751635011266,0.1823272847169724,Post-hoc strata only; not a serial admission-policy replay.
BTCUSDT,5,ordinary,earlier,last_15m_aligned,True,342,0.1695906432748538,-0.7922267921070012,-0.9338348283035945,0.14160803619659332,Post-hoc strata only; not a serial admission-policy replay.
BTCUSDT,5,ordinary,earlier,last_60m_aligned,False,326,0.2085889570552147,-0.6979619821138074,-0.9973720467134335,0.299410064599626,Post-hoc strata only; not a serial admission-policy replay.
BTCUSDT,5,ordinary,earlier,last_60m_aligned,True,334,0.19461077844311378,-0.6839328807929766,-0.710287203726372,0.026354322933395444,Post-hoc strata only; not a serial admission-policy replay.
