symbol,timeframe_min,arm,policy,informative_weeks,top_minus_rest_week_mean_bp,week_sign_permutation_p,null,p_holm_36
BTCUSDT,5,joint,baseline,14,15.158399640660264,0.37890625,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,1.0
BTCUSDT,5,joint,htf_slope,2,-37.510182382077744,1.0,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,1.0
BTCUSDT,5,joint,take_4r,14,22.26494295277248,0.30999755859375,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,1.0
BTCUSDT,5,ordinary,baseline,25,2.756506819654705,0.45655434456554345,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,1.0
BTCUSDT,5,ordinary,htf_slope,16,9.62782140185236,0.4218292236328125,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,1.0
BTCUSDT,5,ordinary,take_4r,25,3.2895489333909227,0.44555544445555445,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,1.0
BTCUSDT,15,joint,baseline,0,,,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,
BTCUSDT,15,joint,htf_slope,0,,,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,
BTCUSDT,15,joint,take_4r,0,,,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,
BTCUSDT,15,ordinary,baseline,1,-348.983041886131,,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,
BTCUSDT,15,ordinary,htf_slope,1,-348.983041886131,,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,
BTCUSDT,15,ordinary,take_4r,1,-348.983041886131,,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,
BTCUSDT,60,joint,baseline,0,,,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,
BTCUSDT,60,joint,htf_slope,0,,,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,
BTCUSDT,60,joint,take_4r,0,,,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,
BTCUSDT,60,ordinary,baseline,1,966.0262090872491,,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,
BTCUSDT,60,ordinary,htf_slope,0,,,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,
BTCUSDT,60,ordinary,take_4r,1,966.0262090872491,,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,
ETHUSDT,5,joint,baseline,8,30.354222499724752,0.3359375,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,1.0
ETHUSDT,5,joint,htf_slope,3,-118.76591961594882,1.0,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,1.0
ETHUSDT,5,joint,take_4r,8,39.254879870479,0.28125,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,1.0
ETHUSDT,5,ordinary,baseline,21,-112.3700774601748,0.9603039696030397,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,1.0
ETHUSDT,5,ordinary,htf_slope,15,-95.43495186408805,0.9542236328125,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,1.0
ETHUSDT,5,ordinary,take_4r,20,-97.06706792962012,0.9821017898210179,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,1.0
ETHUSDT,15,joint,baseline,3,-63.55376879655398,0.875,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,1.0
ETHUSDT,15,joint,htf_slope,2,-56.34980261517749,0.75,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,1.0
ETHUSDT,15,joint,take_4r,3,-63.55376879655398,0.875,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,1.0
ETHUSDT,15,ordinary,baseline,10,-35.22906957573544,0.564453125,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,1.0
ETHUSDT,15,ordinary,htf_slope,5,-318.63318984498505,0.96875,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,1.0
ETHUSDT,15,ordinary,take_4r,10,33.41340543383146,0.43359375,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,1.0
ETHUSDT,60,joint,baseline,0,,,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,
ETHUSDT,60,joint,htf_slope,0,,,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,
ETHUSDT,60,joint,take_4r,0,,,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,
ETHUSDT,60,ordinary,baseline,0,,,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,
ETHUSDT,60,ordinary,htf_slope,0,,,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,
ETHUSDT,60,ordinary,take_4r,0,,,Symmetric weekly top-minus-rest contrast; sparse weeks excluded; no predictive independence claim.,
