symbol,timeframe_min,arm,fold,n,median_fee_r,max_consecutive_losses,net_sum_r,net_sum_r_without_best1,net_sum_r_without_best3,random_mean_net_r,mean_excess_r,excess_r_ci_low,excess_r_ci_high,excess_r_p,matched_n,known4,ambiguous4,later_p_holm_12
BTCUSDT,5,joint,all,477,0.464851169736184,21,-287.9354582814651,-309.9861391830075,-340.26974613629847,-0.7426654345789804,0.13902715725934695,-0.12881796261749417,0.4103970282308854,0.14978502149785022,477,54,1,
BTCUSDT,5,joint,earlier,297,0.4426766243465423,21,-161.52390571426713,-183.57458661580947,-213.85819356910042,-0.764281506602717,0.22042997221124513,-0.1023451126380064,0.5616758026425411,0.10518948105189481,297,37,1,
BTCUSDT,5,joint,later,180,0.5193138401656396,13,-126.41155256719804,-133.97085738484805,-148.7688825832624,-0.7069989157398151,0.004712512588714901,-0.4297213959677001,0.40129654550014393,0.49505049495050496,180,17,0,1.0
BTCUSDT,5,ordinary,all,1070,0.46567283204698595,24,-772.7428336584479,-794.7935145599902,-828.3503968277466,-0.7908441604210442,0.06865459625427048,-0.1267507185791714,0.24860111425396106,0.24597540245975402,1070,114,1,
BTCUSDT,5,ordinary,earlier,660,0.45448936315961735,21,-455.9691883539555,-478.0198692554977,-511.57675152325396,-0.8520897170805872,0.16122731048368508,-0.1031416229293307,0.4205012631040571,0.10258974102589741,660,79,1,
BTCUSDT,5,ordinary,later,410,0.4942335225989348,13,-316.77364530449245,-326.0238929235401,-341.1147708848097,-0.6922537521398285,-0.08036489494429942,-0.3604529578457923,0.2015618414565479,0.7052294770522948,410,35,0,1.0
BTCUSDT,15,joint,all,113,0.2288727195135008,14,8.96173533287695,-3.7606444748154324,-22.45863585585466,0.0855677894636635,-0.0062603971373187935,-0.6471345417888054,0.6174621665808115,0.511948805119488,113,21,0,
BTCUSDT,15,joint,earlier,68,0.2565430147492364,14,1.8334651404033864,-10.888914667289002,-27.080913309879993,0.020657954827475476,0.006304767825515612,-0.8153436274569488,0.875589860103376,0.49205079492050796,68,11,0,
BTCUSDT,15,joint,later,45,0.2266157993436498,9,7.128270192473566,-2.7403731483843847,-10.061291366599544,0.18365376180279216,-0.025247757525601877,-1.0089421569537607,0.9167101105344219,0.5152484751524847,45,10,0,1.0
BTCUSDT,15,ordinary,all,250,0.2236714143914623,14,-24.23923390844746,-35.324555827619236,-55.88717514101704,-0.1372969811322517,0.04034004549846182,-0.2550694819862917,0.33032512779771905,0.40175982401759824,250,39,0,
BTCUSDT,15,ordinary,earlier,151,0.2471607026675342,14,-49.38345127634378,-60.07742724888365,-77.87876741726282,-0.29106832860485143,-0.03597439507954439,-0.42625389717636336,0.37664005009810253,0.5653434656534346,151,18,0,
BTCUSDT,15,ordinary,later,99,0.2141463465992841,12,25.144217367896317,14.05889544872458,-2.0086206194060026,0.09724315491181464,0.15673883870329966,-0.3205277878120888,0.609361262440964,0.25617438256174385,99,21,0,1.0
BTCUSDT,60,joint,all,51,0.1149836794046199,10,-2.877589806931615,-11.282810231126529,-19.01139696083999,0.09495019081842304,-0.15137352036610172,-0.8388495370530549,0.5037154869088635,0.6557344265573443,51,8,0,
BTCUSDT,60,joint,earlier,28,0.08886838451349666,5,12.423513626503373,4.018293202308456,-3.7102935274050015,-0.14844429120576028,0.5921412064380236,-0.19933936363078747,1.4575850021329835,0.10278972102789721,28,7,0,
BTCUSDT,60,joint,later,23,0.1215694758368321,10,-15.301103433434989,-17.71960680685828,-20.636298913320132,0.39125651676090695,-1.0565218834319936,-2.036828062035454,-0.23423923108367112,0.9867013298670133,23,1,0,1.0
BTCUSDT,60,ordinary,all,106,0.10236023112268386,12,-0.5965934490844691,-12.603471689259324,-27.498002520928956,0.2783287572976126,-0.28395699738331515,-0.835605737354202,0.1947052029291027,0.8506149385061493,106,14,0,
BTCUSDT,60,ordinary,earlier,63,0.088465612985904,7,13.834818507391489,5.429598083196568,-5.997582527438389,0.20241888712053546,0.017181406647583414,-0.6399018012704745,0.6478824042412394,0.47635236476352366,63,11,0,
BTCUSDT,60,ordinary,later,43,0.1132092365086509,12,-14.431411956475957,-26.43829019665081,-31.506497845043164,0.38954554383612083,-0.7251597753820734,-1.7534731471458649,-0.03857184313688121,0.9624037596240376,43,3,0,1.0
ETHUSDT,5,joint,all,489,0.3442199710564506,20,-175.04864351518978,-203.90784277376264,-237.30471423151226,-0.5077991070258752,0.14982642090074275,-0.11127708921169208,0.41835990416573493,0.1336866313368663,489,65,1,
ETHUSDT,5,joint,earlier,305,0.3466067291781666,20,-134.68773361104456,-153.09352520768311,-182.7615286880657,-0.4345511886988604,-0.007047937894728283,-0.31938645405229116,0.3257642448757357,0.5170482951704829,305,34,1,
ETHUSDT,5,joint,later,184,0.3367870286864001,10,-40.360909904145196,-69.22010916271807,-84.01637565563948,-0.629215493383155,0.40986272216497455,0.015184156218136695,0.8810141186299318,0.034996500349965,184,31,0,0.41995800419958
ETHUSDT,5,ordinary,all,1063,0.3328958451906662,20,-351.0842950023101,-381.20747850746386,-433.9936908051547,-0.4521545872224792,0.12187773397477443,-0.1259263389633535,0.35078781236746437,0.1533846615338466,1063,153,1,
ETHUSDT,5,ordinary,earlier,640,0.3469367511705532,20,-312.9254804322686,-331.87698388054434,-365.273855338294,-0.5494147917817401,0.060468728606320465,-0.18554915235910016,0.31941946022154055,0.3147685231476852,640,81,1,
ETHUSDT,5,ordinary,later,423,0.3195252808988753,17,-38.158814570041585,-68.28199807519536,-121.06821037288609,-0.30499966779475585,0.21478970427219896,-0.28230713882633635,0.6678616382380157,0.1825817418258174,423,72,0,1.0
ETHUSDT,15,joint,all,112,0.1783054995113708,13,-8.348196926024958,-25.671530465246633,-39.14338275419136,-0.1351263914371916,0.06058891888339729,-0.42164343601964666,0.6142930427583987,0.4126587341265873,112,17,0,
ETHUSDT,15,joint,earlier,54,0.1915837907058133,10,18.273403143443648,0.9500696042219792,-12.230469237124025,-0.13599987610286318,0.47439623061107905,-0.3605835140554637,1.447881746191469,0.1665833416658334,54,10,0,
ETHUSDT,15,joint,later,58,0.1772077942632643,13,-26.621600069468613,-32.42404488739572,-40.989832903067004,-0.13431314709329045,-0.3246799575527201,-0.8691598188065559,0.2440225494953439,0.8508149185081492,58,7,0,1.0
ETHUSDT,15,ordinary,all,267,0.1714270022883288,13,-20.475787269008023,-37.799120808229674,-52.860901655009684,-0.252365086133273,0.17567674430178237,-0.14263526580372365,0.5108092549097467,0.1468853114688531,267,44,0,
ETHUSDT,15,ordinary,earlier,145,0.1783312708234207,12,-3.332714427203962,-20.656047966425632,-35.17253940690891,-0.15056632489021338,0.1275820874612205,-0.3400215812745555,0.6130257070737789,0.30526947305269475,145,25,0,
ETHUSDT,15,ordinary,later,122,0.1607511038884189,13,-17.143072841804063,-24.535446217566445,-36.87145617138853,-0.37335541711887676,0.23283842661228607,-0.19836132653345515,0.7056262549075443,0.16298370162983702,122,19,0,1.0
ETHUSDT,60,joint,all,44,0.06927790448473835,14,22.27250949705774,4.822048249420713,-13.1310465737178,1.1914873702007407,-0.6852939725403376,-1.6373041192814104,0.1975774585368056,0.9177082291770823,44,7,0,
