asset,phase,direction,events,mean_net_bp,profit_factor,win_rate,runner_armed_share,hard_stop_share,median_regime_age_bars,median_fee_to_risk
ETH,selection,SHORT,77,-26.126493152598258,0.5716069715124684,0.2077922077922078,0.42857142857142855,0.5714285714285714,62.0,0.3094338818496819
ETH,selection,LONG,84,-0.19262015970656313,0.9965294008686496,0.2261904761904762,0.47619047619047616,0.5238095238095238,85.0,0.30040087040216
ETH,audit,SHORT,51,-4.931538190773377,0.9468267042251051,0.21568627450980393,0.29411764705882354,0.7254901960784313,56.0,0.20204240912589397
ETH,audit,LONG,50,16.091701562137604,1.219942035110631,0.24,0.5,0.5,61.5,0.22083381436246644
ETH,confirmation,SHORT,13,-76.20841619833531,0.0,0.0,0.23076923076923078,0.6923076923076923,106.0,0.26405297068578326
ETH,confirmation,LONG,6,-79.53896209913434,0.22349251100506207,0.16666666666666666,0.16666666666666666,0.8333333333333334,46.5,0.16629508214187436
XAU,selection,SHORT,11,-15.015189432934546,0.3516252685466249,0.09090909090909091,0.5454545454545454,0.2727272727272727,73.0,0.8242829880583251
XAU,selection,LONG,23,-26.105196293026776,0.14412013527293743,0.13043478260869565,0.30434782608695654,0.6956521739130435,63.0,1.1716018550797083
XAU,audit,SHORT,8,-19.030817602705127,0.6378019889198325,0.125,0.25,0.75,56.5,0.47863231018284647
XAU,audit,LONG,20,-6.921654052377202,0.7280108502829273,0.3,0.55,0.45,83.5,0.6771071114600619
XAU,confirmation,SHORT,6,-39.24210463085551,0.3332032861333386,0.16666666666666666,0.16666666666666666,0.8333333333333334,89.5,0.47140433317221475
XAU,confirmation,LONG,9,-57.86315819144423,0.0,0.0,0.1111111111111111,0.8888888888888888,18.0,0.3588349707857986
