asset,phase,events,runner_armed_share,hard_stop_share,timeout_share,median_regime_age_bars,median_k1_k2_gap_bars,median_fee_to_risk,median_mfe_at_exit_atr,median_horizon_mfe_atr,median_giveback_atr
ETH,selection,161,0.453416149068323,0.546583850931677,0.09937888198757763,72.0,3.0,0.3051428264508272,2.421106834085109,5.349822839059789,3.503491949523721
ETH,audit,101,0.39603960396039606,0.6138613861386139,0.10891089108910891,58.0,3.0,0.21532270404634296,1.836593262223407,3.8534099007304543,3.4661757322143076
ETH,confirmation,19,0.21052631578947367,0.7368421052631579,0.05263157894736842,98.0,4.0,0.2562834683828084,2.1597527672615673,2.2900463287009223,4.059752767261542
XAU,selection,34,0.38235294117647056,0.5588235294117647,0.058823529411764705,68.0,4.0,1.1398058416699726,1.2297752630083374,5.187456535136141,2.88897818273059
XAU,audit,28,0.4642857142857143,0.5357142857142857,0.07142857142857142,69.0,4.0,0.6442762749729002,2.3705254648769554,6.419693052470398,3.2021771917709145
XAU,confirmation,15,0.13333333333333333,0.8666666666666667,0.0,46.0,3.0,0.36564669874698447,0.2124477890142023,2.6089986017202973,2.2124477890141696
