asset,phase,stop_atr,target_atr,events,mean_net_bp,profit_factor,win_rate,registered_result,evidence_role
ETH,selection,2.0,2.0,161,-16.687929694233123,0.6194872488031453,0.5093167701863354,False,postmortem_exit_sensitivity_not_selection
ETH,selection,2.0,4.0,161,-8.142769011569829,0.8522085079182724,0.391304347826087,False,postmortem_exit_sensitivity_not_selection
ETH,selection,2.0,6.0,161,-10.710996458142407,0.8302749478168807,0.2919254658385093,False,postmortem_exit_sensitivity_not_selection
ETH,selection,2.0,8.0,161,-12.81873297297905,0.8097386188400407,0.2360248447204969,False,postmortem_exit_sensitivity_not_selection
ETH,selection,2.0,12.0,161,-16.027250123582743,0.7704793477646643,0.2111801242236025,False,postmortem_exit_sensitivity_not_selection
ETH,selection,4.0,2.0,161,-18.960464557077305,0.645575627069782,0.6521739130434783,False,postmortem_exit_sensitivity_not_selection
ETH,selection,4.0,4.0,161,-7.592768512937405,0.8921078696575445,0.546583850931677,False,postmortem_exit_sensitivity_not_selection
ETH,selection,4.0,6.0,161,-8.916094469199471,0.8913653174548409,0.4409937888198758,False,postmortem_exit_sensitivity_not_selection
ETH,selection,4.0,8.0,161,-15.813886201514029,0.8265581193942437,0.36645962732919257,False,postmortem_exit_sensitivity_not_selection
ETH,selection,4.0,12.0,161,-18.076544773864608,0.8088468843679797,0.34782608695652173,False,postmortem_exit_sensitivity_not_selection
ETH,selection,6.0,2.0,161,-19.688997493871632,0.6502893692211639,0.6956521739130435,False,postmortem_exit_sensitivity_not_selection
ETH,selection,6.0,4.0,161,-7.994807823919092,0.8938916971505242,0.5962732919254659,False,postmortem_exit_sensitivity_not_selection
ETH,selection,6.0,6.0,161,-2.6413624488861047,0.9689331970048879,0.5031055900621118,False,postmortem_exit_sensitivity_not_selection
ETH,selection,6.0,8.0,161,-13.847430022816086,0.8567469694145585,0.4161490683229814,False,postmortem_exit_sensitivity_not_selection
ETH,selection,6.0,12.0,161,-19.506008801687887,0.8079383529421922,0.39751552795031053,False,postmortem_exit_sensitivity_not_selection
ETH,audit,2.0,2.0,101,-29.49183085080611,0.5478658195393331,0.4752475247524752,False,postmortem_exit_sensitivity_not_selection
ETH,audit,2.0,4.0,101,-26.595989846443928,0.6752169684646648,0.32673267326732675,False,postmortem_exit_sensitivity_not_selection
ETH,audit,2.0,6.0,101,-27.417403505935553,0.6966308432620415,0.2376237623762376,False,postmortem_exit_sensitivity_not_selection
ETH,audit,2.0,8.0,101,-24.821081619951887,0.7362539698951951,0.2079207920792079,False,postmortem_exit_sensitivity_not_selection
ETH,audit,2.0,12.0,101,-8.419443453066755,0.9105359379402198,0.2079207920792079,False,postmortem_exit_sensitivity_not_selection
ETH,audit,4.0,2.0,101,-46.53599446399698,0.4906204168766793,0.594059405940594,False,postmortem_exit_sensitivity_not_selection
ETH,audit,4.0,4.0,101,-43.13548562799588,0.6360902809184178,0.45544554455445546,False,postmortem_exit_sensitivity_not_selection
ETH,audit,4.0,6.0,101,-38.32534494146276,0.7051246344399112,0.36633663366336633,False,postmortem_exit_sensitivity_not_selection
ETH,audit,4.0,8.0,101,-29.4793250613061,0.7830286835065962,0.33663366336633666,False,postmortem_exit_sensitivity_not_selection
ETH,audit,4.0,12.0,101,-19.094361770287847,0.8613294894913139,0.32673267326732675,False,postmortem_exit_sensitivity_not_selection
ETH,audit,6.0,2.0,101,-56.633880147036116,0.4618370441943408,0.6435643564356436,False,postmortem_exit_sensitivity_not_selection
ETH,audit,6.0,4.0,101,-54.617356707210334,0.5948200987709243,0.48514851485148514,False,postmortem_exit_sensitivity_not_selection
ETH,audit,6.0,6.0,101,-45.112709679159295,0.6876576736021585,0.4158415841584158,False,postmortem_exit_sensitivity_not_selection
ETH,audit,6.0,8.0,101,-33.77851078167944,0.7735330175391807,0.38613861386138615,False,postmortem_exit_sensitivity_not_selection
ETH,audit,6.0,12.0,101,-21.371713792782742,0.8592095319521675,0.37623762376237624,False,postmortem_exit_sensitivity_not_selection
ETH,confirmation,2.0,2.0,19,-8.786642665769923,0.8045983059331374,0.5263157894736842,False,postmortem_exit_sensitivity_not_selection
ETH,confirmation,2.0,4.0,19,-50.759045408507454,0.3721248831063858,0.21052631578947367,False,postmortem_exit_sensitivity_not_selection
ETH,confirmation,2.0,6.0,19,-57.025926533267544,0.35782570957778387,0.10526315789473684,False,postmortem_exit_sensitivity_not_selection
ETH,confirmation,2.0,8.0,19,-68.86879395455566,0.22446207227864426,0.10526315789473684,False,postmortem_exit_sensitivity_not_selection
