asset,phase,horizon_bars,events,mean_gross_bp,median_gross_bp,positive_share,registered_result,evidence_role
ETH,selection,1,161,-2.294748375975552,-1.9906903459976366,0.4658385093167702,False,postmortem_path_diagnostic_without_exit
ETH,selection,2,161,0.12058199046245761,-3.5577341186709965,0.4658385093167702,False,postmortem_path_diagnostic_without_exit
ETH,selection,4,161,-1.181975831538813,-8.441296289500855,0.40993788819875776,False,postmortem_path_diagnostic_without_exit
ETH,selection,8,161,0.4382289534254626,-2.8749342435263614,0.4782608695652174,False,postmortem_path_diagnostic_without_exit
ETH,selection,16,161,12.570558252271368,9.181560011103373,0.5838509316770186,False,postmortem_path_diagnostic_without_exit
ETH,selection,32,161,8.650673186802594,6.809900673121483,0.5279503105590062,False,postmortem_path_diagnostic_without_exit
ETH,selection,64,161,-0.38371245154900985,-12.39890281919065,0.4409937888198758,False,postmortem_path_diagnostic_without_exit
ETH,selection,96,161,-2.3381517820464794,-8.555602045852151,0.4782608695652174,False,postmortem_path_diagnostic_without_exit
ETH,audit,1,101,-0.48083528740910436,-4.622976457162586,0.42574257425742573,False,postmortem_path_diagnostic_without_exit
ETH,audit,2,101,2.1111363021077287,0.8701627204277251,0.5247524752475248,False,postmortem_path_diagnostic_without_exit
ETH,audit,4,101,-3.2214576490586118,-5.362530843037172,0.4158415841584158,False,postmortem_path_diagnostic_without_exit
ETH,audit,8,101,-3.99892042445024,-11.750824955873984,0.4158415841584158,False,postmortem_path_diagnostic_without_exit
ETH,audit,16,101,-1.717596105715286,-16.211339062524033,0.45544554455445546,False,postmortem_path_diagnostic_without_exit
ETH,audit,32,101,-11.505747764588207,-12.107641492227206,0.46534653465346537,False,postmortem_path_diagnostic_without_exit
ETH,audit,64,101,-2.578854867039698,-49.613547368636546,0.43564356435643564,False,postmortem_path_diagnostic_without_exit
ETH,audit,96,101,37.36057254642178,-10.725305380616668,0.46534653465346537,False,postmortem_path_diagnostic_without_exit
ETH,confirmation,1,19,14.473976531099895,8.329185669737615,0.7368421052631579,False,postmortem_path_diagnostic_without_exit
ETH,confirmation,2,19,10.68228563687753,4.807912450204288,0.631578947368421,False,postmortem_path_diagnostic_without_exit
ETH,confirmation,4,19,15.438078599053773,9.184498759405857,0.631578947368421,False,postmortem_path_diagnostic_without_exit
ETH,confirmation,8,19,-6.270134261422539,14.759169648201897,0.5263157894736842,False,postmortem_path_diagnostic_without_exit
ETH,confirmation,16,19,-52.82451841925621,-22.05366103695483,0.3684210526315789,False,postmortem_path_diagnostic_without_exit
ETH,confirmation,32,19,-57.07732213238177,-52.975120612998026,0.3684210526315789,False,postmortem_path_diagnostic_without_exit
ETH,confirmation,64,19,-115.49061634096256,-67.1194304904632,0.15789473684210525,False,postmortem_path_diagnostic_without_exit
ETH,confirmation,96,19,-154.77447495005663,-86.24963750830217,0.21052631578947367,False,postmortem_path_diagnostic_without_exit
XAU,selection,1,34,-1.743138979063615,-0.5411121682319386,0.38235294117647056,False,postmortem_path_diagnostic_without_exit
XAU,selection,2,34,-3.4239776736970455,-1.3917667805946055,0.29411764705882354,False,postmortem_path_diagnostic_without_exit
XAU,selection,4,34,-3.121396243290318,0.0,0.47058823529411764,False,postmortem_path_diagnostic_without_exit
XAU,selection,8,34,-2.5337633396077854,-4.369244892462043,0.29411764705882354,False,postmortem_path_diagnostic_without_exit
XAU,selection,16,34,0.5912015423896874,-2.0629887136958125,0.47058823529411764,False,postmortem_path_diagnostic_without_exit
XAU,selection,32,34,-4.007557631136615,-4.094873955817202,0.4411764705882353,False,postmortem_path_diagnostic_without_exit
XAU,selection,64,34,-3.32945616601632,3.0400859084767085,0.5294117647058824,False,postmortem_path_diagnostic_without_exit
XAU,selection,96,34,-0.5023644239428876,2.8905206445489773,0.5294117647058824,False,postmortem_path_diagnostic_without_exit
XAU,audit,1,28,0.43452235257979144,-0.9047398129374828,0.4642857142857143,False,postmortem_path_diagnostic_without_exit
XAU,audit,2,28,7.489500991278272,4.606967035832854,0.6428571428571429,False,postmortem_path_diagnostic_without_exit
XAU,audit,4,28,1.158912266418312,0.6565914033351827,0.5357142857142857,False,postmortem_path_diagnostic_without_exit
XAU,audit,8,28,17.431611308805532,5.446753949137628,0.5357142857142857,False,postmortem_path_diagnostic_without_exit
XAU,audit,16,28,17.028268808290033,4.218802356509288,0.5357142857142857,False,postmortem_path_diagnostic_without_exit
XAU,audit,32,28,33.01978088779911,6.245011420137336,0.6428571428571429,False,postmortem_path_diagnostic_without_exit
XAU,audit,64,28,28.127952037781363,16.981318073805983,0.6071428571428571,False,postmortem_path_diagnostic_without_exit
XAU,audit,96,28,19.241774051003887,4.270315660294122,0.5357142857142857,False,postmortem_path_diagnostic_without_exit
XAU,confirmation,1,15,-0.9123733328131323,-0.2130560763591305,0.4666666666666667,False,postmortem_path_diagnostic_without_exit
XAU,confirmation,2,15,1.106129135403237,-0.6444406255379231,0.4666666666666667,False,postmortem_path_diagnostic_without_exit
XAU,confirmation,4,15,0.045681796304227376,-8.445031506463252,0.26666666666666666,False,postmortem_path_diagnostic_without_exit
XAU,confirmation,8,15,-3.2381681292574056,-5.1555250042956136,0.3333333333333333,False,postmortem_path_diagnostic_without_exit
XAU,confirmation,16,15,-11.361722336296065,-21.73578940435128,0.4,False,postmortem_path_diagnostic_without_exit
XAU,confirmation,32,15,-22.099379570506375,-38.16316316316293,0.26666666666666666,False,postmortem_path_diagnostic_without_exit
XAU,confirmation,64,15,-49.01420361149778,-20.45338333049207,0.3333333333333333,False,postmortem_path_diagnostic_without_exit
XAU,confirmation,96,15,-37.16489013000709,-5.585152087986822,0.4666666666666667,False,postmortem_path_diagnostic_without_exit
