study,arm,timeframe_min,side,pairs,excess_r,excess_r_p,excess_bp,excess_bp_ci_low,excess_bp_p,later_excess_bp,verdict
v104,joint,5,all,13148,0.09222822858428516,0.0231,-1.9565933534124074,-13.964176730544615,0.6248,-0.7427946213351976,not_significant
v104,joint,15,all,4704,0.1203321503506728,0.0467,18.106759883675714,-9.98236767988838,0.1094,-25.567338066567746,not_significant
v104,joint,30,all,2700,0.22409139811372322,0.0585,52.07184348940885,-26.245295711548618,0.1388,48.31497238464516,not_significant
v104,joint,60,all,1473,0.24361422945100702,0.0114,69.90477870302018,-20.71760328679265,0.1052,25.444823400410115,not_significant
v104,joint,240,all,327,-0.1958119861211888,0.8483,-72.51930627526997,-342.889121072325,0.6663,-281.1225770610055,not_significant
v104,joint,1440,all,8,-4.97550967047078,0.8714,-2609.7125540205593,-9905.567005528792,1.0,-2388.540248258441,not_significant
v104,v9_long,5,all,77982,0.04503479850887578,0.0472,-7.275865309871648,-14.606243854034556,0.9745,-8.300922522057725,not_significant
v104,v9_long,15,all,23170,0.04870904257071048,0.2127,-0.7692311890540525,-24.81448351243784,0.5179,-15.932593364768588,not_significant
v104,v9_long,30,all,12126,0.12737769734380958,0.099,8.012176701545838,-41.463383107173726,0.3985,-31.657323246314593,not_significant
v104,v9_long,60,all,6520,0.08161189598772788,0.1445,3.704342427979937,-54.913407636484884,0.4605,-18.35477971549118,not_significant
v104,v9_long,240,all,1566,-0.1671732612571388,0.8929,-71.88290591995892,-286.86007034370465,0.7005,-268.32443813158204,not_significant
v104,v9_long,1440,all,40,-0.7440950348371772,0.8931,-573.2850841634994,-988.9994746493601,0.9822,-475.6869078601269,not_significant
v126,baseline,15,all,18911,0.08230622586371882,0.0832,6.999220702371898,-15.291229604775214,0.2745,-8.860262147955789,not_significant
v126,joint_h1_recheck,15,all,18905,0.08895922584874803,0.0886,5.563013913694418,-20.42924417490305,0.347,-6.414539818020559,not_significant
v9,v8,30,all,57501,0.08923152831436845,0.0091,9.520292893347172,-10.036727995393619,0.199,-7.056311630927582,r_only
v9,v8,30,long,28690,0.08596325854067802,0.076,3.016490043686194,-30.01575586415068,0.4297,-12.5823002589972,not_significant
v9,v8,30,short,28811,0.09248607205832665,0.0518,15.99678117062923,-12.537859730443683,0.1587,-1.544611674971021,not_significant
v9,v8,60,all,28423,0.03086754219034494,0.191,-2.9255959191596306,-32.450290160690855,0.5642,10.441045341494446,not_significant
v9,v8,60,long,14791,0.021625719457105383,0.3373,-20.40108956223485,-61.11853150902106,0.8193,-34.204183011966755,not_significant
v9,v8,60,short,13632,0.04089510968208103,0.2574,16.03567362857553,-35.72189878346187,0.3192,58.834524880409845,not_significant
v9,v8,240,all,8656,-0.16118122574025132,0.9967,-25.22327957530558,-131.9481802296665,0.6629,-22.646192788555794,not_significant
v9,v8,240,long,4439,-0.27519373700395205,0.9977,-74.56320261945653,-211.03632469050135,0.8094,-170.55105270187997,not_significant
v9,v8,240,short,4217,-0.04116663302041075,0.6795,26.714097326042786,-145.80799826535483,0.3939,142.6780056736629,not_significant
v9,v9,30,all,48866,0.09621323002047898,0.0128,19.223717844795377,-4.837885780343259,0.0802,-3.3655485968435217,not_significant
v9,v9,30,long,24572,0.11932529359301106,0.0537,12.305401256336372,-26.555079255519747,0.2964,-11.482066035922943,not_significant
v9,v9,30,short,24294,0.07283669152931824,0.1228,26.221201800159456,-8.547088273988782,0.1017,4.888873442384211,not_significant
v9,v9,60,all,24967,0.06087611706714595,0.0879,11.591682296701086,-23.250191167693703,0.2998,23.69032771626917,not_significant
v9,v9,60,long,13015,0.04055950794846792,0.2611,-9.501659062293054,-58.16358048215649,0.65,-28.174724470157315,not_significant
v9,v9,60,short,11952,0.08299966690646945,0.1117,34.56104623472892,-25.785259352972442,0.1756,80.46637258541774,not_significant
v9,v9,240,all,7870,-0.13847697681444007,0.9888,-2.140403764508502,-113.69394619676744,0.5127,-7.520240855715459,not_significant
v9,v9,240,long,4057,-0.2573387043956424,0.9948,-55.58346738585892,-214.64952545502166,0.7266,-158.21843424634108,not_significant
v9,v9,240,short,3813,-0.012009096196307984,0.5539,54.72256741614156,-132.55587817315066,0.2984,158.89623931045247,not_significant
