study,arm,timeframe_min,side,period,pairs,months,target_net_r,control_net_r,excess_r,excess_r_ci_low,excess_r_ci_high,excess_r_p,target_net_bp,control_net_bp,excess_bp,excess_bp_ci_low,excess_bp_ci_high,excess_bp_p,target_risk_bp,control_risk_bp,target_cost_r,control_cost_r,cost_gap_contribution_r
v104,joint,5,all,full,13148,20,-0.24043103049168693,-0.33265925907597205,0.09222822858428516,0.009610306696071857,0.16885885733689393,0.0231,-28.15031253851828,-26.193719185105877,-1.9565933534124074,-13.964176730544615,10.362857509492144,0.6248,117.2640140446345,85.08002409254703,0.19923425866824535,0.2626325879320853,0.06339832926383995
v104,joint,5,all,earlier,6622,13,-0.22048413670696942,-0.29613579394858813,0.07565165724161875,-0.06170441132825778,0.21577184926219187,0.1543,-26.337850900188492,-23.185055413653785,-3.1527954865347065,-23.231073568426606,17.127368227721956,0.6105,121.241617229104,87.96947696881138,0.1899591722470491,0.25351670846783225,0.06355753622078308
v104,joint,5,all,later,6526,8,-0.2606713508475557,-0.36971999859076465,0.10904864774320899,0.02220398687826212,0.1867927212356028,0.0485,-29.989436192980417,-29.246641571645217,-0.7427946213351976,-13.218379442318613,10.552669566859212,0.541,112.31502821974351,81.13812675705456,0.20864578522067584,0.27188256553127066,0.06323678031059486
v104,joint,15,all,full,4704,20,-0.05604038402234023,-0.176372534373013,0.1203321503506728,-0.00241914639217469,0.25742681370931286,0.0467,-9.974348517198127,-28.081108400873838,18.106759883675714,-9.98236767988838,49.48525797590564,0.1094,211.7537923503125,154.93185694104614,0.10812921727610261,0.1429716381299157,0.0348424208538131
v104,joint,15,all,earlier,2501,13,0.11595787970461176,-0.18363325745775785,0.2995911371623696,0.12959255112500942,0.45290896685868787,0.0036,23.267337313023514,-33.30964959359757,56.57698690662108,22.423404916603335,91.15696745692043,0.0036,213.63694511961,158.17469204927158,0.10581966983477616,0.14044179905962362,0.03462212922484742
v104,joint,15,all,later,2203,8,-0.25130486771780414,-0.16812965265038618,-0.08317521506741792,-0.17298336710913959,0.010065994624169405,0.9384,-47.71264005663722,-22.14530199006947,-25.567338066567746,-49.429448990363916,0.5335712061482353,0.9244,209.49720670391002,150.94339622641468,0.11075117739900658,0.14584368874943482,0.03509251135042824
v104,joint,30,all,full,2700,20,0.12465249517148914,-0.09943890294223409,0.22409139811372322,-0.02170027865173355,0.4715134105986413,0.0585,15.146706057821028,-36.92513743158782,52.07184348940885,-26.245295711548618,136.34115232071224,0.1388,293.430428857854,217.84682809257583,0.07680583228647053,0.10099118317215344,0.024185350885682907
v104,joint,30,all,earlier,1356,13,0.2896677137987846,-0.011310126500645223,0.30097784029942987,-0.14221991157154248,0.7130666028418794,0.1224,35.73130717546722,-20.0641607717605,55.79546794722772,-39.261460347809205,147.5237067212972,0.157,291.9671573073735,222.93227683165205,0.07612457101181272,0.09960290377912555,0.023478332767312822
v104,joint,30,all,later,1344,8,-0.0418360736221214,-0.18835454345919428,0.14651846983707287,-0.10530383089084432,0.38386965508153653,0.2018,-5.621686141232735,-53.93665852587788,48.31497238464516,-76.20458997183451,191.6125504385245,0.3139,295.6381556716535,214.6249690162007,0.07749317625108065,0.1023918579169048,0.024898681665824148
v104,joint,60,all,full,1473,20,0.08863719468678209,-0.15497703476422497,0.24361422945100702,0.05213950758242095,0.49033228938785367,0.0114,17.20389439543607,-52.70088430758412,69.90477870302018,-20.71760328679265,182.81234746542907,0.1052,399.904357702192,297.64133283414463,0.056409624042191096,0.0740772503073275,0.01766762626513639
v104,joint,60,all,earlier,747,13,0.24896687184010924,-0.06154194678960864,0.3105088186297179,-0.07677135673200357,0.7258283194999949,0.0926,72.45649792928455,-40.658357814826566,113.11485574411113,-42.46237436749127,284.41847618589185,0.1309,395.472876284636,303.72492836675974,0.057145251356774424,0.0753352757070896,0.018190024350315182
v104,joint,60,all,later,726,8,-0.07633011775610414,-0.25111479057281777,0.1747846728167136,0.03318621590726316,0.3637767263818899,0.0297,-39.64692494311051,-65.09174834352059,25.444823400410115,-73.56504767791017,146.07155042243895,0.3373,402.6792038858165,291.8814060509402,0.05565271825156612,0.07278283574310945,0.017130117491543338
v104,joint,240,all,full,327,18,0.03295873835681458,0.2287707244780034,-0.1958119861211888,-0.4674150344045806,0.1046803580227606,0.8483,-8.97944027368373,63.53986600158624,-72.51930627526997,-342.889121072325,264.8026857602855,0.6663,810.104529616723,603.0005770340442,0.027653146795045252,0.03598044998642514,0.008327303191379887
v104,joint,240,all,earlier,160,11,0.6377567637045847,0.705582978086073,-0.06782621438148828,-0.5021287149568535,0.3022419307364404,0.6195,406.8599977972938,261.64964018995244,145.2103576073414,-317.25575465174654,472.0985006784243,0.2649,888.456471229216,636.0338972418758,0.026597331569612394,0.035394430709952164,0.00879709914033977
v104,joint,240,all,later,167,8,-0.5464884715572166,-0.22805538676326087,-0.3184330847939559,-0.6484099682009759,0.1587338083060424,0.8663,-407.3884827368957,-126.26590567589035,-281.1225770610055,-475.87261784332605,208.46893489037433,0.8219,743.1192660550449,573.0511099638597,0.028664706292465945,0.03654190558065074,0.00787719928818479
v104,joint,1440,all,full,8,3,6.456321396543143,11.431831067013924,-4.97550967047078,-15.701838613926148,0.0009278469433900982,0.8714,12100.505938635984,14710.218492656544,-2609.7125540205593,-9905.567005528792,-176.39890906154096,1.0,2020.9081537392726,1485.7026367347828,0.010772374081353241,0.013807064137005776,0.003034690055652535
v104,joint,1440,all,earlier,7,3,7.522482448927772,13.10803050664642,-5.58554805771865,-30.698436268116605,0.0009278469433900982,0.8757,14251.806285759423,16893.114883460286,-2641.3085977008623,-17422.593762799144,-176.39890906154096,1.0,2010.268562401264,1374.4075829383887,0.011339003214510316,0.014268046946734019,0.0029290437322237045
v104,joint,1440,all,later,1,1,-1.006805970149254,-0.301565010413568,-0.705240959735686,,,,-2958.5964912280697,-570.056242969629,-2388.540248258441,,,,2938.5964912280697,1890.326209223844,0.006805970149253732,0.01058018446890808,0.003774214319654348
v104,v9_long,5,all,full,77982,20,-0.2762858696988615,-0.32132066820773725,0.04503479850887578,-0.0047311270381510265,0.0886718916114041,0.0472,-30.145646473715427,-22.869781163843783,-7.275865309871648,-14.606243854034556,-0.7736040013080987,0.9745,111.2799855334945,81.8217159466163,0.21090415123912,0.2739632701812021,0.06305911894208201
v104,v9_long,5,all,earlier,39872,13,-0.24237442013731553,-0.28162094370959045,0.03924652357227491,-0.02870464133671519,0.10307976264522631,0.1445,-27.51944992913965,-21.223343105333704,-6.296106823805953,-14.688720224129083,2.544373673572839,0.8993,116.24266144813998,84.82563619226922,0.200748410663984,0.2651060546836448,0.0643576440196608
v104,v9_long,5,all,later,38110,8,-0.31176520102706823,-0.36285589295688736,0.0510906919298191,-0.021514157804714534,0.11079717380572424,0.1211,-32.893264123291004,-24.59234160123328,-8.300922522057725,-19.997309653707642,1.1040910855991815,0.8983,105.77961838837649,78.44753743356186,0.2215294382559614,0.2832299953535611,0.06170055709759968
v104,v9_long,15,all,full,23170,20,-0.09932255400320528,-0.14803159657391574,0.04870904257071048,-0.05957595097805475,0.16985405449447213,0.2127,-22.073236256478854,-21.304005067424796,-0.7692311890540525,-24.81448351243784,24.50774854516766,0.5179,209.638823493624,152.67175572519048,0.10958230184146002,0.14543071565274968,0.03584841381128965
v104,v9_long,15,all,earlier,12345,13,0.018096409370843967,-0.12204042225070462,0.14013683162154858,-0.006832002039729222,0.2976458973432607,0.0672,-4.873250815676781,-17.400365965392258,12.527115149715474,-20.23378576613424,46.86424677670933,0.2467,214.35499515034,156.27347858752722,0.10655809907393254,0.14120369695951346,0.034645597885580914
v104,v9_long,15,all,later,10825,8,-0.23322898382792928,-0.17767233994759163,-0.05555664388033771,-0.18827768491634558,0.08920175725731669,0.7546,-41.688369768414326,-25.755776403645743,-15.932593364768588,-44.66650384442171,16.858077638056354,0.8121,203.70370370370298,147.40721242432284,0.11303115017080195,0.15025127415325784,0.03722012398245588
