fold,minutes,policy,time,equity
development,15,P00,2023-01-01T00:00:00+00:00,0.9992900711925079
development,15,P00,2023-01-02T00:00:00+00:00,1.000811543664694
development,15,P00,2023-01-03T00:00:00+00:00,1.0029905271823276
development,15,P00,2023-01-04T00:00:00+00:00,1.001803000146025
development,15,P00,2023-01-05T00:00:00+00:00,0.999889118646193
development,15,P00,2023-01-06T00:00:00+00:00,1.000808835003224
development,15,P00,2023-01-07T00:00:00+00:00,0.9997973044194305
development,15,P00,2023-01-08T00:00:00+00:00,1.0128703050800691
development,15,P00,2023-01-09T00:00:00+00:00,1.0270828609401623
development,15,P00,2023-01-10T00:00:00+00:00,1.022295897338943
development,15,P00,2023-01-11T00:00:00+00:00,1.0174011349714431
development,15,P00,2023-01-12T00:00:00+00:00,1.0139803759900257
development,15,P00,2023-01-13T00:00:00+00:00,1.0254078618692464
development,15,P00,2023-01-14T00:00:00+00:00,1.0460674110890018
development,15,P00,2023-01-15T00:00:00+00:00,1.0306501939070492
development,15,P00,2023-01-16T00:00:00+00:00,1.026479644135655
development,15,P00,2023-01-17T00:00:00+00:00,1.0194494609783151
development,15,P00,2023-01-18T00:00:00+00:00,1.0108635732684035
development,15,P00,2023-01-19T00:00:00+00:00,1.0074855683446398
development,15,P00,2023-01-20T00:00:00+00:00,1.025562177040106
development,15,P00,2023-01-21T00:00:00+00:00,1.0203534970721417
development,15,P00,2023-01-22T00:00:00+00:00,1.0136616771281866
development,15,P00,2023-01-23T00:00:00+00:00,1.0090610284130224
development,15,P00,2023-01-24T00:00:00+00:00,1.0135741174373731
development,15,P00,2023-01-25T00:00:00+00:00,1.0089872894207785
development,15,P00,2023-01-26T00:00:00+00:00,1.0227107980909014
development,15,P00,2023-01-27T00:00:00+00:00,1.0228332893364167
development,15,P00,2023-01-28T00:00:00+00:00,1.0212437609307554
development,15,P00,2023-01-29T00:00:00+00:00,1.024198687965927
development,15,P00,2023-01-30T00:00:00+00:00,1.0255271558646866
development,15,P00,2023-01-31T00:00:00+00:00,1.0207429116903968
development,15,P00,2023-02-01T00:00:00+00:00,1.0109933745543502
development,15,P00,2023-02-02T00:00:00+00:00,1.010619999685008
development,15,P00,2023-02-03T00:00:00+00:00,1.009043297706641
development,15,P00,2023-02-04T00:00:00+00:00,1.0082023095617245
development,15,P00,2023-02-05T00:00:00+00:00,1.0068916025198216
development,15,P00,2023-02-06T00:00:00+00:00,1.005149367986122
development,15,P00,2023-02-07T00:00:00+00:00,1.0005187125380897
development,15,P00,2023-02-08T00:00:00+00:00,1.000535413549134
development,15,P00,2023-02-09T00:00:00+00:00,1.0121613637994402
development,15,P00,2023-02-10T00:00:00+00:00,1.0107898420637071
development,15,P00,2023-02-11T00:00:00+00:00,1.0056807239980317
development,15,P00,2023-02-12T00:00:00+00:00,0.9968028975707922
development,15,P00,2023-02-13T00:00:00+00:00,0.9969535264443183
development,15,P00,2023-02-14T00:00:00+00:00,1.003711522461099
development,15,P00,2023-02-15T00:00:00+00:00,1.025519267561828
development,15,P00,2023-02-16T00:00:00+00:00,1.0182940618246554
development,15,P00,2023-02-17T00:00:00+00:00,1.0251494878669285
development,15,P00,2023-02-18T00:00:00+00:00,1.0203535118017895
development,15,P00,2023-02-19T00:00:00+00:00,1.0209941001215952
development,15,P00,2023-02-20T00:00:00+00:00,1.030628282897702
development,15,P00,2023-02-21T00:00:00+00:00,1.027931541717371
development,15,P00,2023-02-22T00:00:00+00:00,1.0303561901279525
development,15,P00,2023-02-23T00:00:00+00:00,1.0276974752245627
development,15,P00,2023-02-24T00:00:00+00:00,1.0415870697365268
development,15,P00,2023-02-25T00:00:00+00:00,1.0419184779176958
development,15,P00,2023-02-26T00:00:00+00:00,1.0369986907315911
development,15,P00,2023-02-27T00:00:00+00:00,1.032667189809406
development,15,P00,2023-02-28T00:00:00+00:00,1.03808085688261
development,15,P00,2023-03-01T00:00:00+00:00,1.0270758649428144
development,15,P00,2023-03-02T00:00:00+00:00,1.027732562332377
development,15,P00,2023-03-03T00:00:00+00:00,1.029005089645694
development,15,P00,2023-03-04T00:00:00+00:00,1.0310272426139269
development,15,P00,2023-03-05T00:00:00+00:00,1.0265685420622168
development,15,P00,2023-03-06T00:00:00+00:00,1.026518614068107
development,15,P00,2023-03-07T00:00:00+00:00,1.0236731233417187
development,15,P00,2023-03-08T00:00:00+00:00,1.0290493027036238
development,15,P00,2023-03-09T00:00:00+00:00,1.0338247794778421
development,15,P00,2023-03-10T00:00:00+00:00,1.0329591092491544
development,15,P00,2023-03-11T00:00:00+00:00,1.0325491319909386
development,15,P00,2023-03-12T00:00:00+00:00,1.0430461737907735
development,15,P00,2023-03-13T00:00:00+00:00,1.0689625909358709
development,15,P00,2023-03-14T00:00:00+00:00,1.076006748404633
development,15,P00,2023-03-15T00:00:00+00:00,1.0812969153311285
development,15,P00,2023-03-16T00:00:00+00:00,1.0699148683254422
development,15,P00,2023-03-17T00:00:00+00:00,1.0965880888422324
development,15,P00,2023-03-18T00:00:00+00:00,1.0940255001194323
development,15,P00,2023-03-19T00:00:00+00:00,1.0743065705745576
development,15,P00,2023-03-20T00:00:00+00:00,1.0812195630019155
development,15,P00,2023-03-21T00:00:00+00:00,1.074090289520395
development,15,P00,2023-03-22T00:00:00+00:00,1.0654422824273486
development,15,P00,2023-03-23T00:00:00+00:00,1.0578942483483325
development,15,P00,2023-03-24T00:00:00+00:00,1.0597073152311471
