fold,minutes,policy,score,n,auc,top_n,top_gross_bp,top_net_bp,top_win_pct,top_excess_bp
development,15,P00,strength_score,13062,0.5310949004633906,1307,-5.667448339247061,-25.667448339247063,30.527926549349655,5.9320022266173815
development,15,P00,contraction_score,13062,0.5034165235142373,1307,3.2554923839490226,-16.744507616050978,26.702371843917366,30.094802304386132
development,15,P00,proximity_score,13062,0.5016343739821105,1307,-9.973475166558726,-29.97347516655873,27.161438408569243,5.067425770678103
development,15,P00,separation_score,13062,0.5509018431269253,1307,11.809705198992827,-8.190294801007177,33.89441469013007,28.176506087766562
development,15,P01,strength_score,10363,0.5309306307365215,1037,-7.387754793679815,-27.387754793679818,30.665380906460943,4.154995927578713
development,15,P01,contraction_score,10363,0.5029063401473645,1037,5.982323570035236,-14.017676429964768,26.711668273866923,33.79111223286736
development,15,P01,proximity_score,10363,0.502916939456933,1037,-8.857351161866024,-28.85735116186602,27.09739633558341,5.380356603076162
development,15,P01,separation_score,10363,0.549332404379559,1037,20.798358462910556,0.7983584629105548,34.71552555448409,34.36669856237203
development,15,P02,strength_score,10276,0.5318874905765559,1028,-6.580618781512027,-26.580618781512023,30.836575875486382,4.536200592367672
development,15,P02,contraction_score,10276,0.5029524865857333,1028,4.529888906317127,-15.470111093682874,26.945525291828794,31.333496682306144
development,15,P02,proximity_score,10276,0.5033592712729136,1028,-8.97714233849371,-28.97714233849371,27.042801556420233,5.024969672434845
development,15,P02,separation_score,10276,0.5502246703118426,1028,20.49559354271062,0.49559354271061895,34.824902723735406,33.513266361957704
development,15,P03,strength_score,10220,0.5321298789389808,1022,-6.493562420186411,-26.493562420186407,30.919765166340508,4.713809362488616
development,15,P03,contraction_score,10220,0.5023684879103086,1022,4.869881316805825,-15.130118683194175,27.00587084148728,31.5918542877805
development,15,P03,proximity_score,10220,0.5033272513107143,1022,-8.247299360582623,-28.247299360582623,27.20156555772994,5.764990620582688
development,15,P03,separation_score,10220,0.5497143232240473,1022,21.612296911564044,1.612296911564048,35.0293542074364,34.705845767355456
development,15,P04,strength_score,12287,0.5313821113477335,1229,-12.76297828883801,-32.76297828883801,30.349877949552486,0.4462205852714675
development,15,P04,contraction_score,12287,0.5034774363654801,1229,3.532211159226896,-16.467788840773103,26.44426362896664,30.08185514903303
development,15,P04,proximity_score,12287,0.5010818037386336,1229,-9.414315065819503,-29.414315065819505,26.93246541903987,2.1853194321680154
development,15,P04,separation_score,12287,0.5508340601020857,1229,8.353208386127946,-11.646791613872054,33.36045565500407,29.31117213889298
validation,15,P00,strength_score,7529,0.5252893288798908,753,36.143957526022476,16.143957526022472,33.46613545816733,13.755310711979778
validation,15,P00,contraction_score,7529,0.4894147821754767,753,12.36174352001206,-7.638256479987939,25.630810092961486,17.078155404104965
validation,15,P00,proximity_score,7529,0.4824421822287532,753,-10.854630351289634,-30.854630351289632,27.35723771580345,9.236777021484427
validation,15,P00,separation_score,7529,0.5472459947470605,753,9.739317459157773,-10.260682540842229,35.1925630810093,-1.734897120673666
validation,15,P01,strength_score,6037,0.5291704876871819,604,43.501072560592,23.501072560591993,32.78145695364238,29.38411359247347
validation,15,P01,contraction_score,6037,0.5007267148451694,604,11.053840855600514,-8.946159144399484,25.662251655629138,18.417095787746458
validation,15,P01,proximity_score,6037,0.4934754958949949,604,-8.03984375438066,-28.039843754380662,27.64900662251656,8.780649369385513
validation,15,P01,separation_score,6037,0.5515826097082621,604,16.577817437046168,-3.4221825629538323,35.76158940397351,5.413178484535976
validation,15,P02,strength_score,5980,0.5282052337985997,598,39.975971854873485,19.975971854873478,32.608695652173914,24.305723639802686
validation,15,P02,contraction_score,5980,0.5006135196191808,598,11.829042352006812,-8.170957647993184,25.585284280936456,18.57551826701167
validation,15,P02,proximity_score,5980,0.4943095354956118,598,-7.621796876691,-27.621796876690993,27.759197324414714,9.85951243507303
validation,15,P02,separation_score,5980,0.5508948141623861,598,15.941032209570125,-4.05896779042988,35.618729096989966,5.825986053309743
validation,15,P03,strength_score,5944,0.5275849582630818,595,40.1669337706665,20.1669337706665,32.60504201680672,24.04905155976407
validation,15,P03,contraction_score,5944,0.5012156136169141,595,11.808584884487578,-8.191415115512422,25.546218487394956,18.484656652464427
validation,15,P03,proximity_score,5944,0.4937676763036726,595,-7.379056378504123,-27.379056378504124,27.899159663865547,10.07373331625244
validation,15,P03,separation_score,5944,0.5515446260917696,595,16.342668610676238,-3.6573313893237662,35.63025210084034,5.704547358550728
validation,15,P04,strength_score,6982,0.5267199603390911,699,36.586969985084075,16.586969985084078,33.190271816881264,18.51515355729875
validation,15,P04,contraction_score,6982,0.4885733273917453,699,14.765408528744418,-5.23459147125558,25.75107296137339,18.989114683705058
validation,15,P04,proximity_score,6982,0.48427913831337616,699,-22.781395258143114,-42.781395258143114,26.895565092989987,-1.8338764094723965
validation,15,P04,separation_score,6982,0.549166607358619,699,8.393727650427081,-11.60627234957292,35.1931330472103,1.1017915593499787
audit_pre,15,P00,strength_score,2928,0.5344676603422922,293,38.492785974285965,18.49278597428595,32.42320819112628,23.67629734333257
audit_pre,15,P00,contraction_score,2928,0.544405176259581,293,39.79170619665331,19.791706196653312,33.105802047781566,28.88822183494477
audit_pre,15,P00,proximity_score,2928,0.4936780944491322,293,16.52175819555236,-3.478241804447647,26.621160409556317,15.140362598925066
audit_pre,15,P00,separation_score,2928,0.5315009910737839,293,-25.07937273539556,-45.079372735395566,29.01023890784983,-19.38570939967876
audit_pre,15,P01,strength_score,2301,0.5325503157117008,231,57.085769847982924,37.08576984798291,33.76623376623377,48.40361405420535
audit_pre,15,P01,contraction_score,2301,0.5252874222825571,231,38.29726145358085,18.29726145358084,32.900432900432904,24.64385915868413
audit_pre,15,P01,proximity_score,2301,0.4848649370818232,231,13.934819377645484,-6.0651806223545135,25.541125541125542,13.85474742101793
audit_pre,15,P01,separation_score,2301,0.5341051128976434,231,-11.027039288195324,-31.027039288195326,32.03463203463203,-2.8522944731890987
audit_pre,15,P02,strength_score,2276,0.5333808066311289,228,63.85437867673115,43.85437867673115,35.08771929824561,58.008932777799785
audit_pre,15,P02,contraction_score,2276,0.5238351956534474,228,37.34847200962283,17.34847200962283,32.89473684210527,24.663005073099495
audit_pre,15,P02,proximity_score,2276,0.48292013868549,228,15.640122941824584,-4.359877058175412,25.877192982456144,16.520723153915004
audit_pre,15,P02,separation_score,2276,0.535472255579638,228,-8.272216962711163,-28.27221696271116,32.45614035087719,-1.6902393817894568
audit_pre,15,P03,strength_score,2254,0.5340226453562457,226,61.088601963658625,41.08860196365863,34.51327433628318,55.00757457542557
audit_pre,15,P03,contraction_score,2254,0.5245240675757296,226,38.778062212686436,18.77806221268644,33.1858407079646,26.81636279381729
