fold,minutes,policy,baseline_n,n,retained_pct,symbols,universe_symbols,matched_n,matched_pct,mean_gross_bp,mean_net_bp,median_net_bp,win_pct,loss_count,loss_removed_pct,winner_retained_pct,control_net_bp,matched_case_net_bp,boundary_marks,tail_n,tail_retained_n,tail_count_pct,tail_profit_pct,excess_bp,p,months,p_resolution,ci_low,ci_high,p_holm_validation,portfolio_net_pct,portfolio_mdd_pct,portfolio_min_equity,incremental_net_pct,positive_delta_months,incremental_excess_bp,incremental_p,incremental_months,incremental_p_resolution,incremental_ci_low,incremental_ci_high,incremental_p_holm_validation
development,15,P00,13062,13062,100.0,48,54,13062,100.0,8.169287584110553,-11.830712415889447,-85.41961222734705,26.802939825447865,9561,0.0,100.0,-29.5212647626221,-11.830712415889447,2,1307,1307,100.0,100.0,17.69055234673265,0.0095,24,0.0001,4.116373774219298,30.94225612403644,,-28.543988071415825,39.42976482319117,0.6753928723956802,,,,,,,,,
development,15,P01,13062,10363,79.33700811514316,48,54,10363,100.0,7.3361840793339725,-12.663815920666028,-85.4670900466514,26.932355495512883,7572,20.803263256981484,79.72007997714938,-30.264658332060115,-12.663815920666028,2,1307,1040,79.57153787299158,78.49534761006545,17.600842411394083,0.0154,24,0.0001,2.518176692129704,31.8644076757482,,-21.941829929170453,32.3221932442177,0.7498812585098539,6.602158142245374,12.0,27.508992259355722,0.0765,24.0,0.0001,-7.428828656495052,64.08235057146885,
development,15,P02,13062,10276,78.67095391211147,48,54,10276,100.0,6.580715666104771,-13.419284333895229,-85.55779721100552,26.91708836123005,7510,21.451730990482165,79.00599828620393,-30.50348011527852,-13.419284333895229,2,1307,1028,78.65340474368784,77.16517643052386,17.084195781383293,0.016,24,0.0001,2.1729916034174472,31.243696203583283,,-22.51832891069242,31.886300779316954,0.745877171848547,6.025659160723407,12.0,25.106913169680865,0.1206,24.0,0.0001,-14.530036134894338,65.84243814306105,
development,15,P03,13062,10220,78.2422293676313,48,54,10220,100.0,6.635898622660741,-13.364101377339258,-85.62801983062027,26.956947162426616,7465,21.92239305511976,78.69180234218794,-30.437334200185134,-13.364101377339258,2,1307,1024,78.34736036725324,76.81669440787505,17.07323282284587,0.0177,24,0.0001,1.874846498916805,31.512014541199722,,-22.613486228908698,31.990611795839886,0.7445764348222388,5.93050184250713,12.0,24.71042434377971,0.1228,24.0,0.0001,-14.768539095859532,65.17437196148455,
development,15,P04,13062,12287,94.0667585362119,48,54,12287,100.0,5.30055461056125,-14.69944538943875,-85.51410373066501,26.751851550419143,9000,5.867587072481961,93.887460725507,-29.963318114020236,-14.69944538943875,2,1307,1215,92.96097934200459,91.21734157506167,15.263872724581487,0.0202,24,0.0001,1.8399813064136292,28.57439441175608,,-30.394778708267378,40.75283723582045,0.6588175940875259,-1.8507906368515514,11.0,-7.71162765354813,0.7746,24.0,0.0001,-27.300331154639444,11.303509065471479,
validation,15,P00,7529,7529,100.0,54,54,7528,99.98671802364191,9.991641525893336,-10.008358474106666,-97.62899688329661,28.11794395005977,5412,0.0,100.0,-24.330019726918724,-9.951326718263678,22,753,753,100.0,100.0,14.37869300865505,0.055908203125,12,0.000244140625,-1.2937068900953173,29.713875644282712,0.333251953125,-4.931337720246476,14.111774130510657,0.9290335533583824,,,,,,,,,
validation,15,P01,7529,6037,80.18329127374153,54,54,6037,100.0,5.941890164915545,-14.058109835084455,-99.33989209774728,27.596488322014245,4371,19.235033259423506,78.69626830420407,-25.7811570305619,-14.058109835084455,20,753,594,78.88446215139442,78.28521692749368,11.723047195477443,0.113037109375,12,0.000244140625,-5.379455975235015,29.517496452823103,0.339111328125,-4.262173192276153,11.84983460989737,0.9281364807560188,0.6691645279703229,6.0,5.576371066419363,0.44873046875,12.0,0.000244140625,-77.06492864993099,80.99679206415868,1.0
validation,15,P02,7529,5980,79.42621862133086,54,54,5980,100.0,5.6652413225267715,-14.334758677473229,-99.43299013294603,27.55852842809365,4332,19.955654101995567,77.84600850259802,-25.48087123180035,-14.334758677473229,19,753,589,78.22045152722443,77.69969626427623,11.146112554327123,0.12451171875,12,0.000244140625,-5.749484938197632,28.777994593377358,0.339111328125,-4.428724868205958,12.18666591433174,0.9252868338995739,0.5026128520405182,6.0,4.188440433670987,0.46142578125,12.0,0.000244140625,-79.21467714463165,80.97546883186659,1.0
validation,15,P03,7529,5944,78.9480674724399,54,54,5944,100.0,5.564431555281046,-14.435568444718953,-99.58454187873664,27.557200538358007,4306,20.436067997043605,77.37364194615022,-25.637425617732895,-14.435568444718953,19,753,586,77.82204515272244,77.18508426865017,11.20185717301394,0.121337890625,12,0.000244140625,-5.586989075943178,28.68742523222152,0.339111328125,-4.120209793177521,11.898815392286899,0.9241362823452394,0.8111279270689553,6.0,6.759399392241299,0.434814453125,12.0,0.000244140625,-73.94920379118945,82.51061478501938,1.0
validation,15,P04,7529,6982,92.7347589321291,54,54,6981,99.98567745631624,10.718309659859363,-9.281690340140637,-97.27122787405783,28.301346319106273,5006,7.50184774575019,93.33963155408597,-25.282933677545497,-9.220085738203954,20,753,698,92.69588313413014,92.98974754719448,16.06284793934154,0.039794921875,12,0.000244140625,-0.10840513550606841,30.743876960297982,0.318359375,-4.788879078946473,12.962503507755551,0.9372538812384248,0.14245864130000285,7.0,1.1871553441666924,0.477294921875,12.0,0.000244140625,-40.663306446110454,38.29029103417802,1.0
