uid,kind,kind_id,track,track_id,source,ax,ap,bx,bp,cx,cp,fit,wave,score,born_i,break_i,A,B,C,ax_bj,bx_bj,cx_bj,born_i_bj,break_i_bj
1,auxiliary_touch,1,raw,0,0,454,58.044,548,56.6,601,55.75,0.14990770114167054,2.114387791339976,0.21412577974964933,603,609,454,548,601,2026-08-06T01:30:00+08:00,2026-08-07T01:00:00+08:00,2026-08-07T14:15:00+08:00,2026-08-07T15:00:00+08:00,2026-08-07T16:30:00+08:00
2,auxiliary_touch,1,raw,0,0,623,57.032,772,55.332,824,54.761,0.1352707723196762,3.9448883767420484,0.17571657913317004,826,831,623,772,824,2026-08-07T19:45:00+08:00,2026-08-09T09:00:00+08:00,2026-08-09T22:00:00+08:00,2026-08-09T22:45:00+08:00,2026-08-10T00:00:00+08:00
3,auxiliary_touch,1,raw,0,0,623,57.032,851,54.829,874,54.531,0.30765160516574186,3.2970991359748503,0.3541946319080438,876,892,623,851,874,2026-08-07T19:45:00+08:00,2026-08-10T04:45:00+08:00,2026-08-10T10:30:00+08:00,2026-08-10T11:15:00+08:00,2026-08-10T15:15:00+08:00
4,auxiliary_touch,1,raw,0,0,454,58.044,623,57.032,913,55.283,0.060450011676540925,8.727527878032491,0.0810102200365351,915,941,454,623,913,2026-08-06T01:30:00+08:00,2026-08-07T19:45:00+08:00,2026-08-10T20:15:00+08:00,2026-08-10T21:00:00+08:00,2026-08-11T03:30:00+08:00
5,auxiliary_touch,1,raw,0,0,944,56.129,1004,55.411,1063,54.718,0.07258250786410297,3.808095411843391,0.11417902017693193,1065,1080,944,1004,1063,2026-08-11T04:00:00+08:00,2026-08-11T19:00:00+08:00,2026-08-12T09:45:00+08:00,2026-08-12T10:30:00+08:00,2026-08-12T14:15:00+08:00
6,auxiliary_touch,1,raw,0,0,978,55.633,1004,55.411,1072,54.822,0.052495697711846784,3.53017540507844,0.09664409862713916,1074,1084,978,1004,1072,2026-08-11T12:30:00+08:00,2026-08-11T19:00:00+08:00,2026-08-12T12:00:00+08:00,2026-08-12T12:45:00+08:00,2026-08-12T15:15:00+08:00
7,auxiliary_touch,1,raw,0,0,1213,58.47,1356,56.723,1376,56.486,0.046594330603467495,4.103556649210685,0.08578268761542149,1378,1396,1213,1356,1376,2026-08-13T23:15:00+08:00,2026-08-15T11:00:00+08:00,2026-08-15T16:00:00+08:00,2026-08-15T16:45:00+08:00,2026-08-15T21:15:00+08:00
8,auxiliary_touch,1,soft,1,1,1210,58.399,1356,56.719039506783716,1376,56.486,0.018470469209734944,4.103556649210685,0.05765882622168894,1378,1397,1210,1356,1376,2026-08-13T22:30:00+08:00,2026-08-15T11:00:00+08:00,2026-08-15T16:00:00+08:00,2026-08-15T16:45:00+08:00,2026-08-15T21:30:00+08:00
9,auxiliary_touch,1,raw,0,0,1580,59.898,1634,59.668,1652,59.61,0.08086368580761437,2.7464773286798265,0.1342471664626209,1654,1658,1580,1634,1652,2026-08-17T19:00:00+08:00,2026-08-18T08:30:00+08:00,2026-08-18T13:00:00+08:00,2026-08-18T13:45:00+08:00,2026-08-18T14:45:00+08:00
10,auxiliary_touch,1,raw,0,0,1661,60.473,1748,58.688,1755,58.603,0.2897578849554192,2.8668986029118884,0.3414789204771146,1757,1771,1661,1748,1755,2026-08-18T15:15:00+08:00,2026-08-19T13:00:00+08:00,2026-08-19T14:45:00+08:00,2026-08-19T15:30:00+08:00,2026-08-19T19:00:00+08:00
11,auxiliary_touch,1,raw,0,0,1678,59.998,1748,58.688,1755,58.603,0.22737471678266458,2.8668986029118884,0.27909575230435996,1757,1771,1678,1748,1755,2026-08-18T19:30:00+08:00,2026-08-19T13:00:00+08:00,2026-08-19T14:45:00+08:00,2026-08-19T15:30:00+08:00,2026-08-19T19:00:00+08:00
12,auxiliary_touch,1,raw,0,0,2031,82.664,2097,79.948,2105,79.724,0.14284305744954853,2.589071557706376,0.1985677753283449,2107,2114,2031,2097,2105,2026-08-22T11:45:00+08:00,2026-08-23T04:15:00+08:00,2026-08-23T06:15:00+08:00,2026-08-23T07:00:00+08:00,2026-08-23T08:45:00+08:00
13,auxiliary_touch,1,raw,0,0,2031,82.664,2165,81.615,2188,81.355,0.12673930332191127,4.227737865180025,0.164996768626766,2190,2198,2031,2165,2188,2026-08-22T11:45:00+08:00,2026-08-23T21:15:00+08:00,2026-08-24T03:00:00+08:00,2026-08-24T03:45:00+08:00,2026-08-24T05:45:00+08:00
14,auxiliary_touch,1,raw,0,0,2206,83.446,2343,82.031,2368,81.863,0.1237212374337938,4.21310905990314,0.16208605921323993,2370,2377,2206,2343,2368,2026-08-24T07:30:00+08:00,2026-08-25T17:45:00+08:00,2026-08-26T00:00:00+08:00,2026-08-26T00:45:00+08:00,2026-08-26T02:30:00+08:00
