i,stem,symbol,tip_idx,tip_time,max_conf,n_boxes,tip_spread,right_p50,owner_keep,owner_note,image
0,BCH_USDT_SWAP_12247,BCH_USDT_SWAP,12247,2025-10-09 05:30:00+00:00,0.2174,1,,,,,images/train/BCH_USDT_SWAP_12247.png
1,XLM_USDT_SWAP_19867,XLM_USDT_SWAP,19867,2025-12-26 14:45:00+00:00,0.3765,1,,,,,images/train/XLM_USDT_SWAP_19867.png
2,W_USDT_SWAP_22951,W_USDT_SWAP,22951,2026-01-28 19:30:00+00:00,0.0871,1,,,,,images/train/W_USDT_SWAP_22951.png
3,ATOM_USDT_SWAP_8994,ATOM_USDT_SWAP,8994,2025-09-04 07:15:00+00:00,0.0617,1,,,,,images/train/ATOM_USDT_SWAP_8994.png
4,ADA_USDT_SWAP_638,ADA_USDT_SWAP,638,2025-06-09 06:15:00+00:00,0.0534,1,,,,,images/train/ADA_USDT_SWAP_638.png
5,ACH_USDT_SWAP_16048,ACH_USDT_SWAP,16048,2025-11-17 17:15:00+00:00,0.3299,1,,,,,images/train/ACH_USDT_SWAP_16048.png
6,ACH_USDT_SWAP_15824,ACH_USDT_SWAP,15824,2025-11-15 09:15:00+00:00,0.1886,1,,,,,images/train/ACH_USDT_SWAP_15824.png
7,W_USDT_SWAP_23138,W_USDT_SWAP,23138,2026-01-30 18:15:00+00:00,0.3848,1,,,,,images/train/W_USDT_SWAP_23138.png
8,ADA_USDT_SWAP_844,ADA_USDT_SWAP,844,2025-06-11 09:45:00+00:00,0.1868,1,,,,,images/train/ADA_USDT_SWAP_844.png
9,AXS_USDT_SWAP_22431,AXS_USDT_SWAP,22431,2026-01-23 05:45:00+00:00,0.3094,1,,,,,images/train/AXS_USDT_SWAP_22431.png
10,AUCTION_USDT_SWAP_3593,AUCTION_USDT_SWAP,3593,2025-07-11 00:15:00+00:00,0.2272,1,,,,,images/train/AUCTION_USDT_SWAP_3593.png
11,ATOM_USDT_SWAP_9118,ATOM_USDT_SWAP,9118,2025-09-05 14:15:00+00:00,0.2258,1,,,,,images/train/ATOM_USDT_SWAP_9118.png
12,LINEA_USDT_SWAP_8626,LINEA_USDT_SWAP,8626,2025-11-30 10:30:00+00:00,0.1195,1,,,,,images/train/LINEA_USDT_SWAP_8626.png
13,PENGU_USDT_SWAP_22237,PENGU_USDT_SWAP,22237,2026-01-20 06:45:00+00:00,0.1244,1,,,,,images/train/PENGU_USDT_SWAP_22237.png
14,STX_USDT_SWAP_16899,STX_USDT_SWAP,16899,2025-11-26 18:15:00+00:00,0.0628,1,,,,,images/train/STX_USDT_SWAP_16899.png
15,ICX_USDT_SWAP_996,ICX_USDT_SWAP,996,2025-06-14 01:00:00+00:00,0.0822,1,,,,,images/train/ICX_USDT_SWAP_996.png
16,PENGU_USDT_SWAP_21990,PENGU_USDT_SWAP,21990,2026-01-17 17:00:00+00:00,0.3265,1,,,,,images/train/PENGU_USDT_SWAP_21990.png
17,ARB_USDT_SWAP_21193,ARB_USDT_SWAP,21193,2026-01-09 09:00:00+00:00,0.2985,1,,,,,images/train/ARB_USDT_SWAP_21193.png
18,ARB_USDT_SWAP_21429,ARB_USDT_SWAP,21429,2026-01-11 20:00:00+00:00,0.2952,1,,,,,images/train/ARB_USDT_SWAP_21429.png
19,NEAR_USDT_SWAP_5302,NEAR_USDT_SWAP,5302,2025-07-27 21:00:00+00:00,0.3634,1,,,,,images/train/NEAR_USDT_SWAP_5302.png
20,VIRTUAL_USDT_SWAP_14352,VIRTUAL_USDT_SWAP,14352,2025-10-30 04:00:00+00:00,0.3565,1,,,,,images/train/VIRTUAL_USDT_SWAP_14352.png
21,ADA_USDT_SWAP_751,ADA_USDT_SWAP,751,2025-06-10 10:30:00+00:00,0.3563,1,,,,,images/train/ADA_USDT_SWAP_751.png
22,SIGN_USDT_SWAP_1814,SIGN_USDT_SWAP,1814,2025-06-22 14:45:00+00:00,0.2932,1,,,,,images/train/SIGN_USDT_SWAP_1814.png
23,BCH_USDT_SWAP_12265,BCH_USDT_SWAP,12265,2025-10-09 10:00:00+00:00,0.0532,1,,,,,images/train/BCH_USDT_SWAP_12265.png
24,PENGU_USDT_SWAP_21890,PENGU_USDT_SWAP,21890,2026-01-16 16:00:00+00:00,0.2353,1,,,,,images/train/PENGU_USDT_SWAP_21890.png
25,ZAMA_USDT_SWAP_1660,ZAMA_USDT_SWAP,1660,2026-01-26 21:30:00+00:00,0.142,1,,,,,images/train/ZAMA_USDT_SWAP_1660.png
26,SOPH_USDT_SWAP_15791,SOPH_USDT_SWAP,15791,2025-11-15 05:00:00+00:00,0.1504,1,,,,,images/train/SOPH_USDT_SWAP_15791.png
27,LINEA_USDT_SWAP_8834,LINEA_USDT_SWAP,8834,2025-12-02 14:30:00+00:00,0.0912,1,,,,,images/train/LINEA_USDT_SWAP_8834.png
28,ATH_USDT_SWAP_19712,ATH_USDT_SWAP,19712,2025-12-25 21:45:00+00:00,0.2328,1,,,,,images/train/ATH_USDT_SWAP_19712.png
29,DYDX_USDT_SWAP_21454,DYDX_USDT_SWAP,21454,2026-01-13 02:30:00+00:00,0.0766,1,,,,,images/train/DYDX_USDT_SWAP_21454.png
30,NEAR_USDT_SWAP_5256,NEAR_USDT_SWAP,5256,2025-07-27 09:30:00+00:00,0.1644,1,,,,,images/train/NEAR_USDT_SWAP_5256.png
31,DYDX_USDT_SWAP_21119,DYDX_USDT_SWAP,21119,2026-01-09 14:45:00+00:00,0.1466,1,,,,,images/train/DYDX_USDT_SWAP_21119.png
32,ZAMA_USDT_SWAP_1815,ZAMA_USDT_SWAP,1815,2026-01-28 12:15:00+00:00,0.1255,1,,,,,images/train/ZAMA_USDT_SWAP_1815.png
33,W_USDT_SWAP_23167,W_USDT_SWAP,23167,2026-01-31 01:30:00+00:00,0.2962,1,,,,,images/train/W_USDT_SWAP_23167.png
34,ZAMA_USDT_SWAP_1474,ZAMA_USDT_SWAP,1474,2026-01-24 23:00:00+00:00,0.0526,1,,,,,images/train/ZAMA_USDT_SWAP_1474.png
35,APE_USDT_SWAP_19872,APE_USDT_SWAP,19872,2025-12-26 14:45:00+00:00,0.333,1,,,,,images/train/APE_USDT_SWAP_19872.png
36,W_USDT_SWAP_22884,W_USDT_SWAP,22884,2026-01-28 02:45:00+00:00,0.1192,1,,,,,images/train/W_USDT_SWAP_22884.png
37,DYDX_USDT_SWAP_21372,DYDX_USDT_SWAP,21372,2026-01-12 06:00:00+00:00,0.2124,1,,,,,images/train/DYDX_USDT_SWAP_21372.png
38,BREV_USDT_SWAP_464,BREV_USDT_SWAP,464,2026-01-04 09:00:00+00:00,0.3402,1,,,,,images/train/BREV_USDT_SWAP_464.png
39,STX_USDT_SWAP_17139,STX_USDT_SWAP,17139,2025-11-29 06:15:00+00:00,0.3704,1,,,,,images/train/STX_USDT_SWAP_17139.png
40,STX_USDT_SWAP_17012,STX_USDT_SWAP,17012,2025-11-27 22:30:00+00:00,0.0982,1,,,,,images/train/STX_USDT_SWAP_17012.png
41,LINEA_USDT_SWAP_8644,LINEA_USDT_SWAP,8644,2025-11-30 15:00:00+00:00,0.333,1,,,,,images/train/LINEA_USDT_SWAP_8644.png
42,STX_USDT_SWAP_17030,STX_USDT_SWAP,17030,2025-11-28 03:00:00+00:00,0.0877,1,,,,,images/train/STX_USDT_SWAP_17030.png
43,ICX_USDT_SWAP_1020,ICX_USDT_SWAP,1020,2025-06-14 07:00:00+00:00,0.1174,1,,,,,images/train/ICX_USDT_SWAP_1020.png
44,ACH_USDT_SWAP_15725,ACH_USDT_SWAP,15725,2025-11-14 08:30:00+00:00,0.0897,1,,,,,images/train/ACH_USDT_SWAP_15725.png
45,LINEA_USDT_SWAP_8948,LINEA_USDT_SWAP,8948,2025-12-03 19:00:00+00:00,0.3533,1,,,,,images/train/LINEA_USDT_SWAP_8948.png
46,SIGN_USDT_SWAP_1713,SIGN_USDT_SWAP,1713,2025-06-21 13:30:00+00:00,0.4059,1,,,,,images/train/SIGN_USDT_SWAP_1713.png
47,ZIL_USDT_SWAP_22145,ZIL_USDT_SWAP,22145,2026-01-20 10:15:00+00:00,0.1007,1,,,,,images/train/ZIL_USDT_SWAP_22145.png
48,XLM_USDT_SWAP_20172,XLM_USDT_SWAP,20172,2025-12-29 19:00:00+00:00,0.0589,1,,,,,images/train/XLM_USDT_SWAP_20172.png
49,XLM_USDT_SWAP_19931,XLM_USDT_SWAP,19931,2025-12-27 06:45:00+00:00,0.2102,1,,,,,images/train/XLM_USDT_SWAP_19931.png
50,ADA_USDT_SWAP_620,ADA_USDT_SWAP,620,2025-06-09 01:45:00+00:00,0.3874,1,,,,,images/train/ADA_USDT_SWAP_620.png
51,GPS_USDT_SWAP_14766,GPS_USDT_SWAP,14766,2025-11-04 11:15:00+00:00,0.0762,1,,,,,images/train/GPS_USDT_SWAP_14766.png
52,ADA_USDT_SWAP_875,ADA_USDT_SWAP,875,2025-06-11 17:30:00+00:00,0.256,1,,,,,images/train/ADA_USDT_SWAP_875.png
53,ACH_USDT_SWAP_16088,ACH_USDT_SWAP,16088,2025-11-18 03:15:00+00:00,0.3645,1,,,,,images/train/ACH_USDT_SWAP_16088.png
54,BCH_USDT_SWAP_12382,BCH_USDT_SWAP,12382,2025-10-10 15:15:00+00:00,0.3043,1,,,,,images/train/BCH_USDT_SWAP_12382.png
55,RECALL_USDT_SWAP_8280,RECALL_USDT_SWAP,8280,2026-01-24 16:15:00+00:00,0.1652,1,,,,,images/train/RECALL_USDT_SWAP_8280.png
56,ZIL_USDT_SWAP_22010,ZIL_USDT_SWAP,22010,2026-01-19 00:30:00+00:00,0.1114,1,,,,,images/train/ZIL_USDT_SWAP_22010.png
57,ARB_USDT_SWAP_21324,ARB_USDT_SWAP,21324,2026-01-10 17:45:00+00:00,0.3426,1,,,,,images/train/ARB_USDT_SWAP_21324.png
58,ARB_USDT_SWAP_21155,ARB_USDT_SWAP,21155,2026-01-08 23:30:00+00:00,0.1337,1,,,,,images/train/ARB_USDT_SWAP_21155.png
59,WAL_USDT_SWAP_1374,WAL_USDT_SWAP,1374,2025-06-18 01:15:00+00:00,0.2206,1,,,,,images/train/WAL_USDT_SWAP_1374.png
60,WAL_USDT_SWAP_1571,WAL_USDT_SWAP,1571,2025-06-20 02:30:00+00:00,0.3703,1,,,,,images/train/WAL_USDT_SWAP_1571.png
61,VIRTUAL_USDT_SWAP_14446,VIRTUAL_USDT_SWAP,14446,2025-10-31 03:30:00+00:00,0.0898,1,,,,,images/train/VIRTUAL_USDT_SWAP_14446.png
62,ARB_USDT_SWAP_21360,ARB_USDT_SWAP,21360,2026-01-11 02:45:00+00:00,0.3529,1,,,,,images/train/ARB_USDT_SWAP_21360.png
63,RECALL_USDT_SWAP_8084,RECALL_USDT_SWAP,8084,2026-01-22 15:15:00+00:00,0.3429,1,,,,,images/train/RECALL_USDT_SWAP_8084.png
64,STX_USDT_SWAP_17103,STX_USDT_SWAP,17103,2025-11-28 21:15:00+00:00,0.2549,1,,,,,images/train/STX_USDT_SWAP_17103.png
65,PENGU_USDT_SWAP_21948,PENGU_USDT_SWAP,21948,2026-01-17 06:30:00+00:00,0.0928,1,,,,,images/train/PENGU_USDT_SWAP_21948.png
66,ATH_USDT_SWAP_19852,ATH_USDT_SWAP,19852,2025-12-27 08:45:00+00:00,0.0869,1,,,,,images/train/ATH_USDT_SWAP_19852.png
67,ZAMA_USDT_SWAP_1531,ZAMA_USDT_SWAP,1531,2026-01-25 13:15:00+00:00,0.069,1,,,,,images/train/ZAMA_USDT_SWAP_1531.png
68,AUCTION_USDT_SWAP_3741,AUCTION_USDT_SWAP,3741,2025-07-12 13:15:00+00:00,0.3742,1,,,,,images/train/AUCTION_USDT_SWAP_3741.png
69,W_USDT_SWAP_22932,W_USDT_SWAP,22932,2026-01-28 14:45:00+00:00,0.3774,1,,,,,images/train/W_USDT_SWAP_22932.png
70,ZAMA_USDT_SWAP_1579,ZAMA_USDT_SWAP,1579,2026-01-26 01:15:00+00:00,0.2181,1,,,,,images/train/ZAMA_USDT_SWAP_1579.png
71,BCH_USDT_SWAP_12229,BCH_USDT_SWAP,12229,2025-10-09 01:00:00+00:00,0.2445,1,,,,,images/train/BCH_USDT_SWAP_12229.png
72,LDO_USDT_SWAP_6604,LDO_USDT_SWAP,6604,2025-08-11 11:15:00+00:00,0.1953,1,,,,,images/train/LDO_USDT_SWAP_6604.png
73,BREV_USDT_SWAP_440,BREV_USDT_SWAP,440,2026-01-04 03:00:00+00:00,0.3224,1,,,,,images/train/BREV_USDT_SWAP_440.png
74,NEAR_USDT_SWAP_5428,NEAR_USDT_SWAP,5428,2025-07-29 04:30:00+00:00,0.1725,1,,,,,images/train/NEAR_USDT_SWAP_5428.png
75,W_USDT_SWAP_23028,W_USDT_SWAP,23028,2026-01-29 14:45:00+00:00,0.1057,1,,,,,images/train/W_USDT_SWAP_23028.png
76,ATOM_USDT_SWAP_8839,ATOM_USDT_SWAP,8839,2025-09-02 16:30:00+00:00,0.2237,1,,,,,images/train/ATOM_USDT_SWAP_8839.png
77,ATOM_USDT_SWAP_9148,ATOM_USDT_SWAP,9148,2025-09-05 21:45:00+00:00,0.3289,1,,,,,images/train/ATOM_USDT_SWAP_9148.png
78,STX_USDT_SWAP_17186,STX_USDT_SWAP,17186,2025-11-29 18:00:00+00:00,0.3474,1,,,,,images/train/STX_USDT_SWAP_17186.png
79,LINEA_USDT_SWAP_8968,LINEA_USDT_SWAP,8968,2025-12-04 00:00:00+00:00,0.3581,1,,,,,images/train/LINEA_USDT_SWAP_8968.png
80,ZIL_USDT_SWAP_22339,ZIL_USDT_SWAP,22339,2026-01-22 10:45:00+00:00,0.2778,1,,,,,images/train/ZIL_USDT_SWAP_22339.png
81,ARB_USDT_SWAP_21231,ARB_USDT_SWAP,21231,2026-01-09 18:30:00+00:00,0.2442,1,,,,,images/train/ARB_USDT_SWAP_21231.png
82,BCH_USDT_SWAP_12182,BCH_USDT_SWAP,12182,2025-10-08 13:15:00+00:00,0.214,1,,,,,images/train/BCH_USDT_SWAP_12182.png
83,ADA_USDT_SWAP_1033,ADA_USDT_SWAP,1033,2025-06-13 09:00:00+00:00,0.0525,1,,,,,images/train/ADA_USDT_SWAP_1033.png
