trade_key,symbol,timeframe,signal_i,signal_bar_open,arm,status,baseline_risk_frac,entry_i,entry_time,entry_price,initial_stop,initial_risk,initial_risk_frac,exit_i,exit_time,exit_price,exit_reason,gross_return,net_return,gross_r,net_r,censored,mfe_r,net_r_on_baseline_risk,signal_close,period,month,net_bp,gross_bp,figure,serial_status,serial_taken
binance_um:ETHUSDT:15m:box_any:1850,ETHUSDT,15m,1850,2024-09-13 15:30:00+00:00,age6,closed,0.0210588820727692,1851.0,2024-09-13 15:45:00+00:00,2391.39,2341.03,50.35999999999967,0.0210588820727692,2023.0,2024-09-15 10:45:00+00:00,2409.53,opposite_v6_next_open,0.0075855464813352,0.0055855464813352,0.3602065131056476,0.2652347100873786,False,1.4372517871326564,0.2652347100873786,2024-09-13 15:45:00+00:00,earlier,2024-09,55.855464813352,75.855464813352,1,closed,True
binance_um:ETHUSDT:15m:box_any:1850,ETHUSDT,15m,1850,2024-09-13 15:30:00+00:00,baseline,closed,0.0210588820727692,1851.0,2024-09-13 15:45:00+00:00,2391.39,2341.03,50.35999999999967,0.0210588820727692,2023.0,2024-09-15 10:45:00+00:00,2409.53,opposite_v6_next_open,0.0075855464813352,0.0055855464813352,0.3602065131056476,0.2652347100873786,False,1.4372517871326564,0.2652347100873786,2024-09-13 15:45:00+00:00,earlier,2024-09,55.855464813352,75.855464813352,1,closed,True
binance_um:ETHUSDT:15m:box_any:1850,ETHUSDT,15m,1850,2024-09-13 15:30:00+00:00,parent_stop,closed,0.0210588820727692,1851.0,2024-09-13 15:45:00+00:00,2391.39,2341.2200000000003,50.16999999999962,0.0209794303731301,2023.0,2024-09-15 10:45:00+00:00,2409.53,opposite_v6_next_open,0.0075855464813352,0.0055855464813352,0.3615706597568354,0.2662391867650069,False,1.4426948375523352,0.2652347100873786,2024-09-13 15:45:00+00:00,earlier,2024-09,55.855464813352,75.855464813352,1,closed,True
binance_um:ETHUSDT:15m:box_any:1850,ETHUSDT,15m,1850,2024-09-13 15:30:00+00:00,wick_arm,closed,0.0210588820727692,1851.0,2024-09-13 15:45:00+00:00,2391.39,2341.03,50.35999999999967,0.0210588820727692,2023.0,2024-09-15 10:45:00+00:00,2409.53,opposite_v6_next_open,0.0075855464813352,0.0055855464813352,0.3602065131056476,0.2652347100873786,False,1.4372517871326564,0.2652347100873786,2024-09-13 15:45:00+00:00,earlier,2024-09,55.855464813352,75.855464813352,1,closed,True
binance_um:MANAUSDT:15m:box_any:2873,MANAUSDT,15m,2873,2024-09-24 07:15:00+00:00,age6,closed,0.013200257566001,2874.0,2024-09-24 07:30:00+00:00,0.3106,0.3065,0.0040999999999999,0.013200257566001,2901.0,2024-09-24 14:15:00+00:00,0.3065,initial_stop,-0.013200257566001,-0.015200257566001,-0.999999999999999,-1.151512195121953,False,0.3414634146341546,-1.151512195121953,2024-09-24 07:30:00+00:00,earlier,2024-09,-152.00257566001,-132.00257566001,2,closed,True
binance_um:MANAUSDT:15m:box_any:2873,MANAUSDT,15m,2873,2024-09-24 07:15:00+00:00,baseline,closed,0.013200257566001,2874.0,2024-09-24 07:30:00+00:00,0.3106,0.3065,0.0040999999999999,0.013200257566001,2901.0,2024-09-24 14:15:00+00:00,0.3065,initial_stop,-0.013200257566001,-0.015200257566001,-0.999999999999999,-1.151512195121953,False,0.3414634146341546,-1.151512195121953,2024-09-24 07:30:00+00:00,earlier,2024-09,-152.00257566001,-132.00257566001,2,closed,True
binance_um:MANAUSDT:15m:box_any:2873,MANAUSDT,15m,2873,2024-09-24 07:15:00+00:00,parent_stop,closed,0.013200257566001,2874.0,2024-09-24 07:30:00+00:00,0.3106,0.3065,0.0040999999999999,0.013200257566001,2901.0,2024-09-24 14:15:00+00:00,0.3065,initial_stop,-0.013200257566001,-0.015200257566001,-0.999999999999999,-1.151512195121953,False,0.3414634146341546,-1.151512195121953,2024-09-24 07:30:00+00:00,earlier,2024-09,-152.00257566001,-132.00257566001,2,closed,True
binance_um:MANAUSDT:15m:box_any:2873,MANAUSDT,15m,2873,2024-09-24 07:15:00+00:00,wick_arm,closed,0.013200257566001,2874.0,2024-09-24 07:30:00+00:00,0.3106,0.3065,0.0040999999999999,0.013200257566001,2901.0,2024-09-24 14:15:00+00:00,0.3065,initial_stop,-0.013200257566001,-0.015200257566001,-0.999999999999999,-1.151512195121953,False,0.3414634146341546,-1.151512195121953,2024-09-24 07:30:00+00:00,earlier,2024-09,-152.00257566001,-132.00257566001,2,closed,True
binance_um:MKRUSDT:15m:box_any:4001,MKRUSDT,15m,4001,2024-10-06 01:15:00+00:00,age6,rejected_age6,0.0112528132033006,,,,,,,,,,,0.0,0.0,,,,,0.0,2024-10-06 01:30:00+00:00,earlier,2024-10,0.0,0.0,3,,False
binance_um:MKRUSDT:15m:box_any:4001,MKRUSDT,15m,4001,2024-10-06 01:15:00+00:00,baseline,closed,0.0112528132033006,4002.0,2024-10-06 01:30:00+00:00,1466.3,1449.8000000000002,16.499999999999773,0.0112528132033006,4083.0,2024-10-06 21:45:00+00:00,1449.8000000000002,initial_stop,-0.0112528132033006,-0.0132528132033006,-0.999999999999996,-1.1777333333333322,False,0.62424242424243,-1.1777333333333322,2024-10-06 01:30:00+00:00,earlier,2024-10,-132.52813203300602,-112.528132033006,3,closed,True
