timeframe,arm,matched,reason,n
15m,age6,False,censored,5
15m,age6,False,target_censored,2
15m,age6,True,matched,3928
15m,baseline,False,censored,10
15m,baseline,False,target_censored,4
15m,baseline,True,matched,7072
15m,parent_stop,False,censored,11
15m,parent_stop,False,parent_stop_invalid,777
15m,parent_stop,False,target_censored,5
15m,parent_stop,True,matched,6287
15m,wick_arm,False,censored,9
15m,wick_arm,False,target_censored,4
15m,wick_arm,True,matched,7076
1h,age6,False,censored,7
1h,age6,False,target_censored,2
1h,age6,True,matched,1144
1h,baseline,False,censored,14
1h,baseline,False,target_censored,2
1h,baseline,True,matched,2185
1h,parent_stop,False,censored,8
1h,parent_stop,False,parent_stop_invalid,243
1h,parent_stop,False,target_censored,6
1h,parent_stop,True,matched,1944
1h,wick_arm,False,censored,14
1h,wick_arm,False,target_censored,2
1h,wick_arm,True,matched,2185
