bar,stops,stops_later_3r,stops_later_3r_share,stops_later_4r,stops_later_5r,stops_later_6r,tp_events,tp_later_4r,tp_later_5r,tp_later_6r
15m,132,61,0.4621212121212121,53,46,37,26,20,19,15
5m,277,152,0.5487364620938628,120,105,83,77,68,60,52
