bar,step,family,value_json,params_json,distance_from_initial,candidate_rows,decision_rows,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,tp,sl,protected_stop,timeout,minimum_fold_events,eligible,robust_score_bp,worst_fold_net_bp,2023H1_events,2023H1_mean_net_bp,2023H2_events,2023H2_mean_net_bp,2024H1_events,2024H1_mean_net_bp,2024H2_events,2024H2_mean_net_bp
15m,1,ma_period,40,"{""gap_max_bars"":8,""gap_min_bars"":2,""ma_period"":40,""score_floor"":0.4}",0.0,3133,3133,659,1.80540965416099,-18.194590345839014,-39.31025620890647,0.3095599393019727,0.4569274568666156,-0.995479047296775,-0.9955640822865126,126,449,76,8,128,True,-20.759568834322344,-23.396882174891406,165,-21.94681982550548,128,-23.396882174891406,179,-13.836891382140012,187,-15.494145940697035
15m,1,ma_period,80,"{""gap_max_bars"":8,""gap_min_bars"":2,""ma_period"":80,""score_floor"":0.4}",40.0,1927,1927,412,-0.9542619231867999,-20.954261923186806,-39.623909918871085,0.3179611650485437,0.3978246173972071,-0.9655702811044401,-0.9685343349946324,75,280,52,5,78,True,-22.330025381004162,-22.938556815810532,106,-19.871728024439477,78,-22.93714963924521,110,-22.938556815810532,118,-18.766218814933
15m,1,ma_period,120,"{""gap_max_bars"":8,""gap_min_bars"":2,""ma_period"":120,""score_floor"":0.4}",80.0,1661,1661,345,6.4897423280088145,-13.510257671991193,-38.492220228117915,0.34492753623188405,0.579992877731773,-0.8976624218491096,-0.9001502832647967,79,221,39,6,62,True,-16.3510574594729,-20.540228852589355,89,-7.700339681729607,62,-20.540228852589355,87,-7.911461754042345,107,-18.821657043932724
15m,1,ma_period,160,"{""gap_max_bars"":8,""gap_min_bars"":2,""ma_period"":160,""score_floor"":0.4}",120.0,1466,1466,327,-0.7209758702865061,-20.720975870286512,-39.31904381045957,0.30275229357798167,0.40622426103250886,-0.9188451218618547,-0.9218895914031203,70,220,29,8,69,True,-24.047278047064335,-29.500329939760544,77,-29.500329939760544,69,-22.87225656487997,96,-19.166170467680466,85,-12.777595721742172
15m,2,gap_window,"[2,8]","{""gap_max_bars"":8,""gap_min_bars"":2,""ma_period"":120,""score_floor"":0.4}",0.0,1661,1661,345,6.4897423280088145,-13.510257671991193,-38.492220228117915,0.34492753623188405,0.579992877731773,-0.8976624218491096,-0.9001502832647967,79,221,39,6,62,True,-16.3510574594729,-20.540228852589355,89,-7.700339681729607,62,-20.540228852589355,87,-7.911461754042345,107,-18.821657043932724
15m,2,gap_window,"[4,16]","{""gap_max_bars"":16,""gap_min_bars"":4,""ma_period"":120,""score_floor"":0.4}",10.0,1773,1773,353,1.8690833856225137,-18.13091661437749,-38.920703701780226,0.3371104815864023,0.4423010390794048,-0.931092336500161,-0.9327675052931299,67,229,48,9,60,True,-20.211459485869472,-23.171332435001222,87,-14.023268686801398,60,-21.441632863826573,98,-23.171332435001222,108,-15.026857765405731
15m,2,gap_window,"[8,32]","{""gap_max_bars"":32,""gap_min_bars"":8,""ma_period"":120,""score_floor"":0.4}",30.0,2033,2033,384,-3.7001940874964387,-23.700194087496445,-39.584769150226556,0.28125,0.3274886350621515,-0.9730581456362815,-0.9738368396476176,57,268,45,14,78,True,-23.85037422222809,-29.62339736062465,96,-22.570733516972634,78,-21.588224690502834,108,-20.635333845614138,102,-29.62339736062465
15m,2,gap_window,"[12,48]","{""gap_max_bars"":48,""gap_min_bars"":12,""ma_period"":120,""score_floor"":0.4}",50.0,2228,2228,420,-2.260700470325849,-22.260700470325855,-39.369448798497444,0.2976190476190476,0.3565667365977679,-0.9734377201693095,-0.9738440056963928,71,285,47,17,87,True,-22.479798530315755,-24.293730727950386,104,-21.541446425784805,87,-20.61364788236911,118,-24.293730727950386,111,-22.06428988820704
15m,3,score_floor,0.4,"{""gap_max_bars"":8,""gap_min_bars"":2,""ma_period"":120,""score_floor"":0.4}",0.0,1661,1661,345,6.4897423280088145,-13.510257671991193,-38.492220228117915,0.34492753623188405,0.579992877731773,-0.8976624218491096,-0.9001502832647967,79,221,39,6,62,True,-16.3510574594729,-20.540228852589355,89,-7.700339681729607,62,-20.540228852589355,87,-7.911461754042345,107,-18.821657043932724
15m,3,score_floor,0.45,"{""gap_max_bars"":8,""gap_min_bars"":2,""ma_period"":120,""score_floor"":0.45}",0.04999999999999999,1619,1619,341,6.967940797905198,-13.032059202094805,-38.48727577375309,0.3489736070381232,0.5915659955314674,-0.8903439388993419,-0.8930097151306918,79,217,39,6,62,True,-16.250132205613262,-20.540228852589355,88,-7.363642330375165,62,-20.540228852589355,84,-6.230166937271791,107,-18.68320982476583
