bar,failure_stage,events,share,mean_net_bp
15m,SL before 0.5R,59,0.3259668508287293,-50.52684111805275
15m,SL after 0.5–1.5R,51,0.281767955801105,-47.80936691454392
15m,SL after ≥1.5R,22,0.12154696132596685,-44.116681013229915
15m,Protected stop,23,0.1270718232044199,1.7347234759768074e-14
15m,TP 3R,26,0.143646408839779,71.7550983809892
15m,Timeout,0,0.0,
5m,SL before 0.5R,140,0.3349282296650718,-44.414544395257465
5m,SL after 0.5–1.5R,107,0.25598086124401914,-46.66019760323995
5m,SL after ≥1.5R,30,0.07177033492822966,-45.2174242719414
5m,Protected stop,63,0.1507177033492823,7.021499783715647e-14
5m,TP 3R,77,0.18421052631578946,58.67309719814779
5m,Timeout,1,0.0023923444976076554,-1.8771556079760001
