bar,feature,development_spearman,audit_spearman,development_q75,development_top_quartile_net_bp,audit_above_dev_q75_events,audit_above_dev_q75_net_bp,same_correlation_sign
15m,secondary_score,0.03665386769270003,0.03313654816532613,0.7743268778522022,-9.657455299976792,45,-34.00390334235346,True
15m,stop_distance_atr,-0.13122669458361444,-0.06629334970646383,1.127531995876991,-4.950244191522801,41,-17.038633320838606,True
15m,gap_bars,0.15065257049493155,0.13282938080655735,5.0,-1.9537754866141712,57,-23.844459246138346,True
15m,k1_body_ratio,-0.018179850516079347,0.08147122953966193,0.7813211845102571,-16.659317260964322,68,-22.904094769842903,False
15m,k1_range_atr,-0.031259447659234295,-0.018035631160212038,1.869149248672989,-21.3048311240453,34,-22.589791030695707,True
15m,k1_close_location,-0.03158517933094436,-0.036996484061716975,0.9184692179700424,-22.581328071424196,58,-28.586930859398652,True
15m,k1_cross_depth_atr,-0.06255486201752086,-0.04403894036469967,0.3812882540079629,-16.265475980150548,38,-23.16308561624513,True
15m,k2_wick_share,0.006417716483330945,0.10867961460493858,0.6191588785046308,-9.21622332124777,49,-22.95627324469247,True
15m,k2_body_ratio,0.012364941757108205,-0.08762015443605764,0.5207373271889182,-3.544075255492112,55,-23.00819315726062,False
15m,k2_rejection_close_location,0.04257808262618709,-0.012908717661695079,0.9062095730918512,-6.20808132672594,47,-16.049658022674148,False
15m,k2_touch_depth_atr,-0.09612348872078588,-0.06360167606110485,0.3713556077355208,-20.914535304709904,44,-23.341676920611178,True
15m,path_close_share,-0.006151981677887582,-0.011817604651887146,1.0,-13.558421937176831,126,-26.209770614332296,True
15m,path_colour_share,0.011851684838631605,-0.061161366979306464,1.0,-15.005363702948594,124,-28.446679448509787,False
5m,secondary_score,-0.01168207900141676,-0.0030679272895614337,0.770222907747681,-18.0661455453324,113,-19.377416376502083,True
5m,stop_distance_atr,-0.054072001948255205,-0.05379651916262176,1.3618928191816244,-12.61914591264843,138,-16.883472246504372,True
5m,gap_bars,0.031582577885132815,0.029765308066834202,18.0,-16.016181107344707,108,-14.716394345763868,True
5m,k1_body_ratio,-0.04646134378102119,0.02670619780787052,0.8641907698132472,-20.288902425388407,124,-16.851333690871336,False
5m,k1_range_atr,-0.006515966214259028,-0.0937248126735157,1.6463716888218167,-17.65733780235488,135,-23.454020173441897,True
5m,k1_close_location,-0.005454468656276792,0.028011587695942114,0.9614735088975036,-15.577017344553589,112,-19.2629523116383,False
5m,k1_cross_depth_atr,-0.012452742579252008,-0.05285292116090994,0.3399479982603896,-18.20990356673724,140,-22.01078942957095,True
5m,k2_wick_share,0.0163070814396959,0.02280641495176431,0.6245853300560467,-18.47935601827603,104,-14.05701957272719,True
5m,k2_body_ratio,-0.017457112488929685,-0.0458690457137912,0.6099900565142271,-17.97421539601683,97,-19.294579258138274,True
5m,k2_rejection_close_location,0.018124219224597952,0.016573848901104835,0.9569199118163945,-15.020598984845847,106,-17.703265908652202,True
5m,k2_touch_depth_atr,0.021812286646802143,-0.02084387587219285,0.42777880924817185,-17.07082456244089,112,-18.196472643173948,False
5m,path_close_share,0.005782216483456987,0.039101987552277874,1.0,-17.274890986654654,141,-17.640713656389178,True
5m,path_colour_share,0.004979863370912171,0.04721827335471118,1.0,-18.07741562226417,161,-17.382240601325194,True
