bar,stop_distance_atr,events,mean_net_bp,win_rate
15m,0.15–0.30,1,-36.376769870215,0.0
15m,0.30–0.50,22,-31.88429562708264,0.13636363636363635
15m,0.50–0.75,50,-30.144349351024143,0.22
15m,0.75–1.00,51,-23.747965173380923,0.29411764705882354
15m,1.00–1.50,39,-18.251974955216433,0.28205128205128205
15m,1.50–2.50,18,-19.79298748217127,0.4444444444444444
5m,0.15–0.30,1,-54.333581852112,0.0
5m,0.30–0.50,15,-40.97801826456233,0.0
5m,0.50–0.75,55,-15.112752259356888,0.4
5m,0.75–1.00,99,-24.180184319300118,0.31313131313131315
5m,1.00–1.50,144,-18.445926542390843,0.3333333333333333
5m,1.50–2.50,104,-14.432614024917159,0.3557692307692308
