bar,source_path,source_sha256,archive_audit,archive_contract,analysis_bar,derivation,rows_read,native_5m_rows_read,incomplete_15m_groups_dropped,first_time,last_time,gap_count,segments,holdout_start,holdout_rows_read,safe_end_exclusive,development_start,development_end_exclusive
15m,data/kline_preholdout_okx_5m/okx_BTC_USDT_SWAP_5m_341567.csv,767f67c2b0ae5a8c83369a7cb950334e61de09edbb82a0158122c41794eed5ac,data/kline_preholdout_okx_5m/archive_BTC_USDT_SWAP.json,"{'archive_calendar_timezone': 'UTC+08:00', 'bar': '5m', 'max_exclusive': '2026-03-01T00:00:00+00:00', 'months_requested': ['2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02'], 'symbol': 'BTC_USDT_SWAP'}",15m,complete UTC 3x5m aggregation,113855,341567,1,2022-11-30 16:00:00+00:00,2026-02-28 15:45:00+00:00,1,2,2026-05-04 00:00:00+00:00,0,2026-02-28 16:00:00+00:00,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00
5m,data/kline_preholdout_okx_5m/okx_BTC_USDT_SWAP_5m_341567.csv,767f67c2b0ae5a8c83369a7cb950334e61de09edbb82a0158122c41794eed5ac,data/kline_preholdout_okx_5m/archive_BTC_USDT_SWAP.json,"{'archive_calendar_timezone': 'UTC+08:00', 'bar': '5m', 'max_exclusive': '2026-03-01T00:00:00+00:00', 'months_requested': ['2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02'], 'symbol': 'BTC_USDT_SWAP'}",5m,native 5m,341567,341567,0,2022-11-30 16:00:00+00:00,2026-02-28 15:55:00+00:00,1,2,2026-05-04 00:00:00+00:00,0,2026-02-28 16:00:00+00:00,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00
