bar,arm,label,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,tp,sl,protected_stop,timeout,matched_events,matched_control_excess_bp,paired_signflip_p_one_sided,ranking_events,score_auc_net_positive,top_decile_events,top_decile_mean_gross_bp,top_decile_mean_net_bp,top_decile_win_rate,ranking_permutation_p_one_sided,single_feature_top_decile_mean_net_bp
15m,independent_selected,15m independent,181,-4.996109187802436,-24.996109187802443,-39.73091891263934,0.26519337016574585,0.2919645517468897,-0.84668227167254,-0.8471113242192441,26,132,23,0,181,0.1377641748256328,0.4864651353486465,182,0.4879432624113475,19,-10.29240341193683,-30.292403411936835,0.15789473684210525,0.6475735242647573,-5.499646867299573
5m,independent_selected,5m independent,418,0.738639333991253,-19.261360666008752,-38.219489342166106,0.33014354066985646,0.3594399490940862,-0.9739898845487246,-0.9739898845487246,77,277,63,1,388,-0.1937484945860631,0.5294047059529404,419,0.4868448098663926,42,-7.024699533886477,-27.024699533886483,0.23809523809523808,0.8969510304896952,-13.946705767539394
