feature,split_importance,gain_importance
sma60_sma160_spread_atr,69,0.0821776113298256
sma120_sma240_spread_atr,74,0.05738099584414158
atr_ratio96,65,0.05596272119873902
atr_pct,50,0.04436884805909358
sma60_sma120_spread_atr,45,0.035212654882343486
fee_to_risk,45,0.03461703716311604
ema30_sma60_spread_atr,55,0.03270203009014949
prior24_range_atr,42,0.03212589524628129
direction,36,0.026679849848733284
signed_body_atr,36,0.0252586510614492
adx14,34,0.02317986704292707
prior_range_atr,40,0.020902831907733344
signed_close_atr,27,0.018774997908622026
signed_return8_atr,16,0.013828018971253186
signed_slope_atr_per_bar,23,0.012093029101379216
eff12,22,0.01109130700933747
volume_ratio20,14,0.009394773951498792
ema20_sma60_spread_atr,13,0.009352887027489487
signed_di_balance,12,0.00853314105188474
signed_return24_atr,15,0.008040253043873236
eff24,16,0.00747195107396692
range_ratio20,11,0.007434266095515341
prior_near_ma_share,4,0.003217719029635191
breakout_atr,8,0.0030289889546111226
signal_score,3,0.0019419379532337189
family_has_direct,1,0.0005517299869097769
family_has_coil,0,0.0
family_has_rejection,0,0.0
