reference,candidate,n_reference_closed,n_candidate_closed,n_shared_event_ids,n_same_event_closed,n_not_closed_in_both,mean_delta_net_bp,median_delta_net_bp,n_improved,n_worse,n_tied,reference_mean_net_bp_same_events,candidate_mean_net_bp_same_events,n_loss_to_profit,n_profit_to_nonpositive
15m_first,15m_half,251,251,251,251,0,-1.53486445567,0,86,111,54,-15.3698663153,-16.904730771,4,0
15m_first,15m_slope,251,251,251,251,0,-0.595964702022,0,58,96,97,-15.3698663153,-15.9658310173,11,9
15m_first,15m_two,251,251,251,251,0,-3.06972891134,0,86,111,54,-15.3698663153,-18.4395952267,7,3
15m_first,1h_first,251,251,251,251,0,1.38936195098,-11.0311030164,52,147,52,-15.3698663153,-13.9805043643,18,28
15m_first,5m_clock120,251,251,251,251,0,-3.18635625716,0,110,89,52,-15.3698663153,-18.5562225725,3,8
15m_first,5m_native40,251,251,251,251,0,1.34850879881,9.64592503118,153,85,13,-15.3698663153,-14.0213575165,19,19
15m_first,fixed3R,251,251,251,251,0,4.02040655024,-12.7465089431,59,141,51,-15.3698663153,-11.3494597651,28,18
15m_half,15m_slope,251,251,251,251,0,0.938899753649,0,91,106,54,-16.904730771,-15.9658310173,8,10
15m_half,15m_two,251,251,251,251,0,-1.53486445567,0,86,111,54,-16.904730771,-18.4395952267,3,3
15m_half,1h_first,251,251,251,251,0,2.92422640665,-9.66882657509,52,147,52,-16.904730771,-13.9805043643,18,32
15m_half,5m_clock120,251,251,251,251,0,-1.65149180149,1.13550340651,132,80,39,-16.904730771,-18.5562225725,3,12
15m_half,5m_native40,251,251,251,251,0,2.88337325448,10.0897760758,156,84,11,-16.904730771,-14.0213575165,15,19
15m_half,fixed3R,251,251,251,251,0,5.55527100591,-11.7704216228,59,141,51,-16.904730771,-11.3494597651,27,21
15m_slope,15m_two,251,251,251,251,0,-2.47376420932,0,90,86,75,-15.9658310173,-18.4395952267,13,11
15m_slope,1h_first,251,251,251,251,0,1.985326653,0,48,118,85,-15.9658310173,-13.9805043643,15,27
15m_slope,5m_clock120,251,251,251,251,0,-2.59039155514,1.34699853587,128,83,40,-15.9658310173,-18.5562225725,9,16
15m_slope,5m_native40,251,251,251,251,0,1.94447350083,10.4429250633,157,81,13,-15.9658310173,-14.0213575165,21,23
15m_slope,fixed3R,251,251,251,251,0,4.61637125226,0,61,105,85,-15.9658310173,-11.3494597651,29,21
15m_two,1h_first,251,251,251,251,0,4.45909086232,-4.33252098565,53,130,68,-18.4395952267,-13.9805043643,19,33
15m_two,5m_clock120,251,251,251,251,0,-0.116627345819,0.921985670295,131,81,39,-18.4395952267,-18.5562225725,5,14
15m_two,5m_native40,251,251,251,251,0,4.41823771015,11.0625943832,158,79,14,-18.4395952267,-14.0213575165,15,19
15m_two,fixed3R,251,251,251,251,0,7.09013546158,0,62,122,67,-18.4395952267,-11.3494597651,28,22
1h_first,5m_clock120,251,251,251,251,0,-4.57571820814,17.1408509847,160,53,38,-13.9805043643,-18.5562225725,26,21
1h_first,5m_native40,251,251,251,251,0,-0.0408531521757,27.3331276109,187,51,13,-13.9805043643,-14.0213575165,36,26
1h_first,fixed3R,251,251,251,251,0,2.63104459926,0,57,70,124,-13.9805043643,-11.3494597651,25,5
5m_clock120,5m_native40,251,251,251,251,0,4.53486505597,7.71211674133,141,85,25,-18.5562225725,-14.0213575165,22,17
5m_clock120,fixed3R,251,251,251,251,0,7.2067628074,-17.6499394665,63,151,37,-18.5562225725,-11.3494597651,33,18
5m_native40,fixed3R,251,251,251,251,0,2.67189775143,-28.1227031836,63,176,12,-14.0213575165,-11.3494597651,33,23
