outcome,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
colour_exit,107,-4.91598011536,-29.0481978721,-526.009872344,0.8623532128,False,0.308411214953,74,0
hard_stop,4,-62.519273836,-59.1623042956,-250.077095344,0,False,0,4,0
