outcome,direction,fold,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
colour_exit,-1,2023H1,21,-28.9823912627,-45.3164556962,-608.630216516,0.455863906252,False,0.238095238095,16,0
colour_exit,-1,2023H2,30,-24.0115049943,-28.8909942589,-720.345149829,0.361651839377,False,0.133333333333,26,0
colour_exit,-1,2024H1,21,-19.222252422,-28.5935632273,-403.667300862,0.559717679607,False,0.285714285714,15,0
colour_exit,-1,2024H2,25,11.1692664683,-27.8699787597,279.231661707,1.3162596953,False,0.36,16,0
colour_exit,1,2023H1,23,34.8764282825,-29.2777967674,802.157850496,2.15251875652,False,0.434782608696,13,0
colour_exit,1,2023H2,19,18.8665489214,-12.8059849564,358.464429506,1.84234713881,False,0.421052631579,11,0
colour_exit,1,2024H1,21,18.5608774683,-25.9921006859,389.778426834,1.62150001435,False,0.380952380952,13,0
colour_exit,1,2024H2,37,19.7957182257,-29.2431274101,732.441574351,1.47211275208,False,0.324324324324,25,0
hard_stop,-1,2023H1,3,-68.9567502839,-73.7632324611,-206.870250852,0,False,0,3,0
hard_stop,-1,2023H2,9,-51.4671590899,-45.2047211347,-463.204431809,0,False,0,9,0
hard_stop,-1,2024H1,6,-115.628320271,-78.6597549926,-693.769921628,0,False,0,6,0
hard_stop,-1,2024H2,6,-102.201865088,-106.847568034,-613.21119053,0,False,0,6,0
hard_stop,1,2023H1,8,-87.9234133368,-68.9301002619,-703.387306695,0,False,0,8,0
hard_stop,1,2023H2,8,-64.0641428177,-63.9691386705,-512.513142541,0,False,0,8,0
hard_stop,1,2024H1,7,-112.980475192,-115.311827957,-790.863326346,0,False,0,7,0
hard_stop,1,2024H2,7,-100.492592919,-98.6295511691,-703.448150433,0,False,0,7,0
