fold,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
2023H1,55,-13.0314531557,-41.2434553965,-716.729923566,0.736959326397,False,0.272727272727,40,0
2023H2,66,-20.2666408284,-32.7208671435,-1337.59829467,0.471247273553,False,0.181818181818,54,0
2024H1,55,-27.2458567637,-41.1193748665,-1498.522122,0.505214235519,False,0.254545454545,41,0
2024H2,75,-4.06648139872,-35.2293897174,-304.986104904,0.918691851078,False,0.28,54,0
