primary_loss_reason,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
cost_flip,8,-12.4686964208,-13.2924015758,-99.749571366,0,False,0,8,0
early_reversal,14,-48.7027206774,-38.6129198342,-681.838089483,0,False,0,14,0
giveback,13,-38.9333237479,-38.4196444168,-506.133208723,0,False,0,13,0
hard_stop,45,-85.6275819346,-72.7303046916,-3853.24118706,0,False,0,45,0
other_loss,47,-76.4430357271,-65.2336904592,-3592.82267918,0,False,0,47,0
