primary_loss_reason,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
cost_flip,14,-10.7859288242,-11.7987432388,-151.003003539,0,False,0,14,0
early_reversal,28,-38.5892491865,-30.5175737105,-1080.49897722,0,False,0,28,0
giveback,27,-40.4263240746,-34.1082762147,-1091.51075002,0,False,0,27,0
hard_stop,54,-86.8012540895,-76.6448763088,-4687.26772083,0,False,0,54,0
other_loss,66,-76.1189319509,-67.8018228603,-5023.84950876,0,False,0,66,0
