period,rule,candidates,invalid,censored,closed,gt10,precision,confirmed_gt10_per_candidate,candidate_coverage,coverage,recall,win_rate,mean_r,mean_gross_bp,mean_net_bp,assets,positive_asset_months,retained_gt10,lost_gt10,gained_gt10,gt10_count_ratio,matched_pairs,unmatched_closed,random_gt10,paired_gt10,random_precision,random_mean_net_bp,paired_excess_r,paired_excess_net_bp,random_tail_p,random_net_p,precision_delta,precision_ci_low,precision_ci_high,random_tail_holm_p,random_net_holm_p,historical_gate_passed
full,adaptive_6m,2092,0,4,2088,27,0.01293103448275862,0.012906309751434034,0.05003109006552829,0.05007194244604317,0.0681198910081744,0.33764367816091956,0.26436988972445535,79.14448130485513,59.144481304855134,602,24,25,342,2,0.07356948228882834,2084,4,28,27,0.013435700575815739,36.1942683473672,0.19333237309925164,22.642666147419646,0.58203125,0.133819580078125,0.004130075250144711,-0.0016871790197275137,0.010476260667808034,,,
full,original_all,41814,0,114,41700,367,0.00880095923261391,0.008776964652987038,1.0,1.0,1.0,0.2932853717026379,0.04070959711619263,22.821062248867662,2.8210622488676553,814,250,367,0,0,1.0,41644,56,411,365,0.009869368936701565,3.8095593703637056,0.05801363909287428,-1.1237609309738847,0.965,0.1339,0.0,0.0,0.0,,,
full,reference_risk_fraction__low20,9720,0,19,9701,155,0.0159777342542006,0.01594650205761317,0.23245802841153682,0.2326378896882494,0.3896457765667575,0.33109988660962786,0.27131592539879124,71.91650348516319,51.91650348516316,701,102,143,224,12,0.4223433242506812,9691,10,118,155,0.01217624600144464,16.47689396000692,0.21809519404365346,35.6638828193576,0.1191,0.0285,0.007176775021586689,0.0001084876373777307,0.01601269863554635,,,
full,reference_risk_fraction__low40 & risk_atr__low40,11701,0,5,11696,160,0.013679890560875513,0.013674044953422785,0.2798345051896494,0.28047961630695445,0.37329700272479566,0.2954001367989056,0.12050858240303411,36.44524746634539,16.445247466345386,740,116,137,230,23,0.4359673024523161,11687,9,115,160,0.00983999315478737,-0.7847126169226821,0.1301719744070561,17.439028360087054,0.0515,0.099,0.004878931328261603,0.00017285720338380874,0.010532826231861353,,,
full,reference_risk_fraction__low40 & rope_distance_atr__low40,9295,0,13,9282,128,0.01379013143719026,0.01377084454007531,0.2222939685272875,0.22258992805755395,0.31607629427792916,0.2908855850032321,0.12032496599547497,33.637680571535284,13.637680571535283,727,92,116,251,12,0.34877384196185285,9274,8,94,128,0.010135863704981669,-11.091301666172757,0.1695419843326745,24.89347459692336,0.1011,0.0832,0.004989172204576351,0.00031672797033118275,0.011051470379918705,,,
full,risk_atr__low10 & trend_alignment__low40,2344,0,0,2344,36,0.015358361774744027,0.015358361774744027,0.05605777969101258,0.056211031175059954,0.09809264305177112,0.25639931740614336,0.04425703394579009,12.95264871982942,-7.0473512801705915,574,32,36,331,0,0.09809264305177112,2343,1,19,36,0.00810926163038839,-2.35682978760403,0.08970263786924905,-4.8466611554210415,0.0927,0.3261,0.006557402542130117,-0.0011184006590189578,0.019261601967887728,,,
full,risk_atr__low20 & trend_alignment__low40,4763,0,2,4761,67,0.014072673808023524,0.01406676464413185,0.11390921700865739,0.1141726618705036,0.1771117166212534,0.26254988447805083,0.041432897693838296,15.821132387164377,-4.178867612835629,677,54,65,302,2,0.18256130790190736,4759,2,41,67,0.008615255305736499,-6.385564425632982,0.07381132537068925,1.7976291363304528,0.0316,0.2458,0.005271714575409614,0.0003756005551991896,0.011870518214710721,,,
earlier,adaptive_6m,412,0,0,412,12,0.02912621359223301,0.02912621359223301,0.02606440184728285,0.02606440184728285,0.07534246575342465,0.4368932038834951,0.9174796448243545,199.03226110664113,179.0322611066412,252,10,11,135,1,0.0821917808219178,397,15,6,12,0.015113350125944584,15.871415829426216,0.8267445970464469,180.59328408146146,0.375,0.25,0.01988979934538035,-0.008580017523730703,0.03685211186227833,,,
earlier,original_all,15807,0,0,15807,146,0.00923641424685266,0.00923641424685266,1.0,1.0,1.0,0.3301069146580629,0.2121256568783175,87.40764344218691,67.4076434421869,511,103,146,0,0,1.0,15694,113,148,146,0.009430355549891679,21.808841307331605,0.18981785056842881,47.351532134238354,0.55078125,0.0704345703125,0.0,0.0,0.0,,,
earlier,reference_risk_fraction__low20,3370,0,0,3370,53,0.01572700296735905,0.01572700296735905,0.21319668501296893,0.21319668501296893,0.3013698630136986,0.4032640949554896,0.5920978317785153,146.04576742538282,126.04576742538282,407,38,44,102,9,0.363013698630137,3313,57,41,53,0.012375490492001207,46.480716872766365,0.45814901300577215,84.49392167122302,0.1875,0.056640625,0.006490588720506391,-0.0032092111534573957,0.018198590764352568,,,
