outcome,n,wins,losses,gross_negative_losses,positive_gross_cost_losses,mean_net_bp,old_mean_net_bp
hard_stop,14,0,14,14,0,-77.06591386302172,-77.06591386302172
launch_timeout_exit,127,13,114,92,22,-32.22807640169125,-33.91445205250565
transition_colour_exit,110,38,72,57,15,16.319032787619978,16.319032787619978
