transition,n,timeout_count,old_net_bp,new_net_bp,delta_bp,event_sum_delta_bp
loss_to_loss,185,99,-51.27137786636626,-43.7601151080519,7.511262758314361,1389.5836102881567
loss_to_win,4,4,-20.817670683341248,24.38791584228,45.20558652562125,180.822346102485
win_to_loss,15,15,52.96353339372886,-24.0817035893992,-77.04523698312805,-1155.6785547469208
win_to_win,47,9,110.27782955303968,106.0106445745229,-4.267184978516787,-200.55769399028898
