position_id,fill_type,time,price,side,fraction,quantity,gross_return,cost,remaining_fraction_after
0,entry,2023-11-10 08:00:00+00:00,36466.8,-1,1.0,2.742220320949466e-05,0.0,0.001,1.0
0,partial_exit,2023-11-15 12:00:00+00:00,36238.6,-1,0.25,6.855550802373665e-06,0.0015644366931017004,0.00025,0.75
0,partial_exit,2023-12-12 04:00:00+00:00,41740.0,-1,0.25,6.855550802373665e-06,-0.03615069049107679,0.00025,0.5
0,partial_exit,2023-12-27 08:00:00+00:00,42473.9,-1,0.25,6.855550802373665e-06,-0.04118197922493883,0.00025,0.25
0,partial_exit,2024-01-14 08:00:00+00:00,43022.1,-1,0.25,6.855550802373665e-06,-0.04494019217480006,0.00025,0.0
1,entry,2024-02-29 16:00:00+00:00,62787.3,-1,1.0,1.5926787742107082e-05,0.0,0.001,1.0
1,partial_exit,2024-03-17 12:00:00+00:00,66967.7,-1,0.25,3.9816969355267706e-06,-0.01664508586927609,0.00025,0.75
1,partial_exit,2024-03-20 20:00:00+00:00,65808.5,-1,0.25,3.9816969355267706e-06,-0.012029502781613468,0.00025,0.5
1,partial_exit,2024-04-03 12:00:00+00:00,66061.9,-1,0.25,3.9816969355267706e-06,-0.013038464785075927,0.00025,0.25
1,partial_exit,2024-04-15 00:00:00+00:00,65661.5,-1,0.25,3.9816969355267706e-06,-0.011444193332091032,0.00025,0.0
2,entry,2024-11-12 12:00:00+00:00,87232.1,-1,1.0,1.1463669910503129e-05,0.0,0.001,1.0
2,partial_exit,2024-12-20 16:00:00+00:00,96977.5,-1,0.25,2.865917477625782e-06,-0.02792951218645428,0.00025,0.75
2,partial_exit,2025-01-10 04:00:00+00:00,93708.5,-1,0.25,2.865917477625782e-06,-0.0185608279520956,0.00025,0.5
2,partial_exit,2025-01-14 00:00:00+00:00,94539.9,-1,0.25,2.865917477625782e-06,-0.020943551742993657,0.00025,0.25
2,partial_exit,2025-01-28 04:00:00+00:00,102640.0,-1,0.25,2.865917477625782e-06,-0.04415776990351027,0.00025,0.0
3,entry,2025-02-28 16:00:00+00:00,83988.8,1,1.0,1.190634941801764e-05,0.0,0.001,1.0
3,partial_exit,2025-03-03 16:00:00+00:00,90036.8,1,0.25,2.97658735450441e-06,0.01800240032004267,0.00025,0.75
3,partial_exit,2025-03-20 20:00:00+00:00,84164.1,1,0.25,2.97658735450441e-06,0.0005217957632446317,0.00025,0.5
3,partial_exit,2025-03-25 04:00:00+00:00,86526.0,1,0.25,2.97658735450441e-06,0.00755219743584858,0.00025,0.25
3,partial_exit,2025-04-24 04:00:00+00:00,92659.3,1,0.25,2.97658735450441e-06,0.025808500657230487,0.00025,0.0
4,entry,2025-11-20 00:00:00+00:00,91520.6,1,1.0,1.0926501793038943e-05,0.0,0.001,1.0
4,partial_exit,2025-12-29 20:00:00+00:00,87326.4,1,0.25,2.7316254482597357e-06,-0.011456983455091016,0.00025,0.75
4,partial_exit,2026-01-04 20:00:00+00:00,91099.8,1,0.25,2.7316254482597357e-06,-0.0011494679886277048,0.00025,0.5
4,partial_exit,2026-01-06 08:00:00+00:00,93225.0,1,0.25,2.7316254482597357e-06,0.004655782414013878,0.00025,0.25
4,partial_exit,2026-01-15 20:00:00+00:00,95473.0,1,0.25,2.7316254482597357e-06,0.010796476421701765,0.00025,0.0
5,entry,2026-02-25 04:00:00+00:00,65368.6,1,1.0,1.5297864724041818e-05,0.0,0.001,1.0
5,partial_exit,2026-03-05 16:00:00+00:00,71621.9,1,0.25,3.8244661810104545e-06,0.02391553436971266,0.00025,0.75
5,partial_exit,2026-03-18 00:00:00+00:00,73870.6,1,0.25,3.8244661810104545e-06,0.03251561147095091,0.00025,0.5
5,partial_exit,2026-04-07 04:00:00+00:00,68745.1,1,0.25,3.8244661810104545e-06,0.012913310060181827,0.00025,0.25
5,partial_exit,2026-04-12 04:00:00+00:00,71557.6,1,0.25,3.8244661810104545e-06,0.02366962119427373,0.00025,0.0
6,entry,2026-04-23 04:00:00+00:00,77704.2,-1,1.0,1.2869317231243614e-05,0.0,0.001,1.0
6,partial_exit,2026-05-18 20:00:00+00:00,76907.6,-1,0.25,3.2173293078109034e-06,0.0025629245266021376,0.00025,0.75
6,partial_exit,2026-05-23 20:00:00+00:00,75949.8,-1,0.25,3.2173293078109034e-06,0.00564448253762343,0.00025,0.5
6,partial_exit,2026-05-29 00:00:00+00:00,73586.1,-1,0.25,3.2173293078109034e-06,0.013249283822496054,0.00025,0.25
6,partial_exit,2026-06-03 08:00:00+00:00,67185.6,-1,0.25,3.2173293078109034e-06,0.03384180005713974,0.00025,0.0
7,entry,2026-08-25 12:00:00+00:00,79095.7,-1,1.0,1.2642912320138769e-05,0.0,0.001,1.0
7,partial_exit,2026-09-11 16:00:00+00:00,77687.8,-1,0.25,3.1607280800346922e-06,0.004449989063880825,0.00025,0.75
