position_id,fill_type,time,price,side,fraction,quantity,gross_return,cost,remaining_fraction_after
0,entry,2023-10-05 16:00:00+00:00,27550.6,-1,1.0,3.629685015934317e-05,0.0,0.001,1.0
0,partial_exit,2023-10-09 18:00:00+00:00,27596.0,-1,0.25,9.074212539835793e-06,-0.0004119692493085582,0.00025,0.75
0,partial_exit,2023-10-11 10:00:00+00:00,27289.0,-1,0.25,9.074212539835793e-06,0.0023738140004210305,0.00025,0.5
0,partial_exit,2023-10-12 00:00:00+00:00,26876.0,-1,0.25,9.074212539835793e-06,0.006121463779373213,0.00025,0.25
0,partial_exit,2023-11-14 05:00:00+00:00,36510.2,-1,0.25,9.074212539835793e-06,-0.08130131467191276,0.00025,0.0
1,entry,2023-12-06 02:00:00+00:00,43884.9,-1,1.0,2.2786881136791926e-05,0.0,0.001,1.0
1,partial_exit,2023-12-11 22:00:00+00:00,41203.8,-1,0.25,5.696720284197982e-06,0.0152734767539632,0.00025,0.75
1,partial_exit,2023-12-12 23:00:00+00:00,41251.6,-1,0.25,5.696720284197982e-06,0.015001173524378561,0.00025,0.5
1,partial_exit,2023-12-15 20:00:00+00:00,42100.6,-1,0.25,5.696720284197982e-06,0.010164658003094474,0.00025,0.25
1,partial_exit,2023-12-17 07:00:00+00:00,42004.7,-1,0.25,5.696720284197982e-06,0.010710973478349069,0.00025,0.0
2,entry,2024-01-22 12:00:00+00:00,40810.5,1,1.0,2.450349787432156e-05,0.0,0.001,1.0
2,partial_exit,2024-01-27 00:00:00+00:00,41822.0,1,0.25,6.12587446858039e-06,0.006196322024969064,0.00025,0.75
2,partial_exit,2024-01-28 07:00:00+00:00,42410.7,1,0.25,6.12587446858039e-06,0.009802624324622321,0.00025,0.5
2,partial_exit,2024-01-30 13:00:00+00:00,43397.6,1,0.25,6.12587446858039e-06,0.015848249837664318,0.00025,0.25
2,partial_exit,2024-02-05 16:00:00+00:00,42641.5,1,0.25,6.12587446858039e-06,0.011216476151970694,0.00025,0.0
3,entry,2024-02-11 02:00:00+00:00,47630.4,-1,1.0,2.099499479324129e-05,0.0,0.001,1.0
3,partial_exit,2024-02-17 18:00:00+00:00,51216.2,-1,0.25,5.248748698310323e-06,-0.01882096308240113,0.00025,0.75
3,partial_exit,2024-02-26 15:00:00+00:00,51705.9,-1,0.25,5.248748698310323e-06,-0.02139127531996372,0.00025,0.5
3,partial_exit,2024-03-06 05:00:00+00:00,64610.5,-1,0.25,5.248748698310323e-06,-0.0891242777721791,0.00025,0.25
3,partial_exit,2024-03-14 22:00:00+00:00,71105.7,-1,0.25,5.248748698310323e-06,-0.1232159503174443,0.00025,0.0
4,entry,2024-03-20 08:00:00+00:00,62955.2,1,1.0,1.5884311383332912e-05,0.0,0.001,1.0
4,partial_exit,2024-03-21 04:00:00+00:00,66674.5,1,0.25,3.971077845833228e-06,0.014769629832007535,0.00025,0.75
4,partial_exit,2024-03-25 07:00:00+00:00,67155.7,1,0.25,3.971077845833228e-06,0.016680512491422474,0.00025,0.5
4,partial_exit,2024-03-25 22:00:00+00:00,69887.1,1,0.25,3.971077845833228e-06,0.027527114519531385,0.00025,0.25
4,partial_exit,2024-03-28 17:00:00+00:00,70722.4,1,0.25,3.971077845833228e-06,0.030844155844155834,0.00025,0.0
5,entry,2024-04-17 19:00:00+00:00,61449.9,1,1.0,1.6273419484816086e-05,0.0,0.001,1.0
5,partial_exit,2024-04-22 16:00:00+00:00,65996.7,1,0.25,4.068354871204022e-06,0.018497995928390427,0.00025,0.75
5,partial_exit,2024-04-23 03:00:00+00:00,66619.6,1,0.25,4.068354871204022e-06,0.021032174177663447,0.00025,0.5
5,partial_exit,2024-04-30 05:00:00+00:00,63427.3,1,0.25,4.068354871204022e-06,0.008044764922318837,0.00025,0.25
5,partial_exit,2024-05-04 03:00:00+00:00,62700.4,1,0.25,4.068354871204022e-06,0.005087477766440629,0.00025,0.0
