period,value,entries,closed,open,closed_win_rate,marked_net_sum,marked_net_mean,random_mean,excess_mean,p_greater
year,2023,2,2,0,0.5,-0.02606772438164178,-0.01303386219082089,-0.064266288704201,0.0512324265133801,0.25
year,2024,10,10,0,0.7,-0.09144577861247594,-0.009144577861247593,-0.043225985634147326,0.03408140777289974,0.005859375
year,2025,9,9,0,0.7777777777777778,0.18287784043637487,0.020319760048486096,0.007114087530097687,0.013205672518388408,0.1484375
year,2026,7,7,0,0.42857142857142855,-0.259597423755033,-0.037085346250719,-0.03591274629985682,-0.001172599950862177,0.53125
month,2023-10,1,1,0,0.0,-0.07521800614142708,-0.07521800614142708,-0.13952344879750092,0.06430544265607384,0.5
month,2023-12,1,1,0,1.0,0.0491502817597853,0.0491502817597853,0.010990871389098935,0.03815941037068637,0.5
month,2024-01,1,1,0,1.0,0.0410636723392264,0.0410636723392264,0.002273747852958011,0.03878992448626839,0.5
month,2024-02,1,1,0,0.0,-0.25455246649198826,-0.25455246649198826,-0.25622035604439203,0.0016678895524037674,0.5
month,2024-03,1,1,0,1.0,0.08782141268711721,0.08782141268711721,0.04197850327026234,0.04584290941685487,0.5
month,2024-04,1,1,0,1.0,0.05066241279481334,0.05066241279481334,0.009721617878953901,0.04094079491585943,0.5
month,2024-07,1,1,0,1.0,0.014270150191770971,0.014270150191770971,-0.00034693103891270463,0.014617081230683676,0.5
month,2024-08,1,1,0,0.0,-0.007912515612402042,-0.007912515612402042,0.006193042395470961,-0.014105558007873003,1.0
month,2024-09,2,2,0,1.0,0.1018120864382348,0.0509060432191174,0.017838702578829607,0.033067340640287796,0.5
month,2024-10,1,1,0,1.0,0.007746858093020045,0.007746858093020045,-0.0831335427626681,0.09088040085568815,0.5
month,2024-11,1,1,0,0.0,-0.1323573890522684,-0.1323573890522684,-0.18840334305080486,0.05604595399853646,0.5
month,2025-01,1,1,0,1.0,0.06656231945637006,0.06656231945637006,0.004925268339447496,0.06163705111692257,0.5
month,2025-02,1,1,0,1.0,0.05222984596211137,0.05222984596211137,0.018098817795689413,0.03413102816642195,0.5
month,2025-07,1,1,0,0.0,-0.04806872174330733,-0.04806872174330733,-0.0014526929555984463,-0.04661602878770888,1.0
month,2025-08,1,1,0,1.0,0.05693591659319573,0.05693591659319573,0.009241349433945566,0.04769456715925016,0.5
month,2025-09,3,3,0,1.0,0.08535859404445355,0.028452864681484516,0.014134216795047368,0.014318647886437148,0.5
month,2025-10,1,1,0,1.0,0.04658651285715003,0.04658651285715003,0.03451034955420842,0.01207616330294161,0.5
month,2025-11,1,1,0,0.0,-0.07672662673359856,-0.07672662673359856,-0.043698954781955374,-0.03302767195164319,1.0
month,2026-01,2,2,0,0.0,-0.22738131135318718,-0.11369065567659359,-0.06707138681195915,-0.04661926886463444,1.0
month,2026-05,2,2,0,0.5,-0.08433044433750259,-0.04216522216875129,-0.025539651186391205,-0.01662557098236009,1.0
month,2026-06,1,1,0,1.0,0.04811992063248542,0.04811992063248542,-0.02150021388832977,0.0696201345208152,0.5
month,2026-07,1,1,0,0.0,-0.012334436603196986,-0.012334436603196986,-0.002398902077794828,-0.009935534525402159,1.0
month,2026-08,1,1,0,1.0,0.016328847906368335,0.016328847906368335,-0.042268032136172445,0.05859688004254078,0.5
