持仓编号,成交类型,成交时间北京时间,成交价,方向正多负空,原仓位比例,归一化BTC数量,毛收益占原始名义比例,成本占原始名义比例,成交后剩余原仓位比例
0,entry,2023-10-06 00:00:00+08:00,27550.6,-1,1.0,3.629685015934317e-05,0.0,0.001,1.0
0,partial_exit,2023-10-10 02:00:00+08:00,27596.0,-1,0.25,9.074212539835791e-06,-0.0004119692493085,0.00025,0.75
0,partial_exit,2023-10-11 18:00:00+08:00,27289.0,-1,0.25,9.074212539835791e-06,0.002373814000421,0.00025,0.5
0,partial_exit,2023-10-12 08:00:00+08:00,26876.0,-1,0.25,9.074212539835791e-06,0.0061214637793732,0.00025,0.25
0,partial_exit,2023-11-14 13:00:00+08:00,36510.2,-1,0.25,9.074212539835791e-06,-0.0813013146719127,0.00025,0.0
1,entry,2023-12-06 10:00:00+08:00,43884.9,-1,1.0,2.2786881136791926e-05,0.0,0.001,1.0
1,partial_exit,2023-12-12 06:00:00+08:00,41203.8,-1,0.25,5.696720284197982e-06,0.0152734767539632,0.00025,0.75
1,partial_exit,2023-12-13 07:00:00+08:00,41251.6,-1,0.25,5.696720284197982e-06,0.0150011735243785,0.00025,0.5
1,partial_exit,2023-12-16 04:00:00+08:00,42100.6,-1,0.25,5.696720284197982e-06,0.0101646580030944,0.00025,0.25
1,partial_exit,2023-12-17 15:00:00+08:00,42004.7,-1,0.25,5.696720284197982e-06,0.010710973478349,0.00025,0.0
2,entry,2024-01-22 20:00:00+08:00,40810.5,1,1.0,2.450349787432156e-05,0.0,0.001,1.0
2,partial_exit,2024-01-27 08:00:00+08:00,41822.0,1,0.25,6.12587446858039e-06,0.006196322024969,0.00025,0.75
2,partial_exit,2024-01-28 15:00:00+08:00,42410.7,1,0.25,6.12587446858039e-06,0.0098026243246223,0.00025,0.5
2,partial_exit,2024-01-30 21:00:00+08:00,43397.6,1,0.25,6.12587446858039e-06,0.0158482498376643,0.00025,0.25
2,partial_exit,2024-02-06 00:00:00+08:00,42641.5,1,0.25,6.12587446858039e-06,0.0112164761519706,0.00025,0.0
3,entry,2024-02-11 10:00:00+08:00,47630.4,-1,1.0,2.099499479324129e-05,0.0,0.001,1.0
3,partial_exit,2024-02-18 02:00:00+08:00,51216.2,-1,0.25,5.248748698310323e-06,-0.0188209630824011,0.00025,0.75
3,partial_exit,2024-02-26 23:00:00+08:00,51705.9,-1,0.25,5.248748698310323e-06,-0.0213912753199637,0.00025,0.5
3,partial_exit,2024-03-06 13:00:00+08:00,64610.5,-1,0.25,5.248748698310323e-06,-0.0891242777721791,0.00025,0.25
3,partial_exit,2024-03-15 06:00:00+08:00,71105.7,-1,0.25,5.248748698310323e-06,-0.1232159503174443,0.00025,0.0
4,entry,2024-03-20 16:00:00+08:00,62955.2,1,1.0,1.5884311383332912e-05,0.0,0.001,1.0
4,partial_exit,2024-03-21 12:00:00+08:00,66674.5,1,0.25,3.971077845833228e-06,0.0147696298320075,0.00025,0.75
4,partial_exit,2024-03-25 15:00:00+08:00,67155.7,1,0.25,3.971077845833228e-06,0.0166805124914224,0.00025,0.5
4,partial_exit,2024-03-26 06:00:00+08:00,69887.1,1,0.25,3.971077845833228e-06,0.0275271145195313,0.00025,0.25
4,partial_exit,2024-03-29 01:00:00+08:00,70722.4,1,0.25,3.971077845833228e-06,0.0308441558441558,0.00025,0.0
5,entry,2024-04-18 03:00:00+08:00,61449.9,1,1.0,1.6273419484816086e-05,0.0,0.001,1.0
5,partial_exit,2024-04-23 00:00:00+08:00,65996.7,1,0.25,4.068354871204022e-06,0.0184979959283904,0.00025,0.75
5,partial_exit,2024-04-23 11:00:00+08:00,66619.6,1,0.25,4.068354871204022e-06,0.0210321741776634,0.00025,0.5
5,partial_exit,2024-04-30 13:00:00+08:00,63427.3,1,0.25,4.068354871204022e-06,0.0080447649223188,0.00025,0.25
5,partial_exit,2024-05-04 11:00:00+08:00,62700.4,1,0.25,4.068354871204022e-06,0.0050874777664406,0.00025,0.0
6,entry,2024-07-20 08:00:00+08:00,66668.1,-1,1.0,1.49996775069336e-05,0.0,0.001,1.0
6,partial_exit,2024-07-25 23:00:00+08:00,64818.0,-1,0.25,3.7499193767334e-06,0.0069377258388944,0.00025,0.75
6,partial_exit,2024-07-30 13:00:00+08:00,66809.8,-1,0.25,3.7499193767334e-06,-0.0005313635756831,0.00025,0.5
6,partial_exit,2024-07-31 05:00:00+08:00,66199.9,-1,0.25,3.7499193767334e-06,0.0017557122521866,0.00025,0.25
6,partial_exit,2024-08-01 17:00:00+08:00,64505.9,-1,0.25,3.7499193767334e-06,0.0081080756763729,0.00025,0.0
7,entry,2024-08-03 12:00:00+08:00,61889.9,1,1.0,1.615772525080829e-05,0.0,0.001,1.0
7,partial_exit,2024-08-09 09:00:00+08:00,61212.9,1,0.25,4.0394313127020725e-06,-0.0027346949986993,0.00025,0.75
7,partial_exit,2024-08-20 17:00:00+08:00,60769.3,1,0.25,4.0394313127020725e-06,-0.0045265867290139,0.00025,0.5
7,partial_exit,2024-08-22 11:00:00+08:00,60171.7,1,0.25,4.0394313127020725e-06,-0.0069405508814847,0.00025,0.25
7,partial_exit,2024-08-24 11:00:00+08:00,63942.0,1,0.25,4.0394313127020725e-06,0.0082893169967959,0.00025,0.0
8,entry,2024-09-04 21:00:00+08:00,56598.7,1,1.0,1.766825033083799e-05,0.0,0.001,1.0
8,partial_exit,2024-09-10 11:00:00+08:00,56779.2,1,0.25,4.417062582709497e-06,0.000797279796179,0.00025,0.75
8,partial_exit,2024-09-14 13:00:00+08:00,60220.7,1,0.25,4.417062582709497e-06,0.0159986006745737,0.00025,0.5
8,partial_exit,2024-09-18 03:00:00+08:00,60551.6,1,0.25,4.417062582709497e-06,0.0174602066831923,0.00025,0.25
8,partial_exit,2024-09-20 04:00:00+08:00,63260.1,1,0.25,4.417062582709497e-06,0.029423820688461,0.00025,0.0
9,entry,2024-09-27 04:00:00+08:00,64695.8,-1,1.0,1.545695392900312e-05,0.0,0.001,1.0
