event_time,strong_side,streak,window_status,action,position_id,price,remaining_fraction_before,remaining_fraction_after
2023-07-14 20:00:00+00:00,-1,1,before_start,warmup_count_only,,,,
2023-07-26 16:00:00+00:00,1,1,before_start,warmup_count_only,,,,
2023-08-09 20:00:00+00:00,-1,1,before_start,warmup_count_only,,,,
2023-08-19 08:00:00+00:00,1,1,before_start,warmup_count_only,,,,
2023-08-23 00:00:00+00:00,1,2,before_start,warmup_count_only,,,,
2023-08-31 04:00:00+00:00,-1,1,before_start,warmup_count_only,,,,
2023-09-12 04:00:00+00:00,1,1,before_start,warmup_count_only,,,,
2023-09-15 12:00:00+00:00,-1,1,before_start,warmup_count_only,,,,
2023-09-18 20:00:00+00:00,-1,2,before_start,warmup_count_only,,,,
2023-09-25 20:00:00+00:00,1,1,in_window,flat_no_entry,,26329.9,,
2023-10-03 00:00:00+00:00,-1,1,in_window,flat_no_entry,,27496.7,,
2023-10-13 00:00:00+00:00,1,1,in_window,flat_no_entry,,26760.1,,
2023-10-17 12:00:00+00:00,-1,1,in_window,flat_no_entry,,28424.3,,
2023-10-22 00:00:00+00:00,-1,2,in_window,flat_no_entry,,29912.4,,
2023-10-25 08:00:00+00:00,-1,3,in_window,flat_no_entry,,33866.5,,
2023-11-02 16:00:00+00:00,-1,4,in_window,flat_no_entry,,34634.8,,
2023-11-10 08:00:00+00:00,-1,5,in_window,entry,0,36466.8,,1.0
2023-11-15 12:00:00+00:00,1,1,in_window,partial_exit,0,36238.6,1.0,0.75
2023-12-05 04:00:00+00:00,-1,1,in_window,same_direction_hold,0,41827.9,0.75,0.75
2023-12-07 00:00:00+00:00,-1,2,in_window,same_direction_hold,0,43763.6,0.75,0.75
2023-12-12 04:00:00+00:00,1,1,in_window,partial_exit,0,41740.0,0.75,0.5
2023-12-27 08:00:00+00:00,1,2,in_window,partial_exit,0,42473.9,0.5,0.25
2024-01-03 00:00:00+00:00,-1,1,in_window,same_direction_hold,0,44956.9,0.25,0.25
2024-01-10 08:00:00+00:00,-1,2,in_window,same_direction_hold,0,45760.0,0.25,0.25
2024-01-14 08:00:00+00:00,1,1,in_window,final_exit,0,43022.1,0.25,0.0
2024-01-21 00:00:00+00:00,1,2,in_window,flat_no_entry,,41694.4,,
2024-01-24 00:00:00+00:00,1,3,in_window,flat_no_entry,,39903.1,,
2024-01-28 16:00:00+00:00,-1,1,in_window,flat_no_entry,,42264.6,,
2024-01-31 00:00:00+00:00,-1,2,in_window,flat_no_entry,,42942.2,,
2024-02-10 08:00:00+00:00,-1,3,in_window,flat_no_entry,,47156.8,,
2024-02-16 00:00:00+00:00,-1,4,in_window,flat_no_entry,,51896.6,,
2024-02-29 16:00:00+00:00,-1,5,in_window,entry,1,62787.3,,1.0
2024-03-05 08:00:00+00:00,-1,6,in_window,same_direction_hold,1,66236.1,1.0,1.0
2024-03-12 16:00:00+00:00,-1,7,in_window,same_direction_hold,1,71752.2,1.0,1.0
2024-03-14 12:00:00+00:00,-1,8,in_window,same_direction_hold,1,72891.6,1.0,1.0
2024-03-17 12:00:00+00:00,1,1,in_window,partial_exit,1,66967.7,1.0,0.75
2024-03-20 20:00:00+00:00,1,2,in_window,partial_exit,1,65808.5,0.75,0.5
2024-03-26 20:00:00+00:00,-1,1,in_window,same_direction_hold,1,69493.8,0.5,0.5
2024-04-03 12:00:00+00:00,1,1,in_window,partial_exit,1,66061.9,0.5,0.25
2024-04-09 08:00:00+00:00,-1,1,in_window,same_direction_hold,1,70394.2,0.25,0.25
2024-04-15 00:00:00+00:00,1,1,in_window,final_exit,1,65661.5,0.25,0.0
2024-04-18 12:00:00+00:00,1,2,in_window,flat_no_entry,,62588.4,,
2024-05-02 12:00:00+00:00,1,3,in_window,flat_no_entry,,58547.3,,
2024-05-18 16:00:00+00:00,-1,1,in_window,flat_no_entry,,66803.5,,
2024-05-22 08:00:00+00:00,-1,2,in_window,flat_no_entry,,69731.9,,
2024-06-06 00:00:00+00:00,-1,3,in_window,flat_no_entry,,71115.0,,
